"自動実行","自動実行"
"\n<\n[3]>ぬるぬるして動きにくいでしょー。
早く逃げないと白いの出させちゃうぞー？","\n<\n[3]>It's hard to move when everything is so slippery right?
If you don't escape soon you'll let out your white
stuff you know?"
"\C[3]※捕まるとタイミングバーが表示されます。
\C[0]タイミングよく黄か赤で止めてください。
赤で止めると被ダメージが半減します。","\C[3]※A timing bar will display if you're caught.
\C[0]Go ahead and stop in the red or yellow areas.
Red areas will reduce damage taken by half."
"\n<\n[3]>むにゅー・・・♥
柔らかくて溶けちゃいそうでしょー♥
気持ちいい気持ちいいー♥","\n<\n[3]>Squish-...♥
They're so soft, your cares just melt away right?♥
Feels so good- Feels so good-♥"
"\n<\n[3]>あれー？もう出ちゃうのー？
おっぱい我慢できなかったー？あはは♥
じゃあ一回だけ、出しちゃおっかー♪","\n<\n[3]>What's this? You're about to cum already-?
So you couldn't resist my boobs after all? Ahaha♥
Well then, I'll give you one more pump, let it all out♪"
"\n<\n[3]>あっあっ♥おっぱいの間でぴくぴくしてるー♥
おちんちん喜んでくれたみたい♥
うれしー♥","\n<\n[3]>Ahh ahh♥ It's shooting between my boobies-♥
Your penis seems delighted too♥ I'm so happy-♥"
"\C[1]SAN値が1下がった・・・（現在SAN値\v[270]）","\C[1]Sanity decreased by 1... (Current Sanity: \v[270]）"
"\n<ライム>もうー。ひょっとして全然抵抗する気ないのー？
ゲームはまだ始まったばかりなのに。
次は本気で搾っちゃうからねー？","\n<Lime>Whoa- Were you seriously not trying to resist at all-?
And the game has only just started too,
next time I'll milk you for real okay?"
"\n<ライム>あっ！逃げられちゃった・・・
まぁいいっかー。","\n<Lime>Ah! You escaped...
Oh well-."
"\n<ライム>えーっと、リリーの言ってたこと、
聞こえてたかな？
脱出ゲームがどーのこーの・・・","\n<Lime>That is...you heard what Lily said, right?
About this escape game thingy..."
"\n<ライム>この館は広いからねー。
なかなか出られないと思うけど・・・
頑張って色んなところ、探してみてね。","\n<Lime>This mansion is very, very big-.
I don't think you'll get out...but feel free to try your hardest,
and search everywhere you can okay?"
"\n<ライム>あ！あとねー。
魔物さんたちにも捕まえるの手伝って貰ってるの。","\n<Lime>Ah! By the way-.
We've received the help of some lower class monsters to help
capture you."
"\n<ライム>私たちに捕まると\C[1]『精力にダメージ』\C[0]
魔物さんたちに捕まると\C[14]『体力にダメージ』\C[0]
どっちが0になってもゲームオーバーだよー。","\n<Lime>If we capture you, \C[1]your energy will be drained.\C[0]
If our monsters capture you, \C[14]you'll take physical damage.\C[0]
If any of these values reach 0, it'll be game over-!"
"\n<ライム>リリーもシィナも楽しそうだから。
簡単に諦めたりしちゃダメだよー？
いっぱい遊ばれてね。","\n<Lime>Lily and Shina seem to be happy after all.
So you shouldn't give up so easily, OK? Enjoy yourself
as much as possible now-."
"\n<ライム>次は一回射精したぐらいじゃ
許してあげないからねー？くすくす♥
ばいばーい♥","\n<Lime>Next time you cum, I won't go easy on you now alright?
Teehee♥ Bye bye♥"
"\n<ライム>じゃー頑張ってねー。
次は私も本気でぴゅっぴゅさせにいっちゃうからねー。","\n<Lime>Now then, do your best, okay?
Next time I'll make you go pew pew for realsies-."
"ドア","ドア"
"玄関扉は固く閉ざされている・・・","The entrance door has been shut tight..."
"\n<？？？>開かないよ。","\n<???>It won't open."
"\n<？？？>あたしも閉じ込められて困ってんの。
あんた誰？","\n<???>I'm afraid it means I can't get out either.
Who are you?"
"MP_SET_MOVIE e8_Ta","MP_SET_MOVIE e8_Ta"
"MP_SET_LOOP 6 on","MP_SET_LOOP 6 on"
"\n<アーコ>あーあー警戒しないで。
あたし中立だから。ちゅーりつ。
知ってる？ちゅーりつって言葉。チューリップじゃないよ。","\n<???>Ah, there's no need to look so cautious.
I'm a neutral party. Neutral party. Not the natural party.
Do you understand? I'm not related to anyone here. "
"\n<？？？>こんなところに人間が居るなんて珍しーね。
リリーたちに捕まったのかな？","\n<???>It's rare to see humans in places like these, you know.
Did Lily and her gang capture you?"
"\n<？？？>あたしアーコ。
黒猫のアーコだよ。よろしく。
あんたは？","\n<???>The name's Ako, Ako the black cat.
Nice to meet you. What's your name?"
"\n[1]・・・","\n[1]..."
"擬態型かァ～？","Friend or foe...?"
"\n<アーコ>友好型だよ。アーコだよ。
名前。教えてよ。","\n<Ako>Friend! And it's Ako!
What's yours?"
"\n<アーコ>\n[1]。
うん。覚えた。フツーだね。
フツーにいい名前。フツー。","\n<Ako>\n[1].
I see. I'll remember that. What an ordinary name.
Ordinary, ordinary."
"\n<シィナ>アーコ来てんのかー！？","\n<Shina>So did you bring them or not, Ako-!?"
"\n<アーコ>隠れて！","\n<Ako>Hide!"
"\n<シィナ>タバコにゃ。
持ってきたにゃ？","\n<Shina>My cigarettes-nya.
You brought them, right-nya?"
"\n<アーコ>ほいほい。
税金上がったから1箱540Gだよ。
何個欲しいの？しぃにゃん。","\n<Ako>Right here.
Due to increases in tax, one box is 540G.
How many do you want? Shin-nya?"
"\n<シィナ>淫魔が税金納めてんじゃねー！
カートンにゃ！
あと次しぃにゃんって呼んだら殺す！","\n<Shina>Succubus don't pay taxes!!
A whole carton! A-And call me Shin-nya again and
you'll really be in for it!"
"\n<アーコ>5400G！まいどー♪
あたし、しぃにゃんの怒った顔好き。","\n<Ako>And that comes to 5400G!
Pleasure doing business with you♪
I'll never get sick of seeing Shin-nyan's flustered face."
"\n<シィナ>アーココロス！","\n<Shina>I'll, I'll kill you!"
"\n<アーコ>（可愛い・・・）","\n<Ako>(She's so cute...)"
"\n<シィナ>あーお前と話してるとほんと調子狂うにゃ。
はよ帰れし。
じゃーなバーカ。","\n<Shina>S-Speaking with you really makes me mad-nya.
Now go home. See ya later, idiot."
"\n<アーコ>帰りたくても帰れないよ。
玄関開かないもん。","\n<Ako>I can't go back even if I want to.
The door won't open."
"\n<シィナ>あ。そうにゃ。
今人間と脱出ゲームやってるから全部閉め切ってるにゃん。","\n<Shina>Ah. That's right-nya.
Because of an escape game we're playing with a human right
now, it's completely shut-nya."
"\n<アーコ>脱出ゲーム？","\n<Ako>An escape game?"
"\n<シィナ>人間がここから脱出するのが先か
アタシらにチンポ犯されまくって干物になるのが先かの・・・","\n<Shina>A game of what will come first...
The human escaping, or getting their dick totally
milked until they become our semen slave..."
"\n<シィナ>まさにセイシをかけたゲームにゃ！","\n<Shina>A game of life and death-nya!"
"\n<アーコ>そう・・・
（また妙なことやってる・・・）","\n<Ako>I see...
(So they're doing weird stuff again...)"
"\n<シィナ>邪魔すんなよ。","\n<Shina>You'd better not get in our way."
"\n<アーコ>えっ？ちょっと待って。
それってあたしも出られないってコト？","\n<Ako>Eh? Wait just a moment.
Are you saying that I can't get out either now?"
"\n<シィナ>お前のことは知らんし。
大人しく床の溝でもなぞっとけにゃ。
カートンありがとにゃー。","\n<Shina>I don't know about you.
Trace the grooves of the floor or something.
Thanks for the cigars-nya."
"\n<アーコ>なるほどねー。
事情は分かったよ。","\n<Ako>I see-
I think I understand your circumstances."
"\n<アーコ>どうやら\n[1]が出口を見つけるか干物になるまで
あたしも出られなくなっちゃったみたい。
うーん。","\n<Ako>It seems that until \n[1] gets milked or
finds a way out, I'm stuck here. Haah..."
"\n<アーコ>今ここで干物にしちゃうか・\.・\.・\.","\n<Ako>Maybe I could milk you a little now.\..\..\."
"\n<アーコ>冗談だよ。
うける。","\n<Ako>Just joking!
Gotcha."
"\n<アーコ>ところであたしは淫魔だけどお店をやってるんだよ。
黒猫屋！
精力剤とか必要でしょ？売ってあげるよ！","\n<Ako>By the way, I may be a succubus, but I also 
run a shop. It's called the Black Cat! You need medicine?
I sell it all!"
"\n<アーコ>お金無いの？
じゃあ、もしこの館でお金になりそうなものあったら
あたしに持ってきて。買い取ってあげる。","\n<Ako>You don't have any money?
Well, if you find anything in this house that you think
is worth something, bring it to me. I'll buy it."
"\n<アーコ>あたしここに居るから。
何かあったら話しかけてね。
じゃ。","\n<Ako>I'll be waiting right here.
Come chat if you need something alright? Till then!"
"シィナイベ用","シィナイベ用"
"アーコ","Ako"
"\n<アーコ>やぁやぁ。アーコだよ。
何か欲しい物とかあるの？
見てく？","\n<Ako>Hello hello! Ako here!
Is there something you want? Why not take a look?"
"\n<アーコ>武器になりそうなものとか見つけた？
まずはそういうの探すといいかもね。","\n<Ako>Did you find anything that you could use as a weapon?
That's the first thing you should search for I bet."
"\n<アーコ>何食べたらそんなにおっぱい大きくなるの？
横縞模様だからおっぱい大きく見えるの？
錯覚？","\n<Ako>What do you eat to make your boobs so big?
Is it the horizontal stripes that make them look bigger?
Is it some kind of illusion?"
"\n<アーコ>囚人服に合ってるよ。
まさに囚人って感じ。
褒めてないよ。","\n<Ako>That prison outfit suits you.
I mean, you are a prisoner I guess.
Don't take it as a compliment."
"\n<アーコ>あたしは淫魔だし、気持ちが分かるから
どっちの味方もしないよ。
でも仲良くしたいって思ってる。","\n<Ako>I'm a succubus, and I know how you feel.
I won't pick sides. But I hope we can be friends."
"\n<アーコ>シィナは猫の時からの友達だよ。
リリーに淫魔にされたんだってさ。
あたしは違うやつに淫魔にされたけど。","\n<Ako>Shina has been my friend since we were just cats!
Lily turned her into a succubus, and now she's like that.
A different person turned me into a succubus though."
"\n<アーコ>あたしも淫魔だから精液が一番美味しいと思うけど
カリカリもかつおぶしも同じくらい美味しいと思う。
一番がいっぱいあるといいね。","\n<Ako>I'm a succubus as well so of course semen is the most delicious
thing in the world... But I love crisps and katsuobushi as well.
I can never get enough of them~"
"\n<アーコ>ここは元々大金持ちが住んでたんだって。
メイドも使用人もいっぱい居たってさ。
なんでこんな森の中に？って感じ。","\n<Ako>A very rich person used to live here...
And lots of maids and servants too. It makes me think-
What was it doing out in the forest?"
"\n<アーコ>みんなお金に興味ないから
あたしがこの館から色々持って行っても何とも思わないんだよ。
だから、ここで仕入れて町で売ったりする。","\n<Ako>Because no one has any interest in gold here,
they don't care if I take stuff from the mansion.
So, I just take it to town and sell it."
"\n<アーコ>その見返りにタバコとか持ってきてあげるの。
まぁ、それもお金取るけどね。","\n<Ako>I'll give you cigars and stuff for something good.
...Well, for the right price that is."
"\n<アーコ>淫魔の巣に閉じ込められるのは
人間にとって辛いでしょ。
少しでもえっちな気分になるとすぐ硬くなっちゃう。","\n<Ako>It must be so difficult being a human 
locked up in the succubus hideout.
Even being just a bit aroused will make you hard."
"\n<アーコ>行き詰ったらとりあえず攻撃してみたらいいよ。
壊せるものとかあるかもしれないし。","\n<Ako>If things look hopeless, just keep attacking.
You might just make a break through."
"\n<アーコ>お兄ちゃんも下に居るの？
面白そうだから後で行ってみよー。","\n<Ako>Your big brother is down there too right?
How interesting, I'll be sure to give him a visit later-."
"\n<アーコ>妹も捕まってるの？
後で行ってみよー。
仲良くなれるかな？","\n<Ako>So your sister has been captured as well?
I'll go and visit her later-. I wonder if we would get along well?"
"買い物","Buy something"
"用事はない","I don't need anything right now"
"・・・","..."
"\n<アーコ>何を買ってくれるのかな？","\n<Ako>What would you like to buy?"
"\n<アーコ>ははーん。さては冷やかしだな？
ふーん！","\n<Ako>Haah. Did you just come to window shop or something?
Hmmph!"
"\n<アーコ>まいどあり～！","\n<Ako>Thank you for your purchase-!"
"\n<アーコ>ふーん。","\n<Ako>Hmm."
"\n<アーコ>戦うの・・・？
そっか・・・","\n<Ako>Fighting...?
I see..."
"\n<アーコ>（どっちが勝ってもやだなぁ・・・
・・・
でも・・・しょうがないのかなぁ・・・）","\n<Ako>(I don't really care who wins…
...
But... Is this the only way…)"
"\n<アーコ>あたしは中立。
だからお金くれる方の味方。というかお金の味方。
うん。","\n<Ako>I'm a neutral party.
I side with whoever's got money.\nI'm a buddy for hire, mmhm!"
"\n<アーコ>分かった。売ってあげる。
戦うための装備。
・・・","\n<Ako>All right then. I've got the goods.
Battle equipment, that is…"
"\n<アーコ>本当に戦うの・・・？
リリーは強いよ。
\n[1]が負けて食べられちゃうのあたし、やだな。","\n<Ako>Are you really gonna fight her...?
Lily is really strong. I'd hate for \n[1] to be defeated, 
and devoured."
"\n<アーコ>何が欲しいのかな？","\n<Ako>What would you like?"
"\n<アーコ>もう帰ろーよー。","\n<Ako>Come again-."
"\n<アーコ>そっか。","\n<Ako>I see."
"食糧庫ドア","Pantry door"
"食糧庫の鍵を開けた！","Unlocked the pantry!"
"食糧庫のようだ。
鍵がかかっている・・・","Looks like the pantry.
It's locked…"
"いわ",
" <enemy:145>",
"瓦礫を壊せば通れそうだ・・・","You could pass by if you broke this rubble..."
"EV023",
"浴場の鍵を開けた！","Unlocked the bathroom!"
"この先は浴場のようだ。
鍵がかかっている・・・","Looks like the bathroom.
It's locked…"
"応接室の鍵を開けた！","Unlocked the parlor!"
"応接室の扉だ。
鍵がかかっている・・・","The parlor.
It's locked..."
"倉庫の鍵を開けた！","Unlocked the warehouse!"
"倉庫の扉だ。
鍵がかかっている・・・","The warehouse.
It's locked…"
"梯子",
"硬いドア",
" <enemy:151>",
"鍵穴が見当たらないが
建付けが悪くて開きそうにない・・・","It won't open, but there's no visible keyhole.
The door looks poorly constructed and fragile…"
"植物","植物"
" <enemy:99>","<enemy:99>"
"変数203（ARGP攻撃種類）
1斬　2打撃　3水　4火　5雷
6誘惑　7食べ物
特殊206（個別攻撃種類）
1リンゴ　2皿　3卵",
"リリー召喚魔法陣","リリー召喚魔法陣"
"--------キャラ指定-----座標設定------------",
"----------------------------------------",
"\n<\n[3]>ちょっと待ちなさい。
2階はダメよ。
私の部屋があるもの。","\n<\n[3]>Just one moment.
I'm afraid the second room off limits.
Since my room is up there."
"\n<\n[3]>そうねぇ。
どうしても通りたいって言うなら・・・
ちょっとしたゲームをしましょ。","\n<\n[3]>Oh, you know though-
If you really want to get by...let's play a little game."
"\n<\n[3]>あんたが後ろから私を突いて、射精を我慢するの♥
ゆっくり奥まで入れて抜くだけ♥
そうね、3回でいいわ。","\n<\n[3]>Simply thrust into my lovely rear, and try to resist squirting♥
Just a couple of slow, lovely strokes inside my pussy♥
I'd say about...3 times should be plenty."
"\n<\n[3]>3回入れて射精しなかったらあんたの勝ち。
我慢できずにイっちゃったらあんたの負け。
どう？これぐらいなら余裕でしょ？","\n<\n[3]>If you don't ejaculate after 3 thrusts, then you win.
If you can't hold it back, then you lose.
Well? Does that sound fair?"
"\n<\n[3]>たったの3回、おちんちんをオマンコに入れるだけよ。
私からは手を出さない。
超簡単なゲーム♥大サービスよ。","\n<\n[3]>Just insert your dick in my pussy 3 times.
And don't take your hands off of me.
It's a super simple game♥ Consider it a freebie from me to you~"
"\n<\n[3]>ほらおいで♥
大丈夫。たったの3回よ♥
まさか、怖気づいちゃった訳じゃないわよねぇ？くすくす♥","\n<\n[3]>Horra~ That's it♥ It's all right. Just 3 times♥
What, you're not scared, are you?
Hee hee♥"
"\n<\n[3]>あはっ♥どうしたの驚いた顔しちゃって♥
そんなに気持ちよかった？
ほら、あと2回♥がんばれ♥がんばれ♥","\n<\n[3]>Ahaa♥ What's wrong? You look so surprised♥
Didn't it feel good? Hora, just two more times♥
Give it your best♥"
"\n<\n[3]>息が荒いわよ？必死に耐えてるの？
イキそうならやめてもいいのよ♥
それとも、私に中出しする？くすくす♥","\n<\n[3]>Are you out of breath? Can you barely stand it?
You can stop if you're about to cum♥ Or will you 
cum inside me? Hee hee♥"
"\n<\n[3]>あははは！その必死な顔♥超ウケる♥
でもまぁ、あんたの勝ちよ♥
ぷ・・・くくく♥","\n<\n[3]>Ahahaha! That desperate look on your face♥ So good♥
But hey, you won~♥
Fuufu.... Ufufufu♥"
"挿入","Insert"
"やめる","Stop"
"\n<\n[3]>あはっ。
抜いたのに限界が来ちゃってたみたい♥
お尻に熱いのがかかってるわ♥くすくす♥","\n<\n[3]>Aha!
Looks like you reached your limit despite pulling out♥
Gosh, my ass feels warm though♥ Teehee♥"
"\n<\n[3]>やめるの？
イキそうになっちゃった？
じゃあゲームはここまでね。","\n<\n[3]>Are you gonna stop?
Are you about to cum?
So the game's about to end."
"\n<\n[1]>あぁ！！ダメ！！
あぁぁぁぁぁぁぁ！！！","\n<\n[1]>Ahhh! C-can't!!
Aaaaaaaaahhhh!!!"
"\n<\n[1]>うぁ！！や、やめ！！！
あぁぁぁぁぁぁぁ！！！","\n<\n[1]>Uwaah!! S-stop!!!
Aaaaaaaaahhh!!!"
"\n<\n[3]>ん？なーに？
ゲームは終わりって言ったじゃない。
私が何もしないのはゲームの時だけよ？","\n<\n[3]>Mmm? What's this? 
Sounds like the game is over.
I didn't move a muscle, and it's still all over?"
"\n<\n[3]>あはっ♥お尻にもたれかかって。
くすくす♥
そんなに気持ちよかったの？","\n<\n[3]>Ahaa♥ You're leaning against my butt.
Hee hee♥
Did it really feel so good?"
"\n<\n[3]>じゃ、通っていいわよ。
約束だものね。","\n<\n[3]>Well then, you may pass.
A promise is a promise."
"\n<\n[3]>たったの3回入れただけでイキそうになってるあんたが
この先無事に脱出できるとは思えないけど♥
ま、精々楽しませてね♥","\n<\n[3]>You were about to come just from 3 pumps.
It's not like you're gonna make it much further than here anyway♥
Well then, do your best to keep me entertained, okay?♥"
"\n<\n[3]>雑魚♥
3回すら我慢できないの？くすくす♥
じゃ、また挑戦したくなったら来なさい。","\n<\n[3]>Weakling♥
Can't even endure 3 pumps? Hee hee♥
Well, come back if you want to try again."
"ツタが入口を塞いでいる・・・
武器があればなんとか出来るかもしれない。","Ivy is blocking the entrance... You might be able to do
something if you had a weapon."
"障壁","Barrier"
"半透明な壁が階段を塞いでいる・・・","A translucent barrier blocks the stairway…"
"EV058",
"何か使えそうなものは・・・","Maybe there could be something useful in here..."
"\n<\n[3]>精奴隷みっけにゃ！
お前なにやってんにゃぁ？そんなとこで。","\n<\n[3]>There you are! My semen slave-nya.
What are you doing here, nya?"
"\n<\n[3]>悪あがき頑張ってるのにゃぁ？
くすくす♥
でも、本当にいいにゃん？","\n<\n[3]>Struggling pathetically, nya?
Kusukusu♥ But, should you really be doing that, nyan?"
"\n<\n[3]>ここから出たらアタシらとえっちなこと出来んにゃ？
一生後悔するにゃぁ。
ほらこっち見ろにゃん。","\n<\n[3]>You know If you escape, you'll never have sex with us ever again, nya.
You'll regret that for the rest of your life. Hoora~ Just look at this-nya."
"ーーーーー待機or攻撃アニメSE選択ーーーーー",
"--------ここから誘惑------------",
"\n<\n[3]>しーこ♥しーこにゃ♥
これ見てるとムズムズしてくるにゃぁ？","\n<\n[3]>Stroke♥ Stroke, nya♥
Don't your pants get tight when you look at this, nyaa?"
"\n<\n[3]>こっちに来たらアタシがこの手とベロで
チンコいじめまくって
いっぱい泣かせてやるにゃ♥","\n<\n[3]>If you come here, I'll tease your dick just like this
and make it cry a whole bunch♥"
"\n<\n[3]>しーこ♥しーこ♥
れーろ♥れーろ♥にゃはっ♥
見てるだけでチンコダメージ受けてるし♥","\n<\n[3]>Stroke♥ Stroke♥ Lick♥ Lick♥
Nyahaa♥
Your dick's taking damage just looking at me♥"
"\n<\n[3]>ほーら♥我慢できるにゃぁ？
これ見て頭バカにするにゃん♥
れろれろー♥","\n<\n[3]>Horaa♥ You can't resist, can't-nya?
You're going insane just from watching, nyan♥ Lick lick♥"
"--------ここから選択肢-------------",
"\n<\n[3]>たったこれだけで我慢汁垂れ流しになってるし。
そんなよわよわチンコどうせ無理にゃ。
今喰ってやるにゃ。","\n<\n[3]>You're starting to drip pre-cum already.
Such an impossibly fragile dick, nya.
It's almost snack time, nya."
"\n<\n[3]>もう逃げる気無くなったし。
よーわ。
じゃあまず自分で扱いて見せろにゃ。","\n<\n[3]>You're not getting away now.
Good.
First things first, show me how you masturbate, nya."
"--------ここからクリア------------",
"\n<\n[3]>くんくん・・・
にゃぁ・・・♥
我慢させればさせるほどいい匂いになるにゃぁ。","\n<\n[3]>Sniff sniff...
Nyaaah...♥ The harder you resist, the taster you smell-nya."
"\n<\n[3]>もう少し泳がしてやるし。
アタシ以外で射精したら殺すにゃ。
ちゃんと我慢するにゃぁ？","\n<\n[3]>I'll let you flounder a little longer, but if you
cum outside of me, I'll kill you.
So do your best to endure, ok-nyaa?"
"\n<\n[3]>アタシのこと思い出して
自分でしこったりすんなよー？
にゃはははは♥","\n<\n[3]>Are you gonna think about me while you're
fucking yourself-?
Nyahahaha♥"
"\n<\n[3]>逃げるために悪あがきしてるのにゃぁ？
本当にー？","\n<\n[3]>Are you really still trying to escape, nyaa?
Reeeally-?"
"\n<\n[3]>ここから出たらアタシらとえっちなこと出来んにゃ？
それでいいのにゃぁ？
ほらこっち見るにゃん♥","\n<\n[3]>If you escape, you can never have sex with us again, nya.
Are you really ok with that, nyaa?
Look over here, nyan♥"
"\n<\n[3]>しーこ♥しーこ♥
れーろ♥れーろ♥
にゃはっ♥見てるだけでチンコダメージ受けてるし♥","\n<\n[3]>Stroke♥ Stroke♥
Lick♥ Lick♥ Nyahaa♥
Your dick's taking damage just looking at me♥"
"\n<\n[3]>たったこれだけで我慢汁垂れ流しになってるにゃん。
そんなよわよわチンコどうせ無理にゃ。
諦めてぴゅっぴゅしろばーか♥","\n<\n[3]>Aww, but you're already starting to leak~
What a poor, helpless little dick you have-nya.
Just give in and go pew-pew, silly♥"
"\n<\n[3]>もう逃げる気無くなったし。
よーわ。
じゃあまず自分で扱いて見せるにゃん♥","\n<\n[3]>It's to
We-ak~
Well then, why don't you show me how you masturbate, nya♥"
"\n<\n[3]>もう少し泳がしてやるし。
アタシ以外でぴゅーぴゅーしたら殺すにゃ。
ちゃんと我慢するにゃぁ？","\n<\n[3]>I'll let you flounder a little longer.
I'll kill you if you cum outside of me.
Do your best to endure, ok, nyaa?"
"お金","お金"
"もう何も入っていない・・・","There's nothing else here…"
"EV062","EV062"
"炎の魔導書・・・
装備すれば何かを燃やすことが出来そうだ。","It's a fire tome...
I could probably burn any number of things if I equipped this."
"\n<リリー>捕まえたっ♥
ほらこっち向きなさい♥","\n<Lily>Found you♥
Hora- Look over here please♥"
"\n<\n[3]>ちゅー♥
あっは♥いきなりキスしちゃった♥
くすくす♥","\n<\n[3]>Smooch♥
Aha♥ How do you like being kissed out of the blue?♥
Teehee♥"
"\n<\n[3]>あんたってマゾだからさー、
こうやってキスされるとすぐスイッチ入っちゃうでしょ。
ちゅっ♥ちゅっ♥","\n<\n[3]>You're quite the masocist aren't you huh~
When you're kissed like this, you immediately get turned
on, right? Smooch♥ Mwah♥"
"\n<\n[3]>ほらビンビンに勃起した。あーぁ。
ここに挟まれたらもう逃げられないわね。","\n<\n[3]>Hora- Your dick is already rock hard, oh dear~
And there's no way to escape when you're pressed against
the wall like this, right?"
"\n<\n[3]>あら、振り払おうとしてるの？
全然力が入ってないけど♥
おちんちんは逃げたくないみたいよ？","\n<\n[3]>Ara, are you trying to shake loose?
But you're barely even trying♥
It appears your dick doesn't want to get away, doesn't it~?"
"\n<\n[3]>イキなさい。
あんたの負けよ。
くすくす♥","\n<\n[3]>Squirt it all out.
You've lost.
Teehee♥"
"\n<リリー>なにあんた。必死になっちゃって。
分かったわよ。
離れてあげる。","\n<Lily>Look at you. You're really trying your best!
Alright then, I'll let you go for now."
"\n<リリー>あらあら大変。
我慢汁だらだらじゃないの。
床汚さないでよ。","\n<Lily>...oh dear, this isn't good at all.
You're practically drooling precum.
Don't get the floor dirty now."
"立体起動","立体起動"
"<enemy:99><cw:1.3><ch:1.5>","<enemy:99><cw:1.3><ch:1.5>"
"EV065","EV065"
"一応玄関が開くか調べてみよう・・・","Let's check whether the entrance door opens or not..."
"EV066","EV066"
"EV067","EV067"
"EV068","EV068"
"EV069","EV069"
"EV070","EV070"
"EV071","EV071"
"EV072","EV072"
"EV073","EV073"
"EV074","EV074"
"EV075","EV075"
"作業台","作業台"
"報告書","報告書"
"楽譜が並んでいる・・・","The shelf is lined with sheet music books..."
"\n<\n[1]>（う・・・気になるけど我慢。）","\n<\n[1]>(Ooh... I'm curious, but now's not the time.)"
"\n<\n[1]>（音楽に興味はないけどこれが読める人に憧れはある・・・）","\n<\n[1]>(I'm not into music, but I admire the people
who can read this stuff...)"
"EV078","EV078"
"果物ナイフか・・・
一応武器として使えるかもしれない。","A fruit knife...?
I might be able to use this as a weapon."
"\n<リリー>みーつけた♥","\n<Lily>Caught you♥"
"\n<リリー>あら・・・
果物ナイフなんか持っちゃって。
危ないわねー。","\n<Lily>Oh dear...
Is that a fruit knife you're holding?
Those can be so dangerous you know-."
"\n<リリー>そんな物騒なもの置いて？
ねぇ、私と気持ちいいことしましょう♥
ほら見て♥","\n<Lily>Can you put that dangerous thing down?
Hey, let's do some naughty things together♥
Hora, look here♥"
"ーーーーー待機or攻撃アニメ選択ーーーーー",
"\n<リリー>ふーり♥ふーり♥
あはっ♥
見ちゃったわね♥","\n<Lily>Sway sway♥Shake shake♥
Aha♥
You can't help but look, can you?♥"
"\n<リリー>あんたのそのレベルじゃ
こーんなあからさまな誘惑でも
おちんちんにきちゃうでしょ♥","\n<Lily>Those levels of yours...
With this open temptation,
I'll approach your penis♥"
"\n<リリー>ねぇ♥気持ちいい事しましょ？
そんな小さなナイフなんて置いて♥","\n<Lily>Hey, it feels good, right?
You've got such a little knife♥"
"\n<リリー>ナイフなんかよりその股間についてる武器を握らないと♥
サキュバスは倒せないわよ？
くすくす♥","\n<Lily>The only weapon you can hold is the one attached to your crotch♥
There's no way to defeat a succubus, right?
Heehee♥"
"\n<リリー>いいのよ？
サキュバスに搾られるのが怖いなら、自分で扱けば？
ほら♥それなら大丈夫でしょ？くす♥","\n<Lily>That's fine with you right?
If you're scared of getting milked by a succubus, you can just jerk off instead~
Hora♥ If you do that, you'll be fine, right?♥"
"\n<\n[3]>あはっ♥その気になってくれたぁ？
じゃあ私のこと見ながらオナニーして見せて♥","\n<\n[3]>Aha♥ You see somethign you like?
Well then, just stare and stroke as much as you like~♥"
