"シャルイベ",""
"\n<シャーロット>うーん、なんていうかその・・・
干物にされてたよ。
リリスって淫魔に搾られたんでしょ？",""
"\n<シャーロット>ここは夢の中だからさ、
どれだけ搾り取られても、死んじゃっても生き返るんだ。
キミの現実の身体は生きているからね。",""
"\n<シャーロット>でも死ぬ感覚は本物と変わらないし、
現実のキミの身体も少しずつ衰弱していくの。",""
"\n<シャーロット>破滅的な快楽はキミの心を蝕むだろうし、
死んでも生き返るからって平気なわけじゃない。",""
"\n<シャーロット>気を付けてね。
現実の身体が衰弱しても、キミの心が壊れてもお終いだよ。",""
"※淫魔に敗北すると敗北の記憶を植え付けられてしまいます。
敗北の記憶がある場合、不利な状況に陥ることがあります。",""
"※記憶はアイテムとして所持していますので
アイテム欄から確認してください。",""
"\n<シャーロット>ボク？ボクは白猫のシャーロットだよ。
本当の姿は猫なんだ。見たい？",""
"\n<シャーロット>これが本当の姿さ。",""
"\n<シャーロット>淫魔だけどちゃんと欲望をコントロールできるし
人を襲ったりしないから安心してね。",""
"\n<シャーロット>猫は好き？",""
"好き",""
"犬派",""
"\n<シャーロット>仲良くしよう。",""
"\n<シャーロット>ふーん。",""
"\n<シャーロット>うーん、これからキミがしなければいけないことは
\C[24]『自分の夢の中に帰ること』\C[0]だね。
そうしないと目を覚ますことが出来ないんだ。",""
"\n<シャーロット>その為にはまず\C[24]『夢のかけら』\C[0]を集めて
記憶を取り戻す必要があるね。",""
"\n<シャーロット>キミがどういう人間で
どうしてここにいるのか。
・・・何をしにここに来たのか。",""
"\n<シャーロット>色々と思い出して行けばそれが座標になって
キミの夢までの道しるべになるよ。",""
"\n<シャーロット>ヘンゼルとグレーテルがパンくず辿って
家に帰るような感じだね。",""
"※夢の中を探索して\C[24]『夢のかけら』\C[0]を集めてください。
取り戻す度に探索範囲が増え、記憶を取り戻します。",""
"※\C[24]『夢のかけら』\C[0]には自分以外の物もあります。
ハンターの物や商人の物など、集めると様々な効果があります。",""
"\n<シャーロット>本当にもう大丈夫なの？",""
"ばっちり",""
"まだ聞きたいことがある",""
"\n<シャーロット>心配なさそうだね。",""
"\n<シャーロット>いいよ。何でも聞いて。",""
"\n<シャーロット>これからキミがすること、
簡潔にまとめておくね。",""
"\n<シャーロット>\C[24]『夢の中を探索』\C[0]して\C[24]『夢のかけら』\C[0]を集めること。
これだけだよ。",""
"\n<シャーロット>・・・うーん。
本当はボクも付いて行ってあげたいんだけど・・・
色々と事情があってね。",""
"\n<シャーロット>そこのドアから夢の通り道に出られるよ。
淫魔に気を付けてね。",""
"\n<シャーロット>あ、そうだ。
これ持って行って。",""
"\n<シャーロット>それを使えばここに戻って来られるから。
危なくなったら帰って来るんだよ。",""
"\n<シャーロット>あ、でも戦ってる時とか
使えない時もあるから気を付けてね。",""
"\n<シャーロット>・・・うーんやっぱり心配だなぁ。
ちょっと近くに来て。",""
"\n<シャーロット>そりゃ！",""
"\n<シャーロット>ボクの魔力を分けてあげたよ。
これで淫魔に出会っても少しは戦えるかもね。
本当は逃げた方がいいんだけど・・・",""
"\n<シャーロット>ん・・・？この姿？
気にしないで。ちょっと小さくなっただけだから。",""
"\n<シャーロット>（うーん、また魔力溜めなきゃ・・・）",""
"ありがとう",""
"どうして助けてくれるの？",""
"\n<シャーロット>全部終わったら魔力返してね。",""
"\n<シャーロット>仕事だからね。
人を助けるのがさ。",""
"\n<シャーロット>あ、そうそう。
外には淫魔以外にも魔物とかいるからね。
『夢喰い』ってやつ。",""
"\n<シャーロット>近づくと噛まれちゃうけど・・・
まぁ雑魚だから簡単に倒せるよ。
これあげる。",""
"\n<シャーロット>それでちょっとした火の玉くらいなら出せるよ。
淫魔には効かないけど。",""
"※武器を装備すると\C[24]『Aキー』\C[0]で攻撃することが出来ます。
\C[24]『Dキー』\C[0]を押している間は向きを固定して移動できます。",""
"\n<シャーロット>何か困ったらいつでもボクに言ってね。
じゃ、いってらっしゃい。",""
"\n<シャーロット>もう少し休んでたら？",""
"\n<シャーロット>状況は把握できてるかな？
キミのやることは夢の中を探索して
夢のかけらを集めて記憶を取り戻すこと。それだけだよ。",""
"\n<シャーロット>人の夢にお邪魔することも出来るけど
あんまり変なことしちゃダメだよ。",""
"\n<シャーロット>近くに商人の夢があったね。
何か売って貰えるんじゃないかな。
万引きとかしちゃダメだよ。たとえ夢の中でもね。",""
"\n<シャーロット>『夢喰い』には近づいちゃダメだよ。
噛まれちゃうから。",""
"\n<シャーロット>あれぐらいの雑魚だと経験値稼ぎにいいかもね。
それに焼いたら美味しそうじゃない。",""
"\n<シャーロット>次のかけらを探しておいでよ。
きっとまだ近くにあるはずだよ。",""
"\n<シャーロット>みんなの夢がひとつに繋がってるって不思議だよね。
なんでだろう。
今度じっちゃに聞いてみよ。",""
"\n<シャーロット>ボクはエイミーに少し話を聞いておくね。
この夢の世界について詳しく知っておかないと。",""
"\n<シャーロット>何か思い出せた？
えーと、\n[1]・・・？",""
"\n<シャーロット>あー、またたびしたいなぁ。",""
"\n<シャーロット>ここは夢の中だからね、
強く願うと叶っちゃうんだよ！",""
"\n<シャーロット>例えばアイスクリームが食べたいって
本気で考えたらアイスクリームが出てくるの。",""
"\n<シャーロット>まぁよっぽど強く願わないと無理だけどね。
それこそ、アイスクリーム食べなきゃ死ぬ。
ぐらいの気持ちでさ。",""
"\n<シャーロット>ボクはまたたびが一度だけ出て来たね。
禁またたび1週間目だったからね。",""
"\n<シャーロット>ボクのご主人もふたなりなんだよ。
ふたなりなんてよくあること！",""
"\n<シャーロット>ムラムラしちゃっても
淫魔相手に自分からえっちなことして貰いにいったらダメだよ。",""
"\n<シャーロット>誘惑されても乗らないでね。
ほんと、男の人ってときどき
バカになるんだから。",""
"\n<シャーロット>ボクのご主人は魔法使いなんだ。
まだまだひよっこだけどね。
ボクは使い魔ってわけ。",""
"\n<シャーロット>トルテを倒したからって
他の淫魔が倒せるとは限らないよ。
明らかに強そうな敵とは戦わずに逃げてね。",""
"\n<シャーロット>淫魔に出会ったら逃げるんだよ？
ボクの魔力を渡したとは言えキミがどこまで戦えるか・・・",""
"\n<シャーロット>ボクも手伝ってあげたいけど
自分のことは自分でね。
それが一番大事。",""
"\n<シャーロット>ボク、夢の中に入れるようになって
まだ日が浅いんだ。
だからあんまり詳しくなくてさ。ごめんね。",""
"\n<シャーロット>ボクはリドルを守らなきゃいけないから
一緒にいてあげられないんだ。
キミばかりに無理させてゴメンね。",""
"\n<シャーロット>ボクはアリスを守らなきゃいけないから
一緒にいてあげられないんだ。
キミばかりに無理させてゴメンね。",""
"\n<シャーロット>って思ったけど
今更少々噛まれても大して痛くないよね。
適当に燃やしちゃえ。",""
"\n<シャーロット>エイミーはこの世界に長く居るから
ボクよりよっぽどいろんなことを知ってるよ。",""
"\n<シャーロット>お！またたび出てきた！
わぁ♥どうしよ♥",""
"\n<シャーロット>いや・・・ダメだ。
\n[1]がこんなに頑張ってるのに
ボクだけラリってるわけには・・・",""
"\n<シャーロット>ボクのご主人はひよっこ魔法使いだけど
とっても頑張り屋さんなんだよ。",""
"\n<シャーロット>エイミーが言ったこと・・・
もう夢のかけらが無いっていうの。
ボクは信じるよ。",""
"\n<シャーロット>だってエイミーが初めて・・・",""
"\n<シャーロット>ううん。
何でもない。",""
"\n<シャーロット>キミに魔力を渡して正解だったよ。
こんなにも戦えるようになるなんて。
少し安心してる！",""
"\n<シャーロット>うーん・・・
キミの本当の名前はなんだっけ・・・
絶対知ってたはずなのに。リリスめ。",""
"\n<シャーロット>リリスは決して強い淫魔じゃないよ。
強力な魔力を秘めていたらボクには分かるもの。",""
"\n<シャーロット>だけどキミにとってはどんな淫魔よりも
強敵になるかもしれないね。
呪いか・・・",""
"\n<シャーロット>ボクは南の方を探してみるよ。
\n[1]は北を探してみて！
あ、かけらの流れていく方が北ってことで。",""
"\n<シャーロット>準備が出来たら船を出そう！
わくわく！
模型は外に浮かべてあるからね！",""
"\n<シャーロット>あっ。
そういえば貸した魔力返して貰わなきゃ。
すっかり忘れてた。",""
"\n<シャーロット>夢の世界の旅ももう終わりだね。
大変だったけど、なんだか楽しかったな。",""
"\n<シャーロット>夢の通り道は大きな木の根っこだったんだね。
不思議だなぁ。",""
"\n<シャーロット>エイミーって記憶喪失だったわりに
性格ほとんど変わってないよね。
根っこは同じだからかな。",""
"\n<シャーロット>あー♥
気持ちよくなってきたぁー！！",""
"\n<シャーロット>よく考えたら現実のキミはふたなりじゃないよね。
リリスと最初に会った時に何かされたんでしょ。
ふたなりだって思いこまされたとか。心当たりない？",""
"\n<シャーロット>夢の中で淫魔と戦えたからって
現実ではそうはいかないからね？
多少の免疫は付いたかもしれないけどさ。",""
"\n<シャーロット>リグレット！本当の名前はリグレットだったね！
変な名前だなぁと思ったけど。
でもボクは好きだよ！",""
"\n<シャーロット>人は後悔するから成長できるんだよ！
じっちゃが言ってた！
ボクは猫だけどね！",""
"\n<シャーロット>あっ！思い出した！リグレットだ！
でも\n[1]の方が似合ってるし、
これからも\n[1]って呼ぶからね！",""
"\n<シャーロット>リドルは・・・
あれ？リドルは何だっけ？
まだ思い出せないや。",""
"\n<シャーロット>町に淫魔が現れたって\n[1]がボク達を
呼びに来たのが始まりだったよね。",""
"\n<シャーロット>キミのお父さんは助けられなかったけど・・・
・・・",""
"\n<シャーロット>・・・？
アカシャでお父さんに会った気がする？
・・・そっか。",""
"\n<シャーロット>早くリリスと戦ってきなよ。
今のキミならすぐ勝てるはずだよ。",""
"\n<シャーロット>リリスはきっと変わったと思うよ。
ボクは信じてる。",""
"\n<シャーロット>いや、やっぱりわかんない。
とりあえず、負けないでね。",""
"\n<シャーロット>この姿にも慣れちゃったなぁ。
本当はボク、もっとグラマーでセクシーなのに。",""
"\n<シャーロット>あむ・・・♥
カフッカフッカフッ！",""
"\n<シャーロット>ごくり。",""
"\n<シャーロット>美味しい。
今のなんて魚？",""
"シャーロットに太刀魚を食べられてしまった！",""
"\n<シャーロット>じゃあこれお礼にあげる。
ごちそうさまでした。",""
"\n<シャーロット>淫魔には効かないって言ったでしょ。
あんまりいたずらしちゃダメだよ。",""
"\n<シャーロット>うっとおしいなぁ。
おこるよ。",""
"EV004",""
"\n<シャーロット>おーい！どこ行くの？
外に出ちゃ危ないよ！",""
"はんのう",""
"\n<シャーロット>ボクのご主人
よくクローゼットに閉じこもってる。",""
"\n<シャーロット>人んちで暴れちゃダメだよ。
記憶を失う前もそうだったの？",""
"MP_SET_MOVIE アリス自分2",""
"MP_SET_LOOP 4 on",""
"MP_SET_MOVIE リドル自分",""
"\n<\n[1]>・・・","\n<\n[1]>..."
"\n<シャーロット>その服、気に入ってるの？
ボクもカワイイと思う！",""
"\n<シャーロット>自分の顔に違和感がある？
もっと髭モジャだと思った？",""
"MP_SET_MOVIE アリス自分",""
"\n<\n[1]>・・・
（この服も、もう着れなくなっちゃうのかぁ・・・）",""
"\n<\n[1]>・・・
（せっかく可愛くなれたのになぁ・・・）",""
"\n<鏡の中の\n[1]>服なんて関係ないですよ！
もっと自信持たなきゃ、私！",""
"鏡が喋った・・・！",""
"気のせいかな？",""
"\n<鏡の中の\n[1]>少しだけ、自分のこと好きになれるように
お手伝いしてあげますね。
\n[1]。",""
"\n<鏡の中の\n[1]>いっぱい頑張ったからね！
\n[1]は凄い人なんだよ！
だから、自信持ってね♥私！",""
"\n<\n[1]>・・・
（少し自分に自信を持てた気がする・・・）",""
"\n<\n[1]>・・・
（それ以上にこの世界に来てから
　価値観が滅茶苦茶になった気がするけど・・・）",""
"\n<鏡の中の\n[1]>頑張ってね私！
私はとっても可愛いんだから！
へこたれてちゃダメだぞ！",""
"\n<\n[1]>・・・
（つらい・・・）",""
"\n<\n[1]>はぁ・・・
（やっぱり疲れてるみたい。色々あったし・・・）",""
"\n<シャーロット>どうしたの？ぼーっとして。",""
"\n<シャーロット>現実の鏡なら割れてるよ。
危ないから粗相しないでね。",""
"EV007",""
"ちょっと休憩していこうかな・・・",""
"はい",""
"いいえ","No"
"自動実行",""
"EV009","EV009"
"EV010",""
"エイミー","エイミー"
"\n<エイミー>はぁーいっぱい触って満足・・・",""
"\n<エイミー>してなーい！
もふもふもふもふ♥",""
"\n<エイミー>あたしもしばらくここにいようかな。
ずっとひとりで寂しかったし。",""
"\n<エイミー>嫌そうな顔もカワイイ～♥",""
"\n<エイミー>もふもふもふもふ♥
なでなでなでなで♥",""
"\n<シャーロット>あごの下。",""
"\n<エイミー>わしゃわしゃわしゃ♥",""
"\n<シャーロット>そこそこ。",""
"\n<エイミー>猫ちゃんみたいに良い淫魔もいるんだね。",""
"\n<エイミー>猫ちゃんはどうして人間を襲わないの？",""
"\n<シャーロット>襲うよ。",""
"\n<エイミー>・・・！",""
"\n<シャーロット>嘘だよ。",""
"\n<エイミー>\n[1]もなでなでしたいなぁ。
触っていい？",""
"\n<エイミー>あたしも手伝えることあったら
手伝うからね。
なんでも言って！",""
"\n<エイミー>実は\n[1]がチビ淫魔と戦ってるの
こっそり遠くで見てたよ。
目が悪いからあんまりよく分からなかったけど。",""
"\n<エイミー>正直ちょっと興奮した。",""
"\n<エイミー>あたしはあたしで
\n[1]の夢のかけら探しておくね！",""
"\n<エイミー>他の人の夢に入って話しても
みんな私のことすぐ忘れちゃうんだ。
だって夢だもんね。",""
"\n<エイミー>だからこうして普通にお話が出来るの
正直めちゃめちゃ嬉しいの。",""
"\n<エイミー>ここに私がいるってことは
現実の私の身体も生きてるってことだよね・・・？",""
"\n<エイミー>え、ひょっとして私死んでる・・・？
生きていると思っているのは自分だけ・・・？",""
"\n<エイミー>何その意味深な顔！
やめてよ！",""
"\n<エイミー>助けて猫ちゃん！
\n[1]が攻撃してくる！！",""
"\n<シャーロット>・・・（もっとやれ）",""
"\n<エイミー>あぶない！猫ちゃんに当たったらどーするの！",""
"\n<シャーロット>・・・（効かないけど）",""
"説明書だ・・・",""
"操作説明",""
"淫魔との戦闘",""
"ステータス異常",""
"魔物退治",""
"ドレインイベント",""
"童貞について",""
"決定　  　：調べる 文字送り
キャンセル：キャンセル メニューを開く
SHIFT　　 ：押している間、ダッシュ/歩行切替",""
"Aキー：武器攻撃の弾を発射する
Dキー：押している間、向きを固定したまま移動する
Ctlr ：高速文字送り、イベントスキップ",""
"Qキー　　 ：自動文字送り　ON/OFF
右クリック：ウィンドウを隠す",""
"SHIFT（戦闘）　 ：行動時間を短縮　ON/OFF
決定（ドレイン）：長押しでドレインイベントを終了する",""
"相手を先にイカせることが出来れば勝利です。
相手の精力が30%以下になるとイキそうになり
表情などが変化します。",""
"精力：0にすると勝利　0になると敗北
体力：スキルを使用するのに必要
TP　：スキルを使用するのに必要　行動や被ダメージで増加",""
"攻撃力：主に愛撫（通常攻撃）のダメージに影響
防御力：直接的な攻撃の被ダメージに影響（手コキなど）
技巧　：主にスキルのダメージに影響",""
"精神力：精神的な攻撃の被ダメージに影響（キス、誘惑など）
敏捷性：逃走確率、必殺技回避率に影響
戦闘力：淫魔戦には関係なし",""
"拘束：数ターン行動不可　被ダメージで解除
魅了：数ターン行動不可　被ダメージで解除
興奮：数ターン自動愛撫　被ダメージで解除　攻撃力UP",""
"怯み　：1ターン行動不可
暗闇　：愛撫の命中率低下
催淫毒：徐々に精力が減少",""
"脱力：攻撃力、技巧低下
敏感：防御力、精神力低下
低速：敏捷性低下",""
"敗北の記憶：3ターン全能力低下",""
"魔物退治はフィールドマップ上で行います。
Aキーで弾を発射して魔物を倒すことで
お金と経験値を入手することができます。",""
"魔物に接触すると体力にダメージを受け、
体力が0になると強制的に拠点に戻されます。
デメリットはありません。",""
"体力　：0になると拠点へ戻される
戦闘力：魔物に与えるダメージに影響
レベル：魔物から受ける被ダメージに影響",""
"精力、攻撃力、防御力、精神力、敏捷性は影響しません。",""
"武器の説明の見方
例）斬撃　2方向長　隙40　貫通
射程の長い貫通する斬撃属性の弾を40F毎に2方向に発射",""
"例）炎　設置　隙30
その場に炎属性の弾を30F毎に設置する",""
"相手に精力や経験値などを吸い取られるイベントです。
射精するとレベルが1下がります。
相手のレベルが上がると何かが起きるかもしれません。",""
"決定長押し　：ドレインイベントを終了する（終了可能な場合）
※オプションでキャンセルキーに変更可能
Ctrl長押し　：高速スキップする",""
"アイテム『童貞』を持っていると
童貞専用のイベントが発生することがあります。",""
"童貞は特定のチャプターで必ず喪失しますが、
とある方法で取り戻すことが出来るようになります。",""
"\n<シャーロット>やめなよ。",""
"アリス","アリス"
"\n<アリス>私も何かお手伝いしなきゃ・・・",""
"\n<アリス>それちょっと貸してください。",""
"\n<アリス>似合ってますか？",""
"\n<アリス>リリスって娘、淫魔だったんですね・・・
通りで角や尻尾が生えてたわけです。
おかしいなぁとは思ったんですけどね・・・！",""
"\n<アリス>でもアリスって名前はちょっと気に入ってたりします。
本当の自分の名前より、しっくりくるような・・・
なんでだろ。自分の名前、嫌いだったのかな？",""
"\n<アリス>私こう見えても魔物退治くらいなら出来るんですよ！
彷徨ってた時に虫を何匹か倒しましたから！ふふん！",""
"\n<アリス>シャルちゃんは淫魔なのに
人間を襲ったりしないんですか？",""
"\n<アリス>・・・！",""
"\n<アリス>\n[1]くんとエイミーって姉弟みたい。",""
"\n<アリス>アイスクリーム！アイスクリーム！アイスクリーム！
むむむむむ・・・！！！！",""
"\n<アリス>出ない。",""
"\n<シャーロット>まだまだ欲求が足りないね。
死ぬほど食べたいと思わないと。",""
"\n<アリス>アイス食べなきゃ死ぬぅー・・・！！！！",""
"\n<シャーロット>気張っても出ないよ。
（便秘かな？）",""
"\n<アリス>あとでアトリエに遊びに行ってみよう！",""
"\n<アリス>・・・",""
"\n<アリス>チラ・・・",""
"\n<シャーロット>・・・？",""
"\n<アリス>（触りたい・・・♥）",""
"\n<アリス>私の記憶も夢のかけらになって
どこかに流れているんですよね・・・？",""
"\n<アリス>ひょっとすると私、どこかの国のお姫様だったりして・・・
なんて・・・ないかぁ・・・",""
"\n<シャーロット>ないよ。",""
"\n<アリス>ないかぁ・・・",""
"\n<アリス>うぅ・・・私何かしましたかぁ・・・？
ぐすん・・・",""
"\n<アリス>ひゃうん！！
い、いったーい！！\n[1]さん！？",""
"\n<リドル>\n[1]はひとりでも淫魔と戦えるんだね。
凄いなぁ。",""
"\n<シャーロット>ボクの魔力を貸してあげてるからね。",""
"\n<リドル>へー、そんなこと出来るのか。
僕にも貸してよ。",""
"\n<シャーロット>これ以上渡しちゃうと
ボクただの猫になっちゃうよ・・・",""
"\n<リドル>ん・・・？何か用かい？",""
"ゴーグルを奪う",""
"リボンを付ける",""
"\n<\n[1]>ふふん！",""
"\n<リドル>よく似合ってると思うよ。",""
"\n<リドル>キミは一体どうしたいんだい？",""
"\n<リドル>あのリリスってやつは淫魔だったんだな。
通りであのおっぱ・・・
いや、なんでもない。",""
"\n<リドル>何故叩く！？",""
"\n<リドル>一応魔物ぐらいなら倒せるよ。
彷徨ってた時に虫やら変なライオンに襲われたりしたけど
なんてことはなかったね。",""
"\n<リドル>シャーロットは淫魔なのに
人間を襲ったりはしないの？",""
"\n<リドル>・・・！",""
"\n<リドル>\n[1]とエイミーってなんか姉妹みたいだな。",""
"\n<リドル>アンキモ！アンキモ！アンキモ！",""
"\n<リドル>出ないな。",""
"\n<リドル>うぉぉぉぉ！！！
アンキモー！！",""
"\n<リドル>エイミーの絵・・・
どこかで見たことがあるような・・・",""
"\n<リドル>僕も夢のかけらを探してみるよ。
淫魔とは戦えないから全力で逃げるしかないけどね。",""
"\n<リドル>どこかに僕の夢のかけらも流れてるんだよね・・・
一体僕はどんな人間だったんだろう。",""
"\n<リドル>ひょっとしてどこかの国の王様だったり・・・
とか・・・ないよね。",""
"\n<リドル>ないよね。",""
"\n<リドル>（これはアレか・・・？
気になる人にちょっかいを出す・・・アレか・・・！？）",""
"\n<リドル>痛い。
（でも何故かちょっと嬉しい）",""
"オプションについての解説書だ・・・",""
"軽量化について",""
"主人公のセリフを無くす",""
"ラブラブ喘ぎ",""
"射精時フラッシュ",""
"射精時アニメ(女主人公のみ)",""
"次へ",""
"アニメの再生速度を制限したり
動画の切り替えを遅らせることで
PCへの負荷を軽減します。",""
"・アニメ再生速度制限（軽量化）
アニメの再生速度を6段階で調整します。
再生速度によってラグが発生する場合に調整してください。",""
"0:調整なし 1:最高速のみ制限 2:早い動きを少しだけ制限
3～5全体的に再生速度を遅くする(数字が多いほど制限)
※速度を変更すると効果音がズレることがあります。",""
"・チラつき防止を切る（軽量化）
敵の攻撃→待機などアニメが切り替わる瞬間に発生する
チラつき防止する機能を切ることでPCへの負荷を軽減します。",""
"ただし、アニメの切り替えの間に空白の時間が出来るため
何も映っていない時間（5フレーム程）が発生し
チラつきが発生します。",""
"主人公が射精する時の喘ぎセリフや
一部のセリフがカットされます。
主人公のセリフが不要な場合はONにしてください。",""
"主人公のセリフをカットしたことで
イベントなどが変わることはありません。",""
"主人公の射精時のセリフが犯されセリフから
ラブラブセリフに変更されます。
（主人公のセリフを無くすがONの場合は関係ありません）",""
"また、チャームなどを受けている時などの敗北シーンは
強制的にラブラブ喘ぎになります。",""
"射精時に白くフラッシュするのを軽減します。
完全に無くなるわけではありません。",""
"射精時に\n[1]が射精するアニメが追加されます。
また、女主人公射精アニメを後にするをONにすることで
アニメが挿入されるタイミングを変更することが出来ます。",""
"通常：敵の攻撃→\n[1]の射精アニメ→固有の射精アニメ
後ろ：敵の攻撃→固有の射精アニメ→\n[1]の射精アニメ",""
"回避の判定を省略",""
"ドレインキャンセル変更",""
"アクションイージー","Easy Actions"
"淫魔戦イージー","淫魔戦イージー"
"淫魔戦ハード",""
"必殺技や罠を回避する時の敏捷性判定を省略し
結果だけを表示します。
回避率は基本的に敏捷性の1/3です。",""
"ONにするとドレインイベントを終了するボタンが
決定キーからキャンセルキーに変更されます。
決定キーによる誤動作を防ぎたい場合は変更してください。",""
"魔物から受ける被ダメージが半減し、
一部のアクション要素が簡単になります。
また、任意でチート装備を受け取ることが出来ます。",""
"デメリットはありませんので必要に応じて設定してください。",""
"セックスバトル時の敵のステータスが全て70%に下がります。
また、敵が状態異常になる確率が2倍になります。
デメリットはありませんので難しいと感じた時に設定してください。",""
"プレイヤーの消費体力が1.5倍になり、TP増加量が半減します。
また、通常の3倍状態異常にかかりやすくなります。
そのかわり、敵のアイテムドロップ率が2倍になります。",""
"\n<シャーロット>おとなしくできないの？",""
"EV015",""
"EV016","EV016"
"※魔物戦用の救済装備です。
戦闘力が3倍になり経験値取得量が1.5倍になります。
ゲームバランスが崩れる恐れがありますのでご注意ください。",""
"箱を開ける",""
"やめておく","Maybe not."
"※もう一度箱を調べると更に強力な救済装備が受け取れます。
アクション要素が必要ないと感じられる方はお使いください。",""
"※アクション要素は必要ありませんか？",""
"EV017","EV017"
"回想部屋",""
"自分の夢のかけらを確認してみようかな・・・",""
"必要ない",""
"EV019","EV019"
"リドル",""
"EV020","EV020"
"宝箱の底に何か書いてある・・・",""
"あんたはエライ！",""
"EV021","EV021"
"次はハードモード、セーブ無しゲームオーバー0でクリアだ！
（達成しても何もありません）",""
"EV022","EV022"
