"自動実行","自動実行"
"\n<\n[1]>（ハンバーガーに挟むと美味しい。）","\n<\n[1]>(These would go nice with a hamburger.)"
"\n<\n[1]>（こんな酸っぱいものは
ハンバーガーに挟むべきではない。）","\n<\n[1]>(Vile, sour things.
No hamburger should be disgraced by your presence.)"
"様々な種類のビネガーが置かれている。","Various types are vinegar sit on the shelf."
"\n<\n[1]>（お酢を飲むと体が柔らかくなるってお母さんが言ってた。
多分気のせい。）","\n<\n[1]>(Mother used to say that drinking vinegar would make your
skin softer. She probably made that up.)"
"\n<\n[1]>（これが扱える人は自炊のレベルが高いと思う。）","\n<\n[1]>(People who can make this stuff are next-level cooks.)"
"料理酒が並んでいる。","Cooking sake lines the shelf."
"\n<\n[1]>（お肉の臭みを取ったり柔らかくしたり出来る。
今要るかと言われると要らない。）","\n<\n[1]>(You can soften meat, and remove unpleasant odors.
I don't need any right now though.)"
"\n<\n[1]>（何のために料理に入れるのかさっぱり分からない。）","\n<\n[1]>(I've got no idea how to cook with this.)"
"まな板。","A cutting board."
"\n<\n[1]>（淫魔の出してくる食べ物なんてと思っていたけど
無駄に美味しいんだよなぁ・・・
逆になんかやだ。）","\n<\n[1]>(I never expected food served by succubi would be so
incredibly delicious...
It's really bizarre.)"
"\n<\n[1]>（ここの食事が妙に美味しいのも
何か逆に良くない気がする・・・）","\n<\n[1]>(The food here has all been weirdly delicious.
It feels wrong somehow…)"
"EV080","EV080"
"バルコニーの鍵！
これで外に出られそうだ・・・！","The balcony key!
Now you can get outside...!"
"身体が小さくなってしまった・・・！","Your body has become tiny...!"
"\n<リリー>あはは！ひっかかった！
可愛らしいサイズになったわねぇ♥くすくす♥","\n<Lily>Ahaha! Caught you!
You're so tiny and cute♥ Hee hee♥"
"\n<リリー>あんた食糧庫で何してたの？
お腹空いた？","\n<Lily>What were you doing in the pantry?
Were you hungry?"
"\n<リリー>でもざーんねん。
食事するのは私よ。","\n<Lily>That's toooo bad.
It's my turn to eat."
"\n<リリー>そろそろ魔法が切れそうね。
じゃ、私のお口が恋しくなったらいつでも言うのよ？
また可愛がってあげる♥くすくす♥","\n<Lily>That spell will wear off soon. Well, if you ever
miss my mouth, let me know, ok? I'll shrink you
down and play with you again♥ Hee hee♥"
"炎の魔導書・・・
装備すれば何かを燃やすことが出来そうだ。","炎の魔導書・・・
装備すれば何かを燃やすことが出来そうだ。"
"\n<リリー>捕まえたっ♥
ほらこっち向きなさい♥","\n<Lily>Caught you♥
Look over here now♥"
"\n<\n[3]>ちゅー♥
あっは♥いきなりキスしちゃった♥
くすくす♥","\n<\n[3]>Smooch♥
Ahaa♥ I stole a kiss♥ Hee hee♥"
"\n<\n[3]>あんたってマゾだからさー、
こうやってキスされるとすぐスイッチ入っちゃうでしょ。
ちゅっ♥ちゅっ♥","\n<\n[3]>I guess for a masochist like yourself,
just a kiss like this is enough to turn you on. Smooch♥ Kiss♥"
"\n<\n[3]>ほらビンビンに勃起した。あーぁ。
ここに挟まれたらもう逃げられないわね。","\n<\n[3]>ほらビンビンに勃起した。あーぁ。
ここに挟まれたらもう逃げられないわね。"
"\n<\n[3]>あら、振り払おうとしてるの？
全然力が入ってないけど♥
おちんちんは逃げたくないみたいよ？","\n<\n[3]>あら、振り払おうとしてるの？
全然力が入ってないけど♥
おちんちんは逃げたくないみたいよ？"
"\n<\n[3]>イキなさい。
あんたの負けよ。
くすくす♥","\n<\n[3]>You couldn't hold back.
You lose this one. Hee hee♥"
"\n<リリー>なにあんた。必死になっちゃって。
分かったわよ。
離れてあげる。","\n<リリー>なにあんた。必死になっちゃって。
分かったわよ。
離れてあげる。"
"\n<リリー>あらあら大変。
我慢汁だらだらじゃないの。
床汚さないでよ。","\n<リリー>あらあら大変。
我慢汁だらだらじゃないの。
床汚さないでよ。"
"EV081","EV081"
"EV082","EV082"
