"イベント実行","Event Action"
"\n<ライム>旗上げゲーム！","\n<Lime>The flag game!"
"\n<リリー>やらないわよバカバカしい。","\n<Lily>I'm not playing some ridiculous game."
"\n<シィナ>負けるのが怖いにゃ？
アタシの瞬発力に勝てるわけないにゃんねー！
しゅっ！しゅっ！しゅっ！","\n<Shina>Scared you'll lose-nya?
You know you can never beat my insane reflexes-nyaan!
Nyah nyah! Neener neener!"
"\n<リリー>あんた脳みそにアイロンでもかけたの？
シワが無いみたいだけど。","\n<Lily>Did you have your brain ironed?
It's got no wrinkles whatsoever."
"\n<シィナ>言ってる意味が分からんにゃーん。
ビビってんのか？
しゅっ！しゅっ！","\n<Shina>I don't know what that meeeeans.
Are you to nervous-nyaah?
Nya nya nya!"
"\n<リリー>旗上げは瞬発力より判断力よ。
あんたなんかに負けるわけないでしょ。","\n<Lily>Raising the flags is about intelligence
more than reflexes. I'd never lose to you."
"\n<シィナ>お、やんのか？
どっちが上か、赤白付けてやろうにゃん。","\n<Shina>Oh, we doing this-nya?
We'll pick whether to raise the white or red flag."
"\n<ライム>負けた方が謝ること。言い訳無し。
一発勝負。
いくよー？","\n<Lime>Loser has to apologize. No excuses.
One round.
Are you ready-?"
"\n<リリー>負けたらクツでもケツでも舐めてやるわよ。","\n<Lily>If I lose, I'll lick your shoes and your ass."
"\n<シィナ>クツもケツも舐めさせてやるし。","\n<Shina>Then I'll let you lick my shoes and my ass."
"\n<ライム>赤\.\.上げ\.ない♪\.\.\.\.白\.\.上げ\.ない♪\.\.\.\.
赤\.\.上げ\.ない\.で♪\.\.\.\.白\.\.上げ\.ない♪","\n<Lime>Red\.\. flag\. don't raise♪\.\.\.\. White\.\. flag\. don't raise♪\.\.\.\.
Red\.\. flag\. don't raise♪\.\.\.\.\. White\.\. flag\. don't raise♪"
"\n<ライム>赤\.\.下げ\.て♪\.\.\.\.白\.\.下げ\.て♪\.\.\.\.
白\.\.上げ\.ない\.で♪\.\.\.\.白\.\.下げ\.て♪","\n<Lime>Red\.\. flag\. down♪\.\.\.\. White\.\. flag\. down♪\.\.\.\.
White\.\. flag\. don't raise♪\.\.\.\. White\.\. flag\. down♪"
"\n<ライム>赤\.\.上げ\.ない♪\.\.\.\.白\.\.上げ\.ない♪\.\.\.\.
白\.\.上げ\.ない\.で\.\^","\n<Lime>Red\.\. flag\. don't raise♪\.\.\.\. White\.\. flag\. don't raise♪\.\.\.\.
White\.\. flag\. don't\.\.\^"
"\n<シィナ>上げさせろにゃ！","\n<Shina>We haven't raised a single freaking flag!"
"\n<リリー>あーもうムカツクわね！","\n<Lily>Are you trying to make me mad!"
"\n<ライム>ちょ、ちょっとまってよー！
これからなのにー！","\n<Lime>W-wait wait wait a minute-!
I was just about to-!"
"\n<研究員1>こいつらほんと仲良いっすね。","\n<Researcher 1>These three are really tight knit, aren't they?"
"\n<研究員2>どっちかが勝ったらまた喧嘩になっちゃいますからね。
ライムちゃん、いい子ですね。","\n<Researcher 2>The moment one of them wins, they'll start fighting again.
You're too pure, Lime."
"\n<研究員1>いや、多分あれ素っすよ。","\n<Researcher 1>Err, she might not realize what she's doing."
"リリーイベ","Lily Event"
"ライムイベ","Lime Event"
"シィナイベ","Shina Event"
"オーク2 リーダ","Orc 2"
"オーク１","Orc 1"
"オーク","Orc"
"旗","Flag"
"旗２","Flag 2"
