"エイミー","エイミー"
"\n<エイミー>夢のかけらは一体どこに向かって
流れてるんだろうねー。","\n<エイミー>夢のかけらは一体どこに向かって
流れてるんだろうねー。"
"\n<エイミー>あたしはこう見えても戦いは得意なんだ！
この世界で生きていくには魔物とも戦えないといけないしね！","\n<エイミー>あたしはこう見えても戦いは得意なんだ！
この世界で生きていくには魔物とも戦えないといけないしね！"
"\n<エイミー>あたしも\n[1]のかけら探し手伝うからね。
してほしいコトあったら何でも言って！","\n<エイミー>あたしも\n[1]のかけら探し手伝うからね。
してほしいコトあったら何でも言って！"
"\n<エイミー>あたし、起きてた時の記憶無いんだよね。
あたしの夢のかけらはどこにあるんだろ。","\n<エイミー>あたし、起きてた時の記憶無いんだよね。
あたしの夢のかけらはどこにあるんだろ。"
"\n<エイミー>\n[1]と出会ってからあたしすごく楽しいんだ！
えへへへへ♥","\n<エイミー>\n[1]と出会ってからあたしすごく楽しいんだ！
えへへへへ♥"
"\n<エイミー>あたしがあんた達に戦闘技術を仕込んだんだね。
ってことはお師匠様じゃんね！
そう呼んでくれてもいいぞ！","\n<エイミー>あたしがあんた達に戦闘技術を仕込んだんだね。
ってことはお師匠様じゃんね！
そう呼んでくれてもいいぞ！"
"\n<エイミー>いや、やっぱりお姉ちゃんがいいかな・・・♥
そっちの方が何かこう・・・いいぞ。","\n<エイミー>いや、やっぱりお姉ちゃんがいいかな・・・♥
そっちの方が何かこう・・・いいぞ。"
"\n<エイミー>チビ\n[1]、可愛かったね。
こうしてみるとあんた達、大きくなったなぁ・・・","\n<エイミー>チビ\n[1]、可愛かったね。
こうしてみるとあんた達、大きくなったなぁ・・・"
"\n<エイミー>たまには休憩も必要だよ。
少し休憩していったら？","\n<エイミー>たまには休憩も必要だよ。
少し休憩していったら？"
"\n<エイミー>いやーあたしオバサンじゃなくてよかったぁ。
しかも歳も取ってないんだよ。
まぁ、悪いコトばかりじゃないね！","\n<エイミー>いやーあたしオバサンじゃなくてよかったぁ。
しかも歳も取ってないんだよ。
まぁ、悪いコトばかりじゃないね！"
"\n<エイミー>あの絵は\n[1]がモデルだったのか。
・・・♥","\n<エイミー>あの絵は\n[1]がモデルだったのか。
・・・♥"
"\n<エイミー>あ、そうだ。
おちんちん追加しておかなきゃ・・・","\n<エイミー>あ、そうだ。
おちんちん追加しておかなきゃ・・・"
"\n<エイミー>じょ、冗談だって叩くな！","\n<エイミー>じょ、冗談だって叩くな！"
"\n<エイミー>いや、見えた方がいいな！
よし、裸になって仁王立ちしろ！","\n<エイミー>いや、見えた方がいいな！
よし、裸になって仁王立ちしろ！"
"\n<エイミー>ポリーがあんなに可愛く育つなんて・・・♥
あの小っちゃい虫も可愛かったんだけど♥","\n<エイミー>ポリーがあんなに可愛く育つなんて・・・♥
あの小っちゃい虫も可愛かったんだけど♥"
"\n<エイミー>星みたいに見える光のひとつひとつが
みんなの夢のかけらなんだよ。
ロマンチックだと思わない？","\n<エイミー>星みたいに見える光のひとつひとつが
みんなの夢のかけらなんだよ。
ロマンチックだと思わない？"
"\n<エイミー>記憶、経験、想像・・・
どれもキラキラしてる！
・・・覗いてみるとヤバいのもあるけど。","\n<エイミー>記憶、経験、想像・・・
どれもキラキラしてる！
・・・覗いてみるとヤバいのもあるけど。"
"\n<エイミー>\n[1]とリドルは幼馴染だったんだね。","\n<エイミー>\n[1]とリドルは幼馴染だったんだね。"
"\n<エイミー>\n[1]とアリスは幼馴染だったんだね。
・・・","\n<エイミー>\n[1]とアリスは幼馴染だったんだね。
・・・"
"\n<エイミー>あんた達、なんかないの？
ねぇ♥お姉さんに話し聞かせなさいよ♥
ほら♥","\n<エイミー>あんた達、なんかないの？
ねぇ♥お姉さんに話し聞かせなさいよ♥
ほら♥"
"\n<エイミー>ぎゅーってしていい？","\n<エイミー>ぎゅーってしていい？"
"\n<エイミー>・・・","\n<エイミー>・・・"
"\n<エイミー>あたしは東の方を探してくるね。
船旅かぁ・・・楽しみだなぁ！
こんなにワクワクするの初めて！","\n<エイミー>あたしは東の方を探してくるね。
船旅かぁ・・・楽しみだなぁ！
こんなにワクワクするの初めて！"
"\n<エイミー>よっしゃー！船旅じゃー！
こうなったらとことん巻き込んでやるからな！
地の果てまで着いてこいよー！","\n<エイミー>よっしゃー！船旅じゃー！
こうなったらとことん巻き込んでやるからな！
地の果てまで着いてこいよー！"
"\n<エイミー>なんだか記憶が戻って戦闘力が上がった気がするぞ！
やっぱりあたしドラゴンでも余裕で倒せる女だったわ。","\n<エイミー>なんだか記憶が戻って戦闘力が上がった気がするぞ！
やっぱりあたしドラゴンでも余裕で倒せる女だったわ。"
"\n<エイミー>昔の記憶が流れ込んでくると
\n[1]達が大きくなってることの違和感が凄い！","\n<エイミー>昔の記憶が流れ込んでくると
\n[1]達が大きくなってることの違和感が凄い！"
"\n<エイミー>今の\n[1]なら
リリスなんて相手になんないよ。
消化試合みたいなもの！早く行っといで！","\n<エイミー>今の\n[1]なら
リリスなんて相手になんないよ。
消化試合みたいなもの！早く行っといで！"
"\n<エイミー>あ、ついでにあたしのことメガネって呼ぶなって
言っておいてね。
おかげで助かったような気がしないでもないけど。","\n<エイミー>あ、ついでにあたしのことメガネって呼ぶなって
言っておいてね。
おかげで助かったような気がしないでもないけど。"
"\n<エイミー>うわぁ・・・
今更\n[1]とえっちなことしたのが恥ずかしくなってきた。
うへへへへ♥","\n<エイミー>うわぁ・・・
今更\n[1]とえっちなことしたのが恥ずかしくなってきた。
うへへへへ♥"
"\n<エイミー>現実に戻ったらアレ付いてないのかなぁ・・・
うーん、もったいない気がする。","\n<エイミー>現実に戻ったらアレ付いてないのかなぁ・・・
うーん、もったいない気がする。"
"\n<エイミー>ごめんごめん！冗談だってば！
怒らないでよ♥
あははは♥","\n<エイミー>ごめんごめん！冗談だってば！
怒らないでよ♥
あははは♥"
"\n<エイミー>（まじに残念だわ）","\n<エイミー>（まじに残念だわ）"
"\n<エイミー>うーん、\n[1]がいつの間にかこんなに大きくなって
あまつさえエロいことをしてしまったとは。
過去のあたしがものすごく混乱している。","\n<エイミー>うーん、\n[1]がいつの間にかこんなに大きくなって
あまつさえエロいことをしてしまったとは。
過去のあたしがものすごく混乱している。"
"\n<エイミー>いや、深く考えるのはよそう。
逆に妙に興奮してくる気持ちもある。
度し難い。","\n<エイミー>いや、深く考えるのはよそう。
逆に妙に興奮してくる気持ちもある。
度し難い。"
"\n<エイミー>あたしの同級生とかオバサンになってんのかな。
楽しみすぎる。","\n<エイミー>あたしの同級生とかオバサンになってんのかな。
楽しみすぎる。"
"\n<エイミー>あたし、明日のことなんて全く考えてなかった。
何か新しいことが起きるかもしれないって気持ち、
これが生きるってことなんだなぁ。","\n<エイミー>あたし、明日のことなんて全く考えてなかった。
何か新しいことが起きるかもしれないって気持ち、
これが生きるってことなんだなぁ。"
"\n<エイミー>なんとかしてポリーも現実の世界に連れて行けないかな。
淫魔だし、なんか方法があるのかも。","\n<エイミー>なんとかしてポリーも現実の世界に連れて行けないかな。
淫魔だし、なんか方法があるのかも。"
"\n<エイミー>ポリーは他の夢喰いより小さいけど
他の夢喰いには無い優しい心を持ってるんだよ。
あたしには分かる。","\n<エイミー>ポリーは他の夢喰いより小さいけど
他の夢喰いには無い優しい心を持ってるんだよ。
あたしには分かる。"
"\n<エイミー>あの大きな木は何だったんだろうね。
分からないけどなんだか少し・・・
懐かしい匂いがしたな。","\n<エイミー>あの大きな木は何だったんだろうね。
分からないけどなんだか少し・・・
懐かしい匂いがしたな。"
"\n<エイミー>あんたのお母さん、ああ見えて
あんたのこと大切に思ってたんだと思うよ。","\n<エイミー>あんたのお母さん、ああ見えて
あんたのこと大切に思ってたんだと思うよ。"
"\n<エイミー>色々あって、後悔なんて名前にしたんだろうね。
わざと自分から突き放すような・・・","\n<エイミー>色々あって、後悔なんて名前にしたんだろうね。
わざと自分から突き放すような・・・"
"\n<エイミー>でも自分の娘だもん。
結局愛してしまうもの。
素直に生きれないってのも大変だよね。","\n<エイミー>でも自分の娘だもん。
結局愛してしまうもの。
素直に生きれないってのも大変だよね。"
"\n<エイミー>リグ・・・
じゃない\n[1]か。
あたしはどっちの名前も好きだよ。","\n<エイミー>リグ・・・
じゃない\n[1]か。
あたしはどっちの名前も好きだよ。"
"\n<エイミー>目が覚めたらもっと素敵なドレスを作ろうよ。
\n[1]って名前にぴったりなドレス！","\n<エイミー>目が覚めたらもっと素敵なドレスを作ろうよ。
\n[1]って名前にぴったりなドレス！"
"\n<エイミー>あれ？そういえば\n[1]の本当の名前・・・
まだ思い出せないね。
リリスを倒してないからかな？","\n<エイミー>あれ？そういえば\n[1]の本当の名前・・・
まだ思い出せないね。
リリスを倒してないからかな？"
"\n<エイミー>あーもう♥
大きくなったなぁ！！","\n<エイミー>あーもう♥
大きくなったなぁ！！"
"\n<エイミー>わかったわかった！
構ってあげるから攻撃するのやめて。","\n<エイミー>わかったわかった！
構ってあげるから攻撃するのやめて。"
"\n<エイミー>いてぇ！何しやがる！
こっちこい！オシオキしてやる！","\n<エイミー>いてぇ！何しやがる！
こっちこい！オシオキしてやる！"
"はんのう","はんのう"
"大きな絵画だ・・・","大きな絵画だ・・・"
"\n<エイミー>触るなよ。
見てるからな！","\n<エイミー>触るなよ。
見てるからな！"
"わたし！","わたし！"
"\n<エイミー>・・・♥","\n<エイミー>・・・♥"
"\n<エイミー>やめろ！","\n<エイミー>やめろ！"
"\n<エイミー>嘘でしょ！
そういうことするぅ！？フツー！！","\n<エイミー>嘘でしょ！
そういうことするぅ！？フツー！！"
"\n<アリス>あ、久々にキレそう。
\n[1]くん。屋上行こ。","\n<アリス>あ、久々にキレそう。
\n[1]くん。屋上行こ。"
" <enemy:99><cw:0.5>"," <enemy:99><cw:0.5>"
"描きかけの絵だ・・・","描きかけの絵だ・・・"
"\n<エイミー>そのうち完成させる。","\n<エイミー>そのうち完成させる。"
"\n<エイミー>そういうことするやつは
お姉さんがオシオキしてやるからな！","\n<エイミー>そういうことするやつは
お姉さんがオシオキしてやるからな！"
"食べ物が蓄えられている・・・","食べ物が蓄えられている・・・"
"\n<エイミー>お腹空いたら食べていいよ。","\n<エイミー>お腹空いたら食べていいよ。"
"\n<エイミー>じっとしてろ！
悪ガキが。","\n<エイミー>じっとしてろ！
悪ガキが。"
"ごちゃごちゃした机！","ごちゃごちゃした机！"
"\n<エイミー>あたし的にはちゃんと整頓して置いてるんだから。
下手に動かしたりしないでよ。
ちゃんと定位置があるんだぞ！","\n<エイミー>あたし的にはちゃんと整頓して置いてるんだから。
下手に動かしたりしないでよ。
ちゃんと定位置があるんだぞ！"
"\n<エイミー>こいつ・・・","\n<エイミー>こいつ・・・"
"美味しそうなパイ！","美味しそうなパイ！"
"\n<エイミー>食べる？
半分残しといてね。","\n<エイミー>食べる？
半分残しといてね。"
"\n<エイミー>食べ物を粗末にするなって
ばあちゃんから教わってねーのか？","\n<エイミー>食べ物を粗末にするなって
ばあちゃんから教わってねーのか？"
"自動","自動"
" <enemy:99><ch:1.00>"," <enemy:99><ch:1.00>"
"美味しかった。","美味しかった。"
"\n<エイミー>こぼすなよ！
舐めてキレイにしてもらうからな！","\n<エイミー>こぼすなよ！
舐めてキレイにしてもらうからな！"
"EV009","EV009"
"EV010",""
"EV011",""
"EV012","EV012"
"本が置いてある・・・
タイトルはアカ・・・","本が置いてある・・・
タイトルはアカ・・・"
"\n<エイミー>それえっちなやつだから見ちゃだめ♥
もう♥
すけべ♥","\n<エイミー>それえっちなやつだから見ちゃだめ♥
もう♥
すけべ♥"
"本が置いてある・・・
タイトルは・・・
アカシックレコード・・・？","本が置いてある・・・
タイトルは・・・
アカシックレコード・・・？"
"\n<エイミー>その本は・・・
うーん・・・
気が向いたら話すね。","\n<エイミー>その本は・・・
うーん・・・
気が向いたら話すね。"
"アカシックレコードというタイトルの本だ。
汚い字がびっしりと書き込まれている。
内容は支離滅裂でよく分からない。","アカシックレコードというタイトルの本だ。
汚い字がびっしりと書き込まれている。
内容は支離滅裂でよく分からない。"
"\n<エイミー>アカシックレコードなんてのが本当にあるとはね。
その本を書いた人は頭をヤラレちゃったみたいだけど・・・
みんなは無事に帰れて良かったなぁ。","\n<エイミー>アカシックレコードなんてのが本当にあるとはね。
その本を書いた人は頭をヤラレちゃったみたいだけど・・・
みんなは無事に帰れて良かったなぁ。"
"EV014",""
"夢喰い","夢喰い"
" <enemy:99><CG拡大率:A,50,50>"," <enemy:99><CG拡大率:A,50,50>"
"\n<エイミー>その子はポリー。あたしの友達。
仲良くしてあげてね。","\n<エイミー>その子はポリー。あたしの友達。
仲良くしてあげてね。"
"\n<エイミー>ポリー！\n[1]だよ。
仲良くしてもらいな！","\n<エイミー>ポリー！\n[1]だよ。
仲良くしてもらいな！"
"\n<エイミー>よろしくってさ！","\n<エイミー>よろしくってさ！"
"※ポリーに夢のかけら（小さなかけら等）を与えると成長します。
要らないかけらを食べさせて育ててあげましょう。","※ポリーに夢のかけら（小さなかけら等）を与えると成長します。
要らないかけらを食べさせて育ててあげましょう。"
"ポリーに何かあげようかな・・・","ポリーに何かあげようかな・・・"
"かけらをあげる","かけらをあげる"
"またね","またね"
"setEventItemSubCategory esa","setEventItemSubCategory esa"
"ポリーは嬉しそうだ！
(成長率\v[508])","ポリーは嬉しそうだ！
(成長率\v[508])"
"おや・・・？ポリーのようすが・・・","おや・・・？ポリーのようすが・・・"
"ポリーは夢のかけらをたくさん食べて成長した！","ポリーは夢のかけらをたくさん食べて成長した！"
"\n<ポリー>オ・・・
オ・・・？アー・・・アー・・・
・・・","\n<ポリー>オ・・・
オ・・・？アー・・・アー・・・
・・・"
"\n<エイミー>どぉぉぉ！！！
何食わせたんじゃい！！！
ポリー・・・！？","\n<エイミー>どぉぉぉ！！！
何食わせたんじゃい！！！
ポリー・・・！？"
"\n<ポリー>エイ・・・ミー・・・？
エイミー・・・！","\n<ポリー>エイ・・・ミー・・・？
エイミー・・・！"
"\n<エイミー>ほ、ほんとにポリーなの？？
どして！？進化したの・・・？変態したの・・・？","\n<エイミー>ほ、ほんとにポリーなの？？
どして！？進化したの・・・？変態したの・・・？"
"\n<ポリー>イッパイ食べて成虫ナッタ！！
ヤッター！
アー・・・アー・・・","\n<ポリー>イッパイ食べて成虫ナッタ！！
ヤッター！
アー・・・アー・・・"
"\n<エイミー>喋れるの？
すごーい！カワイイ・・・♥
ポリー・・・！","\n<エイミー>喋れるの？
すごーい！カワイイ・・・♥
ポリー・・・！"
"\n<ポリー>待っテ！
ゴホン。ごほん。あー、あー・・・
なるほど・・・分かっタ！声の出シ方分かった！","\n<ポリー>待っテ！
ゴホン。ごほん。あー、あー・・・
なるほど・・・分かっタ！声の出シ方分かった！"
"\n<ポリー>いっぱいメシくれたからでっかくなっタ。
ありがトー・・・サンキュー！","\n<ポリー>いっぱいメシくれたからでっかくなっタ。
ありがトー・・・サンキュー！"
"\n<エイミー>サンキュー！\n[1]！","\n<エイミー>サンキュー！\n[1]！"
"\n<ポリー>今後ともヨロシク・・・","\n<ポリー>今後ともヨロシク・・・"
"\n<エイミー>ぎゅーってしていい？？","\n<エイミー>ぎゅーってしていい？？"
"\n<ポリー>お、オぉぉ・・・！","\n<ポリー>お、オぉぉ・・・！"
"やっぱりやめておこう・・・","やっぱりやめておこう・・・"
"\n<エイミー>おいこら！
悪い魔物じゃないからやめて！","\n<エイミー>おいこら！
悪い魔物じゃないからやめて！"
"EV016","EV016"
" <enemy:99><cw:0.5><ch:1.00>"," <enemy:99><cw:0.5><ch:1.00>"
"\n<エイミー>踏むなよ～？
絶対踏むなよ～？","\n<エイミー>踏むなよ～？
絶対踏むなよ～？"
"\n<エイミー>あーわかったわかった！
もうそこに置いてたあたしが悪いわ！
どうもすみませんでした！なんでや！","\n<エイミー>あーわかったわかった！
もうそこに置いてたあたしが悪いわ！
どうもすみませんでした！なんでや！"
"なんだかよく分からない絵！","なんだかよく分からない絵！"
"\n<エイミー>お前今なんだか分からない絵だって思っただろ！
わかるぞ！","\n<エイミー>お前今なんだか分からない絵だって思っただろ！
わかるぞ！"
"\n<エイミー>それホントなんなんだろうね。
あたしは何を思って描いたんだろう。","\n<エイミー>それホントなんなんだろうね。
あたしは何を思って描いたんだろう。"
"\n<エイミー>それマジでなんだったっけ。
そういう絵の方が高く売れるって聞いて
適当に描いたやつだったかも。","\n<エイミー>それマジでなんだったっけ。
そういう絵の方が高く売れるって聞いて
適当に描いたやつだったかも。"
"\n<エイミー>なるほど、そうやって傷をつけることで
作品の深みが出るのか。
出るかーい！！","\n<エイミー>なるほど、そうやって傷をつけることで
作品の深みが出るのか。
出るかーい！！"
"あまりきれいとは言い難いベッド・・・","あまりきれいとは言い難いベッド・・・"
"\n<エイミー>そういうところはあんまり見ないでくれる？
あたしも女の子だからさ・・・","\n<エイミー>そういうところはあんまり見ないでくれる？
あたしも女の子だからさ・・・"
"\n<エイミー>粗大ゴミと勘違いしちゃったよね。
ごめんね。
なんで謝らなきゃいけないんだよ。","\n<エイミー>粗大ゴミと勘違いしちゃったよね。
ごめんね。
なんで謝らなきゃいけないんだよ。"
"無造作に置かれた本だ・・・","無造作に置かれた本だ・・・"
"\n<エイミー>あ、気になるのあったら持って行っていいよ。
もう1000000万回は読んだからね。
一字一句覚えてるし。","\n<エイミー>あ、気になるのあったら持って行っていいよ。
もう1000000万回は読んだからね。
一字一句覚えてるし。"
"\n<エイミー>だぁ・・・！
そういうことするなってマジで。
ボコるよ。","\n<エイミー>だぁ・・・！
そういうことするなってマジで。
ボコるよ。"
"EV021","EV021"
"EV022","EV022"
"EV024","EV024"
"ポリー進化済み","ポリー進化済み"
" <enemy:99><CG拡大率:A,90,90>"," <enemy:99><CG拡大率:A,90,90>"
"\n<ポリー>\n[1]！せっかくダからこれアゲル！
外で拾った！
きっとヤクに立ツ。","\n<ポリー>\n[1]！せっかくダからこれアゲル！
外で拾った！
きっとヤクに立ツ。"
"\n<ポリー>手羽先かと思っテ拾ったら銃だっタ。
ワタシ銃要らナイ。
手羽先ガ食べたい。","\n<ポリー>手羽先かと思っテ拾ったら銃だっタ。
ワタシ銃要らナイ。
手羽先ガ食べたい。"
"\n<ポリー>\n[1]の為にワタシ武器作っタ！
役に立つカナ？
はい、ドーゾ♥","\n<ポリー>\n[1]の為にワタシ武器作っタ！
役に立つカナ？
はい、ドーゾ♥"
"\n<ポリー>これで夢喰いを真っ二つにスルト気持ちがいい！
半分こになる！
\n[1]、頑張っテね♥","\n<ポリー>これで夢喰いを真っ二つにスルト気持ちがいい！
半分こになる！
\n[1]、頑張っテね♥"
"\n<ポリー>オノ使ってネ。
重たいケド、攻撃力はピカイチ！","\n<ポリー>オノ使ってネ。
重たいケド、攻撃力はピカイチ！"
"\n<ポリー>ワタシに何か用・・・？","\n<ポリー>ワタシに何か用・・・？"
"\n<ポリー>くんくん・・・
美味しそうな匂いがすル・・・♥","\n<ポリー>くんくん・・・
美味しそうな匂いがすル・・・♥"
"\n<ポリー>エイミー優しいから好キ・・・♥","\n<ポリー>エイミー優しいから好キ・・・♥"
"\n<ポリー>ワタシ記憶食べること出来ル。
食べると記憶が流れ込んで来テ頭偉くなる。","\n<ポリー>ワタシ記憶食べること出来ル。
食べると記憶が流れ込んで来テ頭偉くなる。"
"\n<ポリー>手羽先が食べタイ。","\n<ポリー>手羽先が食べタイ。"
"\n<ポリー>オナカ空いた。","\n<ポリー>オナカ空いた。"
"\n<ポリー>\n[1]は女なのにチンコ付いテるの。
欲張りだね。","\n<ポリー>\n[1]は女なのにチンコ付いテるの。
欲張りだね。"
"\n<ポリー>ワタシ大きくなっタから
人間の精も食べられるようにナったよ。
どういう意味かワカル？","\n<ポリー>ワタシ大きくなっタから
人間の精も食べられるようにナったよ。
どういう意味かワカル？"
"\n<ポリー>ワタシ身体小さくテ
他の夢喰いに苛められてた。
エイミーが助けてくれた。","\n<ポリー>ワタシ身体小さくテ
他の夢喰いに苛められてた。
エイミーが助けてくれた。"
"\n<ポリー>他の夢喰いもいっぱい食べルと
成虫になるみたい。
襲われナいように気を付けテ。","\n<ポリー>他の夢喰いもいっぱい食べルと
成虫になるみたい。
襲われナいように気を付けテ。"
"\n<ポリー>淫魔に犯さレてる人の記憶が食べたい。
色んな感情が混じってテ美味しい。","\n<ポリー>淫魔に犯さレてる人の記憶が食べたい。
色んな感情が混じってテ美味しい。"
"\n<ポリー>大きくなっテもずっと友達してくれル。
エイミーも\n[1]もいい人。","\n<ポリー>大きくなっテもずっと友達してくれル。
エイミーも\n[1]もいい人。"
"\n<ポリー>ナンデそんなことすルの？
ワタシ悪いことしてナい。","\n<ポリー>ナンデそんなことすルの？
ワタシ悪いことしてナい。"
"\n<ポリー>はっ！これが人間の
アイジョーヒョウゲン？","\n<ポリー>はっ！これが人間の
アイジョーヒョウゲン？"
"\n<ポリー>わぁビックリしタ！","\n<ポリー>わぁビックリしタ！"
"夢のかけら","Fragment of a dream"
"アリス","アリス"
"\n<アリス>私も何かお手伝いしなきゃ・・・","\n<アリス>私も何かお手伝いしなきゃ・・・"
"\n<アリス>それちょっと貸してください。","\n<アリス>それちょっと貸してください。"
"\n<アリス>似合ってますか？","\n<アリス>似合ってますか？"
"\n<アリス>うーん、リリス・・・
厄介なことになりましたね。","\n<アリス>うーん、リリス・・・
厄介なことになりましたね。"
"\n<アリス>最初話した時はいい子だと思ったのになぁ。
アリスって名前も、気に入ってるのに・・・
呪いかぁ・・・","\n<アリス>最初話した時はいい子だと思ったのになぁ。
アリスって名前も、気に入ってるのに・・・
呪いかぁ・・・"
"\n<アリス>私達、エイミーのおかげで
戦闘技術があったんですね。
何かやたら身体が動くなぁって思ってたんです。","\n<アリス>私達、エイミーのおかげで
戦闘技術があったんですね。
何かやたら身体が動くなぁって思ってたんです。"
"\n<アリス>動いてるエイミー♥
ふふふ♥
エイミーが動いてる♥","\n<アリス>動いてるエイミー♥
ふふふ♥
エイミーが動いてる♥"
"\n<アリス>あーぁ、私、このままずっとここにいたいなぁ。
\n[1]くんとエイミーがいるなら、
夢の中でもいいのにな・・・","\n<アリス>あーぁ、私、このままずっとここにいたいなぁ。
\n[1]くんとエイミーがいるなら、
夢の中でもいいのにな・・・"
"\n<アリス>見て！\n[1]くん！エイミーが動いてるよ！
ほら見て！エイミーが！動いてる！","\n<アリス>見て！\n[1]くん！エイミーが動いてるよ！
ほら見て！エイミーが！動いてる！"
"\n<エイミー>そら動くよ！","\n<エイミー>そら動くよ！"
"\n<アリス>ふんふーん♪","\n<アリス>ふんふーん♪"
"\n<アリス>シャルちゃんのおかげで私達また会えたんですよね。
ちゃんとお礼をしなきゃ・・・","\n<アリス>シャルちゃんのおかげで私達また会えたんですよね。
ちゃんとお礼をしなきゃ・・・"
"\n<アリス>・・・","\n<アリス>・・・"
"\n<アリス>チラ・・・","\n<アリス>チラ・・・"
"\n<アリス>（エイミー動いてる・・・♥）","\n<アリス>（エイミー動いてる・・・♥）"
"\n<エイミー>おいアリス！
今あたしのことチラチラ見てたな！","\n<エイミー>おいアリス！
今あたしのことチラチラ見てたな！"
"\n<アリス>\n[1]くん、頑張ってリリスを倒してね！
頼りにしてます！
私に出来ることなら何でも言って！手伝うよ！","\n<アリス>\n[1]くん、頑張ってリリスを倒してね！
頼りにしてます！
私に出来ることなら何でも言って！手伝うよ！"
"\n<アリス>私は西の方を探してみます。
ひとりでも大丈夫！
心配しないで！","\n<アリス>私は西の方を探してみます。
ひとりでも大丈夫！
心配しないで！"
"\n<アリス>早く船を出しましょう！
どんな船かなぁ♥","\n<アリス>早く船を出しましょう！
どんな船かなぁ♥"
"\n<アリス>早くリリスちゃんのところに行ってください。
ふーん。","\n<アリス>早くリリスちゃんのところに行ってください。
ふーん。"
"\n<アリス>リリスちゃんはああ見えて
実は結構素直でいいところもあると思うんです。","\n<アリス>リリスちゃんはああ見えて
実は結構素直でいいところもあると思うんです。"
"\n<アリス>そういえば私が魔物をばっさばっさと
切り捨てたところ、見てました？
あちょー！って。","\n<アリス>そういえば私が魔物をばっさばっさと
切り捨てたところ、見てました？
あちょー！って。"
"\n<アリス>そしてこれからもっと動くエイミーが見れる♥
うふふふ♥","\n<アリス>そしてこれからもっと動くエイミーが見れる♥
うふふふ♥"
"\n<アリス>起きたらシャルちゃんに
とっておきのカリカリをプレゼントしなきゃ！","\n<アリス>起きたらシャルちゃんに
とっておきのカリカリをプレゼントしなきゃ！"
"\n<アリス>私、アカシックレコードでお母様に会った気がします。
とても厳しい人ですけど・・・
それでも私の、たった一人のお母様です。","\n<アリス>私、アカシックレコードでお母様に会った気がします。
とても厳しい人ですけど・・・
それでも私の、たった一人のお母様です。"
"\n<アリス>あ、アカシックまんじゅう食べます？
そういえばまだ残ってました。
凄く普通のまんじゅうですけど。","\n<アリス>あ、アカシックまんじゅう食べます？
そういえばまだ残ってました。
凄く普通のまんじゅうですけど。"
"\n<アリス>夢でえっちなことするのって・・・
ノーカウントですよね？
・・・","\n<アリス>夢でえっちなことするのって・・・
ノーカウントですよね？
・・・"
"\n<アリス>あー、夢の世界もあと少しかぁ。
なんだか寂しいなぁ。
自力で意識保って来れないのかなぁ。","\n<アリス>あー、夢の世界もあと少しかぁ。
なんだか寂しいなぁ。
自力で意識保って来れないのかなぁ。"
"\n<アリス>私\n[1]くんのこういうところ、嫌い！","\n<アリス>私\n[1]くんのこういうところ、嫌い！"
