"自分鉄格子","自分鉄格子"
"\n<ロメリア>見つかる前に隠れて！
早く！
急いで！","\n<Meria>見つかる前に隠れて！
早く！
急いで！"
"\n<アルス>・・・
聞こえてたか？
なんか妙なことになったな。","\n<Alsto>・・・
聞こえてたか？
なんか妙なことになったな。"
"\n<アルス>だけど、これはチャンスでもある。
あいつらが調子に乗って油断しているうちに
脱出経路を探すんだ。","\n<Alsto>だけど、これはチャンスでもある。
あいつらが調子に乗って油断しているうちに
脱出経路を探すんだ。"
"\n<アルス>\n[1]。もし逃げられるようなら
俺の事は気にせず逃げるんだぞ。
分かったな？","\n<Alsto>\n[1]。もし逃げられるようなら
俺の事は気にせず逃げるんだぞ。
分かったな？"
"置いてはいけない","置いてはいけない"
"うん","うん"
"\n<アルス>俺のことは大丈夫だ。
お前さえ無事なら・・・","\n<Alsto>俺のことは大丈夫だ。
お前さえ無事なら・・・"
"\n<アルス>少し距離はあるが、無事に逃げ延びたら
ギルドに行って助けを呼んできてくれ。
それまでの間くらい、耐えてみせるさ。","\n<Alsto>少し距離はあるが、無事に逃げ延びたら
ギルドに行って助けを呼んできてくれ。
それまでの間くらい、耐えてみせるさ。"
"\n<アルス>よし。
気を付けて行けよ。\n[1]。
あまり無茶はするな。","\n<Alsto>よし。
気を付けて行けよ。\n[1]。
あまり無茶はするな。"
"\n<アルス>ぐぅ～・・・・（腹の鳴る音）","\n<Alsto>ぐぅ～・・・・（腹の鳴る音）"
"\n<\n[1]>あにき、お腹鳴ってるよ。
何か食べ物があったら持ってくるね。","\n<\n[1]>あにき、お腹鳴ってるよ。
何か食べ物があったら持ってくるね。"
"\n<アルス>う・・・悪い。
余裕があったらでいいぞ。","\n<Alsto>う・・・悪い。
余裕があったらでいいぞ。"
"\n<ロメリア>なんか変なことになったね。
脱出ゲーム・・・
まぁ、ある意味チャンスだけど。","\n<Meria>なんか変なことになったね。
脱出ゲーム・・・
まぁ、ある意味チャンスだけど。"
"\n<ロメリア>あの三馬鹿が調子に乗っているうちに
なんとかここを抜け出す方法を探そう！
あにき、頑張れ！","\n<Meria>あの三馬鹿が調子に乗っているうちに
なんとかここを抜け出す方法を探そう！
あにき、頑張れ！"
"\n<ロメリア>ぐぅ～・・・（お腹の鳴る音）","\n<Meria>ぐぅ～・・・（お腹の鳴る音）"
"\n<ロメリア>あ、ごめん。
何か食べるものあったらお願いできる？
お、お腹空きすぎて・・・","\n<Meria>あ、ごめん。
何か食べるものあったらお願いできる？
お、お腹空きすぎて・・・"
"\C[3]※SAN値（正気度）について
\C[0]捕まって搾り取られたりすると正気を失って行きます。
SAN値によって発生するイベントが変わります。","\C[3]※SAN値（正気度）について
\C[0]捕まって搾り取られたりすると正気を失って行きます。
SAN値によって発生するイベントが変わります。"
"SAN値は食料を見つけてアルスに渡すことで回復します。
現在のSAN値はアイテムの手鏡で確認できます。（初期値10）","SAN値は食料を見つけてアルスに渡すことで回復します。
現在のSAN値はアイテムの手鏡で確認できます。（初期値10）"
"SAN値は食料を見つけてロメリアに渡すことで回復します。
現在のSAN値はアイテムの手鏡で確認できます。（初期値10）","SAN値は食料を見つけてロメリアに渡すことで回復します。
現在のSAN値はアイテムの手鏡で確認できます。（初期値10）"
"\n<アルス>うーん。
俺がゴリラだったらこんな檻ぐらい
こじ開けるんだけどなぁ。","\n<Alsto>うーん。
俺がゴリラだったらこんな檻ぐらい
こじ開けるんだけどなぁ。"
"\n<\n[1]>動物園のゴリラは檻に入れられてるから。","\n<\n[1]>動物園のゴリラは檻に入れられてるから。"
"\n<アルス>見つからないように気を付けて行け。
おそらく正面玄関は鍵がかけられて使えないだろう。
脱出経路を探すんだ。","\n<Alsto>見つからないように気を付けて行け。
おそらく正面玄関は鍵がかけられて使えないだろう。
脱出経路を探すんだ。"
"\n<アルス>いいか\n[1]。
アルストロメリアの花言葉は『未来への憧れ』だ。
俺たちは必ず生きてここを出る。そのヴィジョンを持て。","\n<Alsto>いいか\n[1]。
AlstoトMeriaの花言葉は『未来への憧れ』だ。
俺たちは必ず生きてここを出る。そのヴィジョンを持て。"
"\n<\n[1]>うん。ありがとあにき。
でもそれ恥ずかしいから外で言わないでね。","\n<\n[1]>うん。ありがとあにき。
でもそれ恥ずかしいから外で言わないでね。"
"\n<ロメリア>あにき。頼りにしてる。
頑張って。
なるべく見つからないように、こっそりね。","\n<Meria>あにき。頼りにしてる。
頑張って。
なるべく見つからないように、こっそりね。"
"\n<ロメリア>アルストロメリアの花言葉は『未来への憧れ』。
私たちならきっと、上手く行くよ。
あにきがいてくれて良かった。","\n<Meria>AlstoトMeriaの花言葉は『未来への憧れ』。
私たちならきっと、上手く行くよ。
あにきがいてくれて良かった。"
"\n<ロメリア>ふたりでひとつみたいな名前、
今まで大分恥ずかしい思いしたけどね。
でも嫌じゃなかったよ。","\n<Meria>ふたりでひとつみたいな名前、
今まで大分恥ずかしい思いしたけどね。
でも嫌じゃなかったよ。"
"\n<ロメリア>しょうがないことかもしれないけど、
あんまり淫魔相手にえっちなこと考えないでよ？
魔物なんだからね。化け物だよ。","\n<Meria>しょうがないことかもしれないけど、
あんまり淫魔相手にえっちなこと考えないでよ？
魔物なんだからね。化け物だよ。"
"EV004","EV004"
"鉄格子は硬く閉ざされている・・・","The iron bars have been securely fastened..."
"EV005","EV005"
"中に屍が見える・・・
あいつらにやられたのだろうか・・・","A corpse can be seen inside...
Did those guys really...?"
"ロメ/アル","ロメ/アル"
"\n<ロメリア>ごめんね。
兄貴までこんなことになって・・・","\n<ロメリア>ごめんね。
兄貴までこんなことになって・・・"
"気にするな","I was worried."
"お前のせいだぞ","This is your fault."
"\n<ロメリア>だって三人組だって思わなかったんだもん。
淫魔の癖に。","\n<ロメリア>だって三人組だって思わなかったんだもん。
淫魔の癖に。"
"\n<ロメリア>ぐぅぅ・・・
あっ。お腹が・・・","\n<ロメリア>ぐぅぅ・・・
あっ。お腹が・・・"
"\n<ロメリア>こんな時に悪いんだけど
何か食べるものあったら持ってきてくれない？
お腹ぺこぺこ。","\n<ロメリア>こんな時に悪いんだけど
何か食べるものあったら持ってきてくれない？
お腹ぺこぺこ。"
"\n<アルス>すまん。
まさか相手が3人組だとは・・・
ミイラ取りがミイラになったな。","\n<アルス>すまん。
まさか相手が3人組だとは・・・
ミイラ取りがミイラになったな。"
"\n<アルス>もしこの館から逃げられるチャンスがあるなら
お前ひとりでも迷わず逃げるんだぞ。
いいな？","\n<アルス>もしこの館から逃げられるチャンスがあるなら
お前ひとりでも迷わず逃げるんだぞ。
いいな？"
"\n<アルス>あとまぁ、悪いけど
何か食い物があったら持ってきてくれないか？
腹が減った・・・","\n<アルス>あとまぁ、悪いけど
何か食い物があったら持ってきてくれないか？
腹が減った・・・"
"梯子","梯子"
"リリーイベ","リリーイベ"
"ライムイベ","ライムイベ"
"シィナイベ","シィナイベ"
