"リリーイベ","リリーイベ"
"\n<ライム>でもでもー、自分の人生と引き換えに
私の料理食べに来てくれる人なんて、いるのかなー？","\n<Lime>But, do you think my cooking is really good enough
that humans would sacrifice their own lives for it?"
"\n<アーコ>あ、やっぱダメだこれ。","\n<Ako>Ahhh, back to the drawing board."
"\n<シィナ>オラァ！！
精奴隷が脱走しやがったにゃん！！
お前らちゃんと警備してたにゃぁ？","\n<Shina>Oi!!
One of the semen slaves has escaped-nyan!!
Weren't you guys supposed to be on guard-nyaa?"
"\n<ライム>出ていくところ見てない？","\n<Lime>Did you see them leaving?"
"\n<シィナ>聞いてんのか！！豚いちぃ！！豚にぃ！！","\n<Shina>Are you listening!! Pig 1!! Pig 2!!"
"\n<豚1>ゴブゴブ・・・","\n<Orc 1>Oink, oink... "
"\n<豚2>ゴブ・・・ゴブ・・・","\n<Orc 2>Oink... Oink…"
"\n<豚1>ゴーブゴブ。","\n<Orc 1>Oiiink, snort."
"\n<豚2>ゴブ。
ゴブゴブ。","\n<Orc 2>Oink.
Oink, squeal."
"\n<シィナ>なんにゃ！その態度は！
ぶーたれてっと干物にすっぞ！！","\n<Shina>What is this! What's that attitude!
I'm gonna turn you into jerky!!"
"\n<豚1>ゴブゴブ！","\n<Orc 1>Oink, oink!"
"\n<豚2>ゴブ♥ゴブリ♥","\n<Orc 2>Oink♥ Squoink♥"
"\n<シィナ>喜んでんじゃねー！！
マゾ豚ぁ！！","\n<Shina>Don't look so happy!!
Masochistic pigs!!"
"\n<ライム>やめなよー。
元はと言えば
シィナが鍵掛け忘れるのがいけないんじゃん・・・","\n<Lime>Leave them alone-.
This wouldn't have happened if you hadn't
forgotten to lock the cell in the first place..."
"\n<シィナ>は？絶対鍵掛けたし。
100パーにゃ。
アタシのせいじゃねー。","\n<Shina>Huh? I definitely locked it.
100 percent-nya.
This ain't my fault."
"\n<ライム>えー・・・？","\n<Lime>Eh-…?"
"\n<シィナ>探しに行ってこいにゃ！
見つけるまで夕飯は抜きにゃ！","\n<Shina>Start looking-nya!
No dinner until you find them-nya!"
"\n<ライム>ご飯作るの私じゃんー。","\n<Lime>I'm the one who cooks their food though."
"\n<ライム>ごめんねー。
森は迷いやすいから。
あんまり遅くならないようにねー。","\n<Lime>I'm sorry.
It's easy to get lost out in the woods.
So don't stay out too late."
"\n<豚2>ゴーブ！","\n<Orc 2>Oink!"
"\n<シィナ>ちっ。
役立たずの豚どもが。","\n<Shina>Tsk.
Worthless pigs."
"\n<ライム>シィナぁー・・・","\n<Lime>Shina…"
"オーク1","オーク1"
"オーク2 ","オーク2 "
