"自動実行","自動実行"
"\n<\n[1]>うん。ありがとあにき。
でもそれ恥ずかしいから外で言わないでね。","\n<\n[1]>Yeah. Thanks, Alsy.
But never say that in front of anyone,
it's a bit embarrassing."
"\n<ロメリア>あにき。頼りにしてる。
頑張って。
なるべく見つからないように、こっそりね。","\n<Meria>I'm counting on you, brother.
Good luck.
Sneak around carefully so you don't get spotted okay?"
"\n<ロメリア>アルストロメリアの花言葉は『未来への憧れ』。
私たちならきっと、上手く行くよ。
あにきがいてくれて良かった。","\n<Meria>Alstroemeria means, ""to look to the future"" in the language of flowers.
I'm sure both of us will end up just fine!
I'm glad you're here with me."
"\n<ロメリア>ふたりでひとつみたいな名前、
今まで大分恥ずかしい思いしたけどね。
でも嫌じゃなかったよ。","\n<Meria>I was really embarrassed that we got a name
like that you know, but now...
I don't think it's so bad."
"\n<ロメリア>しょうがないことかもしれないけど、
あんまり淫魔相手にえっちなこと考えないでよ？
魔物なんだからね。化け物だよ。","\n<Meria>I guess there's no way around this but... Try not to think
too much about doing lewd things with those
succubi, OK? They're demons after all right? Monsters!"
"\C[3]戦わずに帰る","\C[3]Leave without fighting"
"戦いに行く","Go and fight"
"鉄格子の鍵を使った！","Used the Prison Key!"
"\n<アルス>鍵・・・！！
\n[1]！！よくやった！！","\n<Alsto>The key...!
\n[1]!! You did it!!"
"\n<ロメリア>開いた！！
あにき！ありがとう！","\n<Meria>It opened!!
Alsy! Thank you!"
"\n<アーコ>\n[1]・・・！
サンタがロープ持ってきてくれたよ！
逃げよう！","\n<Ako>\n[1]...!
Santa brought a rope!
Lets get outta here!"
"\n<アルス>あと少しなんだな？
分かった。信じて待つ。
お前は強い女だな。兄として鼻が高いぜ。","\n<Alsto>Just a little further now right?
Alright. I have faith in you.
You're a grown lady now. I'm proud to be your brother."
"\n<ロメリア>戦って来るんだね。
分かった。
待ってる。あにき。大好きだよ。","\n<Meria>So you're going to fight huh?
Got it. I'll be waiting for you.
I love you Alsy!"
"EV004","EV004"
"鉄格子は硬く閉ざされている・・・","The iron bars have been securely fastened..."
"EV005","EV005"
"中に屍が見える・・・
あいつらにやられたのだろうか・・・","A corpse can be seen inside...
Did those guys really...?"
"ロメ/アル","ロメ/アル"
"\n<ロメリア>ごめんね。
兄貴までこんなことになって・・・","\n<Meria>I'm really sorry.
I even got my brother dragged into this..."
"気にするな","I was worried."
"お前のせいだぞ","This is your fault."
"\n<ロメリア>だって三人組だって思わなかったんだもん。
淫魔の癖に。","\n<Meria>I didn't think there would be 3 of them
That's a bit odd for succubi."
"\n<ロメリア>ぐぅぅ・・・
あっ。お腹が・・・","\n<Meria>Guhhhh...
Ahh, my stomach..."
"\n<ロメリア>こんな時に悪いんだけど
何か食べるものあったら持ってきてくれない？
お腹ぺこぺこ。","\n<Meria>I know now's a bad time, but can you bring me
any food you find? I'm so hungry."
"\n<アルス>すまん。
まさか相手が3人組だとは・・・
ミイラ取りがミイラになったな。","\n<Alsto>I'm sorry.
I never would have guessed there'd be 3 of them... \nThe hunters have become the hunted."
"\n<アルス>もしこの館から逃げられるチャンスがあるなら
お前ひとりでも迷わず逃げるんだぞ。
いいな？","\n<Alsto>If you get a chance to escape this mansion, don't
hesitate to take it. Got it?"
"\n<アルス>あとまぁ、悪いけど
何か食い物があったら持ってきてくれないか？
腹が減った・・・","\n<Alsto>Oh, sorry, but if you find any food, could you please 
bring it to me? I'm starving..."
"ポップアップ無効化","ポップアップ無効化"
"ポップアップ有効化","ポップアップ有効化"
"0ﾌｨﾘ 1ﾏｰｶﾞﾚ 2ｻｷｭ 3ｱｲﾘ 4ﾕｲﾈ 5ｼｬﾙ 6ﾁｭｰ 7ﾏｵ8ﾘﾘｽ 9ﾌｪﾗ高 10ﾌｪﾗ中 
11ﾌｪﾗ低 12ﾄﾙﾃ 13ｷﾙｼｭ 14ｼｰﾌﾟ15ｼｨﾅ 16ｴｲﾐｰ 17ｷｴﾘ 18ﾉﾉ 19ﾘﾘﾌｪﾗ
20ﾅｰｽ 21ﾘｯﾌﾟｽ 22ﾎﾟﾘｰ 23ｻｷｭﾊﾞｽ 24ﾛｰｽﾞ 25ｳｨｯﾁ 26ﾋｭﾌﾟﾉ 27ｱﾘｽ
28ｽﾗｲﾑ 29夢喰い 30ﾛﾘA 31ﾛﾘB 32ﾛﾘC 33ﾌﾟﾘｽﾞﾏ 34ﾘﾘに 35ﾉﾉｷｽ
36ｼﾙｷ 37ｴﾙﾌ 38ﾀｺ 39ｴﾗｯﾀ　40普通A 41普通B 43普通C 44ｱﾆﾏ
45ﾗﾐｱ 47ﾙﾅ 48猫 49ﾕｲﾈ 50ﾏｷｻ 51ｳｫﾙﾌ 52ｽﾗﾐｰ 53ﾗｲﾑ 54ｱｰｺ",""
"55ﾘﾘｰ",""
"\n<リリー>あはっ♥またイったわコイツ♥
ほら雑魚ちんぽ。
気持ちよくしてくれてありがとうございます、は？","\n<Lily>Aha♥ Look at that, they came again♥
Look at this weak little penis~
It really does love to be pleasured, doesn't it?"
"\n<ライム>んー♥今ので6回目の射精だねー。
ふたなりにしてもらって、よっぽど気に入ったのかなー？
くすくす♥","\n<Lime>Mm♥ You've ejaculated 6 times now, haven't you?
I bet you're really pleased with that new dick of yours-
Teehee♥"
"\n<ライム>んー、今ので6回目の射精だねー。
だいじょーぶ？
死んじゃわないかな？","\n<Lime>Mm♥ You've ejaculated 6 times now, haven't you?
Are you gonna be ok-ay?
You're not going to die are you?"
"\n<シィナ>出し過ぎにゃデカ乳女。
アタシの分が残って無かったら殺すにゃ。
リリー代われにゃ！次アタシにゃ！","\n<Shina>You're overdoing it big tits...
By the time it's my turn they'll be dead-nya.
Come on Lily-nya! My turn next-nya!"
"\n<リリー>ちょっと、次はライムの番よ。
ライム、おいで。","\n<Lily>Not so fast, next is Lime's turn.
Come on Lime."
"\n<シィナ>はぁ？
次はアタシの番にゃぁ。
勝手に死んだら殺すにゃ。","\n<Shina>Huuh?
I was next-nya...
If you kill him, I'll kill you-nya."
"\n<リリー>ちょっと、次はライムの番よ。
しれっと順番抜かしてるんじゃないわよ。
ライム、おいで。","\n<Lily>Not so fast, next is Lime's turn.
Order is very important you know.
Come on Lime."
"\n<ライム>んん・・・！！","\n<Lime>Mmm...!!"
"\n<シィナ>ちっ・・・
早くイカせて代わるにゃ。","\n<Shina>Tch...
Make them cum quickly then-nya."
"\n<リリー>どーお？ライム、美味しい？","\n<Lily>Well- How is it Lime? Tasty?"
"\n<ライム>おいひい・・・♥
じゅる♥
リリーの味もする・・・♥","\n<Lime>Delishious...♥
Slurp♥
And it tasthes like Lily...♥"
"\n<シィナ>超ぬるぬるだし。
にゃはは。
手がべっとべとにゃ。","\n<Shina>It feels all slimy too. Nyaha!
My hand is all slippery-nya."
"\n<ライム>んぁっ♥
ん・・・♥
ごく・・・ごく・・・♥","\n<Lime>Mmmph♥
Mm...♥
Gulp...gulp...♥"
"もう・・・だめだ・・・
意識・・・が・・・","I can't...go on...
My consciousness...is..."
"\n<リリー>あら、動かなくなっちゃった。
もしもーし？","\n<Lily>Ara, they stopped moving.
Hello? Anyone home?"
"\n<ライム>ぷはぁ・・・
ごめん。吸い過ぎちゃったみたい。
気絶しちゃった。","\n<Lime>Pahh...
Sorry. I think I sucked too hard.
And now they fainted."
"\n<シィナ>にゃぁ！！
次アタシにゃぁ！！
アタシだったのにゃぁー！！","\n<Shina>Nyaa!!
I was next-nya!!
"
"\n<ライム>痛い痛い！蹴らないでよー・・・","\n<Lime>Ow ow ow! Don't kick me-..."
"\n<シィナ>にゃぁー！！","\n<Shina>Nya-!!"
"・・・","..."
"じょ・・・ぶ・・・
だい・・・うぶか・・・","Hey... you...
are... okay..."
"大丈夫か！？
おい！！\n[1]！！","Are you okay!?
Hey!! \n[1]!!"
"ねぇ・・・にき・・・
だい・・・うぶ・・・","Hey... -ther...
Are... alright..."
"あにき！！
大丈夫！？生きてる！？","Brother!!
Are you alright!? Are you dead!?"
"\n<アルス>こっちだ！","\n<Alsto>Over here!"
"\n<ロメリア>こっちこっち！","\n<Meria>Over here!"
"最初のイベ","最初のイベ"
"\n<ロメリア>あにき！やっと起きた！
大丈夫？
随分と酷くヤラレチャッタみたいだけど・・・","\n<Meria>Brother! You're finally up!
Are you okay?
You look like you've been beaten up pretty bad..."
"\n<ロメリア>何回呼んでも返事がないから
死んじゃったのかと思ったよぉ・・・
あぁ、良かった・・・","\n<Meria>I called out to you so many times.
I thought you were really dead...
Oh, thank goodness..."
"\n<ロメリア>ごめんね。
私を助けに来たばっかりに、
あにきまで捕まっちゃうなんて・・・","\n<Meria>I'm really sorry.
You came here to save me,
but you ended up getting caught instead..."
"\n<ロメリア>ごめんって言ってんじゃん。","\n<Meria>I...I told you I was sorry!"
"\n<ロメリア>気にするよ。
はぁ・・・
でも、ありがと。","\n<Meria>You were worried?
Haah...
But, thanks."
"\n<ロメリア>あぅぅ・・・
私、初めての討伐依頼だったのに・・・
こんなことになるなんて・・・","\n<Meria>Oogh...
It was my subjugation request...
But I never thought something like this would happen..."
"\n<ロメリア>あにきにまで迷惑かけて・・・
淫魔に捕まっちゃうなんて、ハンター失格だよ。","\n<Meria>I've been nothing but trouble to you, brother...
And being captured by succubi...I'm a failure as a hunter."
"なんとかここを抜け出さないとな","We have to break out of here somehow."
"生きてるだけで丸儲け","As long as you're alive, we'll be just fine."
"\n<ロメリア>そうだね。
ここを抜け出して、あいつらを倒して帰らないと。
へこたれてちゃダメだよね。","\n<Meria>You're right.
We have to get out of here, beat those guys up and return
home. We can't sit idle and do nothing right?"
"\n<ロメリア>うーん・・・
何か使えそうなものはないかな？
檻を開けられそうなものとか・・・","\n<Meria>Yeah...
Is there anything here we can use?
Like something to open the cage..."
"\n<ロメリア>・・・そうだね。
淫魔に負けて吸い殺されなかっただけマシなのかも。","\n<Meria>..You're right.
I guess it's just as well they didn't drain me to death."
"\n<ロメリア>うーん・・・
檻を開けられる方法はないかな？
なんとかしてここから出ないと・・・","\n<Meria>Yeah...
Is there anything here we can use?
We have to get out of here somehow..."
"\n<アルス>大丈夫か？
返事がないから心配したぞ。
なんとか生きてるみたいだな。良かった・・・","\n<Alsto>Are you OK?
You weren't replying and I was worried.
You're somehow still alive. I'm so glad..."
"\n<アルス>あいつら・・・
よくも妹を酷い目に・・・","\n<Alsto>Those guys...
How dare they do such a thing to my sister..."
"ちんこ付けられた","They gave me a penis."
"あにきは大丈夫？","Are you okay Alsy?"
"\n<アルス>そうか・・・
まぁ、よくあることだ。
お前もサキュバスハンターなら気にするな。","\n<Alsto>I see...
Well, it happens. As long as you're a succubus hunter
you've got nothing to fear."
"\n<アルス>淫魔の仲間にされるよりはマシだろ。
ちんちんの一本で済んだと思えば安いもんさ。
良かったな。","\n<Alsto>It's better than being converted to their side I'd say.
Having something like a dick is nothing.
I'm glad you're okay."
"\n<\n[1]>ばかあにき。","Dammit Alsy..."
"\n<アルス>俺も今のところ平気だ。
丈夫に産んでくれたおかんに感謝しなきゃな。","\n<Alsto>I'm fine so far as well.
Mother did good job raising such a strong child."
"\n<アルス>しかしお前を助けに来たつもりが
俺まで捕まってしまうとは・・・
ミイラ取りがミイラとはまさにこのことだぜ。","\n<Alsto>I had come to save you but ended up
getting caught myself...
Those who plunder mummies become mummies eh?"
"\n<アルス>干乾びて本物のミイラになる前に
なんとかここから抜け出さないと・・・
\n[1]、何か使えるものはないか？","\n<Alsto>We've got to get out of here before we get dried up
and really do become mummies though...
\n[1], can you see anything we can use?"
"鏡","鏡"
"MP_SET_MOVIE ロメリア立ち絵アニメ基本3","MP_SET_MOVIE ロメリア立ち絵アニメ基本3"
"はぅぅ・・・頭がくらくらする・・・
えっちなことしか考えられないよぉ・・・","Haah... I feel so light headed...
My mind is swirling with sexy thoughts..."
"MP_SET_MOVIE ロメリア立ち絵アニメ基本","MP_SET_MOVIE ロメリア立ち絵アニメ基本"
"あぅ・・・ダメだ・・・
えっちな気分にならないように・・・
ふぅ・・・気を付けないと・・・","Ahh... Not good...
If I don't...contain my sexual urges soon...haah..."
"囚人服まで着せられるなんて・・・
屈辱・・・！","To be forced to wear a prison uniform like this...
How disgraceful...!"
"MP_SET_MOVIE アルス立ち絵アニメ基本3","MP_SET_MOVIE アルス立ち絵アニメ基本3"
"ああくそ・・・
もっと・・・搾り取られたい・・・","Ahh...d-dammit...
I-It would feel soo good to me milked...r-right now..."
"ふぅ・・・落ち着け・・・
惑わされるな・・・","Hah...I have to calm down...
I won't be swayed..."
"囚人服を着せられるとは・・・
屈辱だ・・・","Being forced to wear this prison uniform...
How humiliating..."
"※イベント中の立ち絵アニメの表示を設定します。
（オプションでいつでも変更可能です）","※Here, you can set if main character is seen during events.
(You may also change this in the options menu at any time.)"
"立ち絵アニメをON","Display the main character"
"立ち絵アニメをOFF","Do not display the main character"
"立ち絵アニメを表示するようにしました。
※敵攻撃アニメと被る場合はオプションから位置を変更できます。
※一部の攻撃は立ち絵アニメが自動で非表示になります。","The main character will now be displayed during events.
※If it is hiding enemy attacks, change it in the options menu.
※Some enemy attacks will hide the main character by default."
"立ち絵アニメを非表示にしました。","The main character will not be displayed."
"変更しませんでした。","No change was made."
"今は鏡を見ている場合じゃない！","This is no time to watch yourself in the mirror!"
"タル","タル"
"中身は空っぽだ・・・","It's completely empty..."
"・・・！
よし、この中なら隠れられそうだ！","...!
That's right, this would be the perfect hiding spot!"
"\n<リリー>・・・","\n<Lily>..."
"\n<ライム>・・・","\n<Lime>..."
"\n<シィナ>逃げられてやんの。","\n<Shina>So they did escape."
"\n<リリー>ちょっとあんた！
あいつどこ行ったのよ。
何か知ってるんでしょ。","\n<Lily>Hey, you!
Where did they go!
Surely you know something."
"\n<アルス>もうとっくに逃げたぜ。
残念だったな。
（無事に隠れられたようだな・・・）","\n<Alsto>You're too late.
I'm afraid she's already far away from here now.
(It seems she was able to hide safely...)"
"\n<ロメリア>知らなーい。
私寝てたから。
ひょっとして逃げられたのー？","\n<Meria>No clue what so ever.
I was lying down over here.
Did he escape or something-?"
"\n<ロメリア>いいなー。
私も出してよー。くす。
（上手く隠れたみたい・・・良かった。）","\n<Meria>That's so good to hear-
Soon I'll get out too- Teehee!
(He must have hid really well...thank goodness.)"
"\n<ライム>うーん・・・
ちょっと遅かったみたい。","\n<Lime>Oooh...
I guess we were too slow."
"\n<シィナ>どんまいにゃ。
にゃはははは。","\n<Shina>Don't worry about it-nya.
Nyahahaha~"
"\n<リリー>ふふ・・・","\n<Lily>Fufu..."
"\n<リリー>あはははは！","\n<Lily>Ahhahahaha!"
"\n<リリー>私の思惑通りだわ。
こうも事が上手く運ぶなんてね。","\n<Lily>Just as I had expected-
I can't believe things worked out so well~"
"\n<シィナ>どした？
大丈夫にゃ？","\n<Shina>What?
Are you okay-nya?"
"\n<ライム>リリー？","\n<Lime>Lily?"
"\n<リリー>退屈だったからね。
これはちょっとしたゲームよ。","\n<Lily>Things have been so dull lately you know.
So I did this as part of a little game."
"\n<ライム>ゲーム・・・？","\n<Lime>A game...?"
"\n<リリー>あいつがこの館から脱出するのが先か、
それとも私たちに捕まって弄ばれるのが先か。","\n<Lily>Will they escape the mansion?
Or will we catch and play with them first?"
"\n<リリー>これは『暇つぶしの脱出ゲーム』に付き合ってもらう為の罠。
そして、まんまと引っかかったわね。","\n<Lily>This was all just an elaborate ruse to get them
to play my ""Timewasting Escape Game!""
And they fell right for it-"
"\n<リリー>鍵はあえて掛けていなかったの。
\.あ・\.え・\.て・\.ね。","\n<Lily>I didn't lock the door on purpose.
\.ON\. PUR-\.POSE\.!"
"\n<ライム>（嘘が下手すぎる）","\n<Lime>(She's so bad at lying.)"
"\n<シィナ>面白そうにゃ！！
そんな事を考えていたとは、リリー！
て、天才にゃ！！","\n<Shina>Ooh how interesting-nya!!
Only you could think of such a thing Lily!
Y-You're a genius-nya!!"
"\n<アルス>なんだと！？","\n<Alsto>T-This was your plan all along!?"
"\n<ライム>（なんで信じてるのー！）","\n<Lime>(...They're actually believing this!)"
"\n<ロメリア>鍵掛け忘れたんなら素直にそう言えば","\n<Meria>If you forgot to lock the door,
you could just say so."
"\n<リリー>捕まえたら好きなだけ搾り取っていいわよ。
さて、いつまで抗えるかしら。
ふふふ♥","\n<Lily>When I catch them, I can squeeze them as much as I like.
Now then, I wonder how long they will be able to resist?
Ufufu♥"
"\n<リリー>この館はそう簡単に出られないように出来てるの。
快楽に負けて精奴隷に堕ちないよう、精々足掻くといいわ。
あははははは！","\n<Lily>This mansion will not be so easy to escape from.
Struggle and paw the ground as you try not to fall to the
bliss of becoming our semen slave- Ahahaha!"
"\n<シィナ>にゃはははは！","\n<Shina>Nyahahaha!"
"\n<リリー>あははははははは！！","\n<Lily>Ahahahahahaha!!"
"\n<シィナ>にゃははははははは！！！","\n<Shina>Nyahahahahahahaa!!!"
"\n<リリー>おーっほっほっほっほ！！","\n<Lily>Oohohohohohoho!!"
"\n<シィナ>にゃーはっはっはっ！！！","\n<Shina>Nya-ha ha ha ha!!!"
"\n<リリー>行くわよ。","\n<Lily>Off we go."
"\n<シィナ>仕切んな。","\n<Shina>Don't try to stop us."
"\n<ライム>（楽しそうなことになってきたぞー・・・）","\n<Lime>(Fun idea, for a fun game...)"
"水","水"
"一応飲めそうな水・・・","Water suitable for drinking..."
"この水を全部飲み干して桶を被れば・・・！！","Maybe if I drink all this water and put the bucket on my head...!!"
"バカなことを考えてる場合じゃない！","...This is no time to joke around!"
"平べったくて背中が痛い布団・・・
低い枕・・・","The futon cushions here are quite thin...
Lying flat on this would really hurt your back..."
"布団の中に隠れる・・・？
普通に寝てるだけだと思われて終わりだ！","Hide under the covers...?
They'd just think I'm sleeping in there and I'd be finished!"
"少し休憩しようかな・・・
（全回復　時間経過　+1）","Maybe I should rest for a bit...
(Full recovery and increases the passage of time by 1)"
"はい","Yes"
"いいえ","No"
"リリー","Lily"
"シィナ","Shina"
"ライム","Lime"
"掃除道具入れ","掃除道具入れ"
"報告書：魔物について（マンドラゴラ）","Record Log:
About Monsters (Mandragora)"
"植物の分際で動きます。
近づくと唾を吐きかけてくるので注意してください。
肌に触れると火傷のような症状が出ます。何より臭い！","As a plant, its mobility is limited. Note it may
spit saliva if approached. This will inflict
burns if it touches the skin. Not to mention the smell!"
"餌は何でもいいです。何でも喜んで食べます。
（※腕も食べられるので手でやらないこと）
骨は消化できないので注意。まとめて吐き出します。","Any food will do, it will happily eat just about anything.
(※Do not feed by hand, or it may eat your arm as well.)
It cannot digest bones however, so it will spit them out."
"植物系の魔物の例に漏れず、
炎属性の攻撃に極端に弱い模様。","As typical of plant-based monsters, it seems to be
highly vulnerable to fire based attacks."
"追伸：
食欲旺盛過ぎて、メイドが鍵を食べられてしまったそうです。
予備はあるので殺して取り出す必要はありません。","PS: Because of its heart appetite, it seems to have eaten the
key to the maids' room. Because we have a spare, there
is no need to kill it in order to extract it."
"捕まえシィナ","Shina Capture"
"\n<シィナ>に""ゃ""っ！！
脱獄囚ゲットにゃ！！","\n<Shina>Gotcha!!
Escaped prisoner capture complete-nya!!"
"\n<リリー>やっぱり鍵忘れてたみたい。
間に合って良かったー。","\n<Lily>I guess I forgot to lock it after all.
I'm glad we made it in time-."
"\n<ライム>あいたたた・・・
ハシゴにがてー・・・","\n<Lime>Ow ow ow...
Ladders suck..."
"\n<リリー>もうひとり捕まえてるし、そいつ好きなだけ搾っていいわよ。
私たちから逃げようとしたらどうなるか、
身体に教えてあげて。","\n<Lily>We've caught one more person, and we can squeeze them as much as
we like. Let's teach their body exactly what happens if they try
to run away from us."
"\n<シィナ>搾精処刑にゃぁー♥
ほら早くちんぽ立たせろー♥","\n<Shina>Semen squeezing punishment time-nya♥
Hora- Get hard quickly now-♥"
"通行止め","通行止め"
"まずはあにきに話しかけよう・・・","I should talk to Alsy first..."
"まずはロメリアに話しかけよう・・・","I should speak with Meria first..."
"EV022","EV022"
"・・・
随分と長い時間搾られていたようだ。","...
You must have been milked for quite some time."
"リリーの日記","Lily's Diary"
"ライムの日記
誘惑して脱獄","Lime's Dairy
Prison Outbreak"
"読んでみる","Read a little"
"やめておく","Stop reading"
"報告書","Report"
"もう何もない・・・","I've got no time for that..."
"EV025","EV025"
"\n<ロメリア>あれで調子乗っちゃったよね。
私だって淫魔に勝てるんだって。
へへへ♥","\n<Meria>You managed to get into it after all.
I'm even stronger than a succubus. Heheheh♥"
