"～性具～","~ Sex toys ~"
"<mat1:A5*1>
<mat2:I107*1>
<matG:300>","<mat1:A5*1>
<mat2:I107*1>
<matG:300>"
"疾風","Gale Wind"
"隼を改良したバイブ
性具　2回攻撃　命中-40","An improved Hayabusa vibrator
Sex toy  Attacks twice  Hit -40"
"<mat1:A29*1>
<mat2:I107*2>
<matG:300>","<mat1:A29*1>
<mat2:I107*2>
<matG:300>"
"屠龍","Dragon Slayer"
"かつてドラゴンをイカせたバイブ
性具　命中-5　クリティカル+5","A vibrator that once made a dragon orgasm
Sex toy  Hit -5  Critical +5"
"雷電","Raiden"
"先端から雷撃を放つバイブ
性具　機械特効","A vibrator that shoots a lightning from the tip
Sex toy  Effective against machines"
"震電","Shinden"
"雷で充電したバイブ　漏電注意
性具　機械特効","Lightning charged vibrator. Be careful of electric discharge!
Sex toy  Effective against machines"
"紫電","Shiden"
"紫の雷を放つバイブ
性具　機械特効","Vibrator that shoots purple lightning bolts
Sex toy  Effective against machines"
"紫電改","Shiden Kai"
"紫電を改良したバイブ
性具　機械特効","Improved Shiden vibrator
Sex toy  Effective against machines"
"<mat1:A33*1>
<mat2:I107*5>
<matG:500>","<mat1:A33*1>
<mat2:I107*5>
<matG:500>"
"ローションローター","Lotion Rotor"
"ぬるぬるするローター
性具　敏感付与","Slippery egg vibrator
Sex toy  Inflicts Sensitive"
"フェアリーワルツ","Fairy Waltz"
"妖精が優しく愛撫するようなディルドー
性具　敏感付与","A dildo that feels like the gentle caress of a fairy
Sex toy  Inflicts Sensitive"
"<mat1:A2*1>
<mat2:I80*2>
<mat3:I82*1>
<matG:300>","<mat1:A2*1>
<mat2:I80*2>
<mat3:I82*1>
<matG:300>"
"ぬるぬる手袋","Squish Mittens"
"ローションがしみこませてある手袋
性具　敏感付与","Lotion soaked gloves
Sex toy  Inflicts Sensitive"
"<mat1:I82*1>
<mat2:I103*1>
<mat3:I105*1>
<matG:300>","<mat1:I82*1>
<mat2:I103*1>
<mat3:I105*1>
<matG:300>"
"やぶからスティック","Pop-up Pole"
"急に飛び出してくる棒
性具　怯み付与","A pole that pops up unexpectedly
Sex toy  Inflicts Flinch"
"<mat1:I202*1>
<mat2:I82*1>
<matG:300>","<mat1:I202*1>
<mat2:I82*1>
<matG:300>"
"守護のディルドー","Guardian Dildo"
"精霊の加護を受けたディルドー
性具　防御効果+50%","A dildo protected by the divine spirits
Sex toy  Defense +50%"
"<mat1:A4*1>
<mat2:I794*1>
<mat3:I793*1>
<mat4:I795*1>
<matG:300>","<mat1:A4*1>
<mat2:I794*1>
<mat3:I793*1>
<mat4:I795*1>
<matG:300>"
"ケミカルライト","Glowstick"
"応援する時に降る光る棒
性具　怯み付与","A glowstick used for cheering
Sex toy  Inflicts Flinch"
"<mat1:I81*1>
<mat2:I78*1>
<mat3:I79*1>
<mat4:I80*1>
<matG:300>","<mat1:I81*1>
<mat2:I78*1>
<mat3:I79*1>
<mat4:I80*1>
<matG:300>"
"真珠","Pearl"
"魔力でアソコに埋め込む真珠
性具　ゴム装備不可　クリティカル+10","Magically embeds pearls into your penis
Sex toy  Cannot be equipped with condom  Critical +10"
"装着式バイブ","Wearable Vibrator"
"アソコに装着する小型バイブ
性具　ゴム装備不可","Small vibrator to be attached to the dick
Sex toy  Cannot be equipped with condom "
"ペニスバンド","Strap-on"
"腰に巻き付けるディルドー
性具　ゴム装備不可","Dildo wrapped around the waist
Sex toy  Cannot be equipped with condom "
"ハードラック","Hard Luck"
"運が悪くなって当たりにくくなるバイブ
性具　命中-80","Unlucky vibrator that makes it hard to hit
Sex toy  Accuracy -80"
"アナルビーズ","Anal Beads"
"お尻に入れるつぶつぶ
性具　尻属性攻撃","Beads inserted into one's butt
Sex toy  Ass attribute"
"<mat1:I82*2>
<matG:300>","<mat1:I82*2>
<matG:300>"
"アナルバイブ","Anal Vibrator"
"お尻にねじ込むバイブ
性具　尻属性攻撃","Vibrator to be inserted in one's behind
Sex toy  Ass attribute"
"<mat1:A45*1>
<mat2:I82*3>
<matG:300>","<mat1:A45*1>
<mat2:I82*3>
<matG:300>"
"エネマグラ","Enema"
"医療器具
性具　尻属性攻撃","Medical equipment
Sex toy  Ass attribute"
"<mat1:A46*1>
<mat2:I82*3>
<matG:300>","<mat1:A46*1>
<mat2:I82*3>
<matG:300>"
"盗賊手袋","Theif's Gloves"
"仕事をする時にはめる手袋
性具　敵からの獲得金額2倍","Gloves worn during a heist
Sex toy  Doubles gold acquired from enemies"
"<mat1:I101*3>
<mat2:I74*5>
<matG:300>","<mat1:I101*3>
<mat2:I74*5>
<matG:300>"
"鷹の爪","Hawk's Claw"
"指先が器用になる手袋
性具","Gloves that make your fingertips dexterous
Sex toy"
"マジックハンド","Magic Hand"
"自分の指のように器用に動かせる棒
性具","A stick that can be moved dexterously like your finger
Sex toy"
"バールのようなもの","Some Kind of Crowbar"
"物理学的に最強
性具　命中-50","The physically strongest sex toy
Sex toy  Hit -50"
"かじられにんじん","Nibbled-on Carrot"
"かじられて固くとがったにんじん
性具　クリティカル+5","Carrots that have been gnawed to a sharp point
Sex toy  Critical +5"
"エクスカリポー","Excalibo"
"伝説のディルドーの偽物の偽物
性具　クリティカル+5","A fake of the fake of the legendary dildo
Sex toy  Critical +5"
"<mat1:A57*1>
<matG:5000>","<mat1:A57*1>
<matG:5000>"
"エクスカリペー","Excalibee"
"伝説のディルドーの偽物の偽物の偽物
性具　回復効果+30%","A fake of the fake of the fake of the legendary dildo
Sex toy  Recovery + 30%"
"<mat1:A53*1>
<matG:5000>","<mat1:A53*1>
<matG:5000>"
"エクスカリプー","Excaliboo"
"伝説のディルドーの偽物の偽物の偽物の偽物
性具","A fake fake of the fake of the fake of the legendary dildo
Sex toy "
"<mat1:A54*1>
<matG:5000>","<mat1:A54*1>
<matG:5000>"
"エクスカリバァァァアン","Excalibaaaaaaaaaaaahn"
"伝説のディルドーの偽物の偽物の偽物の偽物の紛い物
性具　クリティカル+30","An imitation of the fake fake of the fake fake legendary dildo
Sex toy  Critical +30"
"<mat1:A55*1>
<matG:5000>","<mat1:A55*1>
<matG:5000>"
"エクスカウパー","Exscalliper"
"伝説のディルドーの偽物
性具　精力自動回復+1","A fake version of the legendary dildo
Sex toy  Auto recover energy +1"
"<mat1:A56*1>
<matG:5000>","<mat1:A56*1>
<matG:5000>"
"エクスカリバー","Excalibur"
"伝説のディルドー
性具　体力消費0　2回攻撃","Legendary dildo
Sex toy  0 HP consumption  Attacks twice"
"<mat1:A53*1>
<mat2:A54*1>
<mat3:A55*1>
<mat4:A56*1>
<mat5:A57*1>
","<mat1:A53*1>
<mat2:A54*1>
<mat3:A55*1>
<mat4:A56*1>
<mat5:A57*1>
"
"如意棒","Ruyi Jingu"
"伸縮自在の棒
性具　体力消費-10%","Telescopic rod
Sex toy  HP consumption -10%"
"マンイーター","Man Eater"
"人間の魂を食って作動するバイブ
性具　人属性特効","A vibrator that works by devouring human souls
Sex toy  Effective against humans"
"<mat1:A5*1>
<mat2:I100*3>
<matG:500>","<mat1:A5*1>
<mat2:I100*3>
<matG:500>"
"マンイーターⅡ","Man Eater II"
"<mat1:A60*1>
<mat2:I100*3>
<matG:500>","<mat1:A60*1>
<mat2:I100*3>
<matG:500>"
"マンイーターⅢ","Man Eater III"
"<mat1:A61*1>
<mat2:I100*3>
<matG:500>","<mat1:A61*1>
<mat2:I100*3>
<matG:500>"
"マンイーターⅣ","Man Eater IV"
"人間の魂を食って作動するバイブ
性具　人属性特効　敏感付与","A vibrator that works by devouring human souls
Sex toy  Effective against humans  Inflicts sensitivity"
"<mat1:A62*1>
<mat2:I100*3>
<mat3:I82*2>
<matG:500>","<mat1:A62*1>
<mat2:I100*3>
<mat3:I82*2>
<matG:500>"
"バグスマッシャー","Bug Smasher"
"殺虫作用のある植物を練りこんだバイブ
性具　虫属性特効","Vibrator infused with insecticidal plants
Sex toy  Effective against insects"
"<mat1:A5*1>
<mat2:I105*3>
<matG:500>","<mat1:A5*1>
<mat2:I105*3>
<matG:500>"
"バグスマッシャーⅡ","Bug Smasher II"
"<mat1:A64*1>
<mat2:I105*3>
<matG:500>","<mat1:A64*1>
<mat2:I105*3>
<matG:500>"
"バグスマッシャーⅢ","Bug Smasher III"
"<mat1:A65*1>
<mat2:I105*3>
<matG:500>","<mat1:A65*1>
<mat2:I105*3>
<matG:500>"
"バグスマッシャーⅣ","Bug Smasher IV"
"殺虫作用のある植物を練りこんだバイブ
性具　虫属性特効　怯み付与","Vibrator infused with insecticidal plants
Sex toy  Effective against insects  Inflicts Flinch"
"<mat1:A66*1>
<mat2:I105*3>
<mat3:I80*2>
<matG:500>","<mat1:A66*1>
<mat2:I105*3>
<mat3:I80*2>
<matG:500>"
"スライムバスター","Slime Buster"
"超振動で水分を蒸発させるバイブ
性具　水属性特効","Vibrator that evaporates water with super vibration
Sex toy  Effective against water"
"<mat1:A5*1>
<mat2:I103*3>
<matG:500>","<mat1:A5*1>
<mat2:I103*3>
<matG:500>"
"スライムバスターⅡ","Slime Buster II"
"<mat1:A68*1>
<mat2:I103*3>
<matG:500>","<mat1:A68*1>
<mat2:I103*3>
<matG:500>"
"スライムバスターⅢ","Slime Buster III"
"<mat1:A69*1>
<mat2:I103*3>
<matG:500>","<mat1:A69*1>
<mat2:I103*3>
<matG:500>"
"スライムバスターⅣ","Slime Buster IV"
"超振動で水分を蒸発させるバイブ
性具　水属性特効　消費体力-50%","Vibrator that evaporates water with super vibration
Sex toy  Effective against water HP cost -50%"
"<mat1:A70*1>
<mat2:I103*3>
<mat3:I79*2>
<matG:500>","<mat1:A70*1>
<mat2:I103*3>
<mat3:I79*2>
<matG:500>"
"ビーストスレイヤー","Beast Slayer"
"獣が怖がる匂いを放つディルドー
性具　獣属性特効","A dildo that emits a scent that scares beasts
Sex toy  Effective against beasts"
"<mat1:A2*1>
<mat2:I102*3>
<matG:500>","<mat1:A2*1>
<mat2:I102*3>
<matG:500>"
"ビーストスレイヤーⅡ","Beast Slayer II"
"<mat1:A72*1>
<mat2:I102*3>
<matG:500>","<mat1:A72*1>
<mat2:I102*3>
<matG:500>"
"ビーストスレイヤーⅢ","Beast Slayer III"
"<mat1:A73*1>
<mat2:I102*3>
<matG:500>","<mat1:A73*1>
<mat2:I102*3>
<matG:500>"
"ビーストスレイヤーⅣ","Beast Slayer IV"
"獣が怖がる匂いを放つディルドー
性具　獣属性特効　TP増加+20%","A dildo that emits a scent that scares beasts
Sex toy  Effective against beasts  TP gain +20%"
"<mat1:A74*1>
<mat2:I102*3>
<mat3:I795*2>
<matG:500>","<mat1:A74*1>
<mat2:I102*3>
<mat3:I795*2>
<matG:500>"
"デモンキラー","Demon Killer"
"悪魔を封印する聖なるバイブ
性具　悪属性特効","Holy vibe that seals succubus magic
Sex toy  Effective against demons"
"<mat1:A5*1>
<mat2:I101*3>
<matG:500>","<mat1:A5*1>
<mat2:I101*3>
<matG:500>"
"デモンキラーⅡ","Demon Killer II"
"<mat1:A76*1>
<mat2:I101*3>
<matG:500>","<mat1:A76*1>
<mat2:I101*3>
<matG:500>"
"デモンキラーⅢ","Demon Killer III"
"<mat1:A77*1>
<mat2:I101*3>
<matG:500>","<mat1:A77*1>
<mat2:I101*3>
<matG:500>"
"デモンキラーⅣ","Demon Killer IV"
"悪魔を封印する聖なるバイブ
性具　悪属性特効　毎ターン精力-1%","Holy vibe that seals succubus magic
Sex toy  Effective against demons  -1% energy every turn"
"<mat1:A78*1>
<mat2:I101*3>
<mat3:I794*2>
<matG:500>","<mat1:A78*1>
<mat2:I101*3>
<mat3:I794*2>
<matG:500>"
"ウィンドレス","Windless"
"手に持つと当たり一面の風が止む
性具　風属性特効","When you hold it in your hand, the wind grows still
Sex toy  Effective against wind"
"<mat1:A2*1>
<mat2:I104*3>
<matG:500>","<mat1:A2*1>
<mat2:I104*3>
<matG:500>"
"ウィンドレスⅡ","Windless II"
"<mat1:A80*1>
<mat2:I104*3>
<matG:500>","<mat1:A80*1>
<mat2:I104*3>
<matG:500>"
"ウィンドレスⅢ","Windless III"
"<mat1:A81*1>
<mat2:I104*3>
<matG:500>","<mat1:A81*1>
<mat2:I104*3>
<matG:500>"
"ウィンドレスⅣ","Windless IV"
"手に持つと当たり一面の風が止む
性具　風属性特効　アイテムの回復効果+100","When you hold it in your hand, the wind grows still
Sex toy  Effective against wind Item recovery effect +100"
"<mat1:A82*1>
<mat2:I104*3>
<mat3:I80*2>
<matG:500>","<mat1:A82*1>
<mat2:I104*3>
<mat3:I80*2>
<matG:500>"
"ディスプラント","Displant"
"養分を吸い取る大樹の根っこ
性具　草属性特効","The root of a large tree that absorbs nutrients
Sex toy  Effective against grass "
"<mat1:A2*1>
<mat2:I106*3>
<matG:500>","<mat1:A2*1>
<mat2:I106*3>
<matG:500>"
"ディスプラントⅡ","Displant II"
"<mat1:A84*1>
<mat2:I106*3>
<matG:500>","<mat1:A84*1>
<mat2:I106*3>
<matG:500>"
"ディスプラントⅢ","Displant III"
"<mat1:A85*1>
<mat2:I106*3>
<matG:500>","<mat1:A85*1>
<mat2:I106*3>
<matG:500>"
"ディスプラントⅣ","Displant IV"
"養分を吸い取る大樹の根っこ
性具　草属性特効　2連続攻撃","The root of a large tree that absorbs nutrients
Sex toy  Effective against grass  2 consecutive attacks"
"<mat1:A86*1>
<mat2:I106*3>
<mat3:I202*2>
<matG:500>","<mat1:A86*1>
<mat2:I106*3>
<mat3:I202*2>
<matG:500>"
"サキュバステイル","Succubus Tail"
"淫魔の尻尾を模したディルドー
性具　精力自動回復+1　体力自動回復+1","A dildo that looks like a succubus' tail
Sex toy  Auto recover energy and health +1"
"<mat1:A4*1>
<mat2:I82*3>
<mat3:I101*2>
<matG:500>","<mat1:A4*1>
<mat2:I82*3>
<mat3:I101*2>
<matG:500>"
"なえぽよ","Naepoyo"
"持っているだけでやる気が失せる棒状の何か
性具　TP増加-100%","Some sort of pole that saps your motivation when you hold it
Sex toy  TP increase -100%"
"クトゥルーの触手","Cthulhu's Tentacles"
"うねうねと蠢く神話生物の触手
性具　拘束付与　TP増加-100%","Writhing, wriggling tentacles of a legendary creature
Sex toy  Inflicts Bind  TP increase -100%"
"ニャルラハンド","Nyarlathotep's Hand"
"這い寄る混沌
性具　拘束付与　TP増加-100%","The Crawling Chaos
Sex toy  Inflicts Bind  TP increase -100%"
"うなぎ","Eel"
"かば焼きにするととても美味しい
性具　拘束付与　スタン付与","Very delicious when made into kabayaki
Sex toy   Inflicts Bind, Stun"
"レッドスネーク","Red Snake"
"笛を吹いて操る蛇
性具　拘束付与　スタン付与","A snake that dances when you play the flute
Sex toy  Inflicts Bind  Inflicts Stun"
"わんこ","Puppy"
"バターが大好き
性具　怯み付与　TP増加-100%","Loves to lick butter
Sex toy  Inflicts Flinch  TP increase -100%"
"わからせ棒","Obedience Stick"
"装備すると無様腰振りワンちゃんになる
性具　生意気特効　ロリ特効(嘘)","Opponent becomes an obedient dog when equipped
Sex toy  Effective against brats and lolis (Lie)"
"<mat1:I202*1>
<matG:10>","<mat1:I202*1>
<matG:10>"
"バックラー","Buckler"
"
性具　回復効果+20%","
Sex toy recovery effect + 20%"
"ちくわ","Chikuwa"
"おでんに、あるいはモザイクの代わりに使用する
性具　精力自動回復+1　回復効果+50%","Use for oden or instead of mosaic
Sex toys automatic recovery +1 recovery effect + 50%"
"～ゴム～","~ Rubber ~"
"デバッグ用ゴム（軽量化）","Debugging rubber (lightening)"
"極薄ゴム","Ultra-thin Condom"
"0.01mのコンドーム
ゴム　","0.01m condom
Condom"
"ゴム","Condom"
"0.05mの隔たり
ゴム","0.05m thick condom
Condom"
"厚いゴム","Thick Condom"
"0.1mのコンドーム
ゴム","0.1m condom
Condom"
"分厚いゴム","Ultra Thick Condom"
"0.2mのコンドーム
ゴム","0.2m condom
Condom"
"指サック","Finger Cot"
"本来は指にはめてあかぎれ等を防ぐもの
ゴム","Originally put on fingers to prevent chapped skin
Condom"
"鉄のゴム","Iron Condom"
"鉄でできたゴム（？）
ゴム","Condom made of iron (?)
Condom"
"<mat1:I76*1>
<matG:100>","<mat1:I76*1>
<matG:100>"
"金のゴム","Gold Condom"
"金メッキされた悪趣味なゴム
ゴム","Tacky, gold plated condom
Condom"
"<mat1:I77*1>
<matG:100>","<mat1:I77*1>
<matG:100>"
"早漏用ゴム","Condom for Premature Ejaculation"
"プライドが傷付かないように配慮されたゴム
ゴム","Condom designed to prevent one's pride from being scratched
Condom"
"遅漏用ゴム","Condom for Delayed Ejaculation"
"遅すぎるのも問題がある
ゴム　体力消費-10%","It's not good to last too long either
Condom  HP consumption -10%"
"無色透明な膜","Colorless and Transparent Film"
"IQが高いと見えるらしい
ゴム","Makes your IQ seem higher
Condom"
"親指サック","Thumb Sack"
"ちょっと余裕のある指サック
ゴム","Finger cot with a little extra space
Condom"
"リラックスゴム","Relax Condom"
"身体の疲れやコリがほぐれていく薬用ゴム
ゴム　体力自動回復+2","Medicinal Condom that relieves tiredness and stiffness
Condom  Auto HP recovery +2"
"アロマゴム","Aroma Condom"
"いい匂いで心も身体もリフレッシュするゴム
ゴム　精力自動回復+2　体力自動回復+2","Condom that refreshes the mind and body with a nice scent
Condom automatic recovery +2 HP automatic recovery +2"
"マグネティックゴム","Magnetic Condom"
"血流が良くなるらしいゴム
ゴム　精力自動回復+2　体力自動回復+2","Condom that seems to improve blood flow
Condom automatic recovery +2 HP automatic recovery +2"
"ヘルスケアゴム","Healthcare Condom"
"身体にいい毎日の健康を保ってくれるゴム
ゴム　体力自動回復+4","Condom that is good for your body and keeps you healthy every day
Condom automatic recovery of HP +4"
"再生のゴム","Recycled Condom"
"リサイクル素材で作ったゴム
ゴム　精力自動回復+4","Condom made from recycled materials
Condom  Auto energy recovery +4"
"リジェネゴム","Regen Condom"
"継続回復魔法がかけられたゴム
ゴム　精力自動回復+4","Condom with continuous recovery magic
Condom  Auto energy recovery +4"
"薬剤師のゴム","Pharmacist Condom"
"少し薬っぽい匂いのするゴム
ゴム　アイテム回復効果+20","Condom that smells a little like medicine
Condom  Item recovery effect +20"
"錬金術師のゴム","Alchemist's Condom"
"賢者の石を作ろうとしたらうっかりできたゴム
ゴム　アイテム回復効果+50","Condom made while trying to create a philosopher's stone
Condom  Item recovery effect +50"
"<mat1:I81*1>
<mat2:I82*1>
<mat3:I78*1>
<mat4:I79*1>
<mat5:I80*1>
<matG:500>","<mat1:I81*1>
<mat2:I82*1>
<mat3:I78*1>
<mat4:I79*1>
<mat5:I80*1>
<matG:500>"
"エコロジーゴム","Eco Condom"
"自然にやさしい省エネゴム
ゴム　消費体力-20%　草風耐性","Eco-friendly energy saving condom
Condom  HP cost -20%  Plant/Wind resistance"
"<mat1:I80*1>
<mat2:I74*1>
<mat3:I71*1>
<mat4:I72*1>
<mat5:I73*1>
<matG:500>","<mat1:I80*1>
<mat2:I74*1>
<mat3:I71*1>
<mat4:I72*1>
<mat5:I73*1>
<matG:500>"
"ストロベリーゴム","Strawberry Condom"
"いちご味のゴム
ゴム　消費体力-20%　フェラ耐性-50%","Strawberry-flavored condom
Condom  HP cost -20%  Blowjob resistance -50%"
"ブルーベリーゴム","Blueberry Condom"
"ブルーベリー味のゴム
ゴム　消費体力-20%　フェラ耐性-100%","Blueberry flavored Condom
Condom  HP cost -20%  Blowjob resistance-100%"
"デリシャスゴム","Delicious Condom"
"ナニごと食べる人が続出する危険なゴム
ゴム　フェラ耐性-500%","Dangerous condom everyone wants a taste of
Condom  Blowjob resistance -500%"
"<mat1:A121*1>
<mat2:A122*1>
<mat3:A139*1>
<mat4:A140*1>
<matG:500>","<mat1:A121*1>
<mat2:A122*1>
<mat3:A139*1>
<mat4:A140*1>
<matG:500>"
"テーピング","Tape"
"テープでぐるぐる巻きにする
ゴム　消費体力-20%　脱力無効","Wrap yourself up with tape
Condom  HP cost -20%  Null Weakness"
"マジックカーテン","Magic curtain"
"ゴムの代わりに魔力を薄く纏わりつかせる
ゴム　消費体力-20%","Wrap it up with a thin layer of magic instead of a condom
Condom  HP cost -20%"
"フレアオーラ","Flare Aura"
"付けているだけで身体が熱くなるゴム
ゴム　TP増加+20　魅了無効","Condom that makes your body hot as soon as you wear it
Condom  TP increase +20  Null Charm"
"<mat1:I78*1>
<matG:500>","<mat1:I78*1>
<matG:500>"
"アイスオーラ","Ice Aura"
"付けているだけで末端冷え性になるゴム
ゴム　回復効果+20　興奮無効","Condom that makes your tip chilly as soon as you wear it
Condom  Recovery effect +20  Null Arousal"
"<mat1:I79*1>
<matG:500>","<mat1:I79*1>
<matG:500>"
"エレキオーラ","Electric Aura"
"付けているだけで痺れるゴム
ゴム　クリティカル+2　怯み無効","Condom that makes you feel numb as soon as you wear it
Condom  Crit +2  Null Flinch"
"<mat1:I107*1>
<matG:500>","<mat1:I107*1>
<matG:500>"
"コテカ","Koteka"
"アソコにはめる何かケースのようなもの
ゴム　クリティカル+5　怯み無効","A sort of sheath that fits around your penis
Condom  Critical +5  Null Flinch"
"イボイボゴム","Bumpy Condom"
"イボイボの付いたゴム
ゴム　本番耐性+20","Condom covered with bumps
Condom  Penetration resistance +20"
"トゲトゲゴム","Thorny Condom"
"トゲトゲの付いたゴム
ゴム　本番耐性+20","Condom covered with thorns
Condom  Penetration resistance +20"
"トレーニングゴム","Training Condom"
"訓練を積むためのゴム
ゴム　経験値+20%","Condom for training
Condom  Experience +20%"
"グラビティゴム","Gravity Condom"
"付けると重力で下に引っ張られるゴム
ゴム　経験値+20%","Condom that is pulled down by gravity when attached
Condom experience value + 20%"
"秘忍具","Secret Ninja"
"シノビが使っていたと古事記にも記されている
ゴム　怯み無効","It is also written in the Kojiki that Shinobi used it.
Condom frightening invalid"
"フラッシュゴム","Flash Condom"
"明るく光る素材でできたゴム
ゴム　怯み無効　暗闇無効","Condom made of brightly shining material
Condom frightening invalid Darkness invalid"
"デコレーションゴム","Decoration Condom"
"ラメとかでデコってあるゴム
ゴム　怯み無効　暗闇無効　魅了無効","Condom that is decorated with glitter
Condom is invalid, darkness is invalid, fascination is invalid"
"ソードオフゴム","Sawed-Off Condom"
