"自動実行","自動実行",
"部屋を見せて貰ったら立派な作業台がありました。
真剣な顔して作業してる姿が見てみたいので
今度はわざとヒールのかかとをへし折ろうと思います！","部屋を見せて貰ったら立派な作業台がありました。
真剣な顔して作業してる姿が見てみたいので
今度はわざとヒールのかかとをへし折ろうと思います！",
"最初のイベント","最初のイベント",
"\n<ライム>やっぱりね！","\n<Lime>I knew it!",
"\n<ライム>逃げる時間そんなにないよなー、って思ってたの。
どこかに隠れてたのかな？
待ってたら来ると思ったよー！","\n<Lime>I was just thinking, ""there was no time to escape at all-"".
You hid somewhere, right? So I thought to wait here, just in case!",
"ーーーーー基本変更点ーーーーー",,
"\n<ライム>にへへへへー♥
つーかまーえた♥","\n<Lime>Ehehehehe-♥
Caught you-♥",
"\n<\n[3]>ぬるぬるして動きにくいでしょー。
早く逃げないと白いの出させちゃうぞー？","\n<\n[3]>It's hard to move when everything is so slippery right?
If you don't escape soon, you'll let out your white stuff right?",
"\C[3]※捕まるとタイミングバーが表示されます。
\C[0]タイミングよく黄か赤で止めてください。
赤で止めると被ダメージが半減します。","\C[3]※A timing bar will display if you're caught.
\C[0]Go ahead and stop in the red or yellow areas. Red areas will reduce damage taken by half.",
"\n<\n[3]>むにゅー・・・♥
柔らかくて溶けちゃいそうでしょー♥
気持ちいい気持ちいいー♥","\n<\n[3]>Squish-...♥
They're so soft you're about to melt aren't you?♥Feels so good- Feels so good-♥",
"\n<\n[3]>あれー？もう出ちゃうのー？
おっぱい我慢できなかったー？あはは♥
じゃあ一回だけ、出しちゃおっかー♪","\n<\n[3]>What's this? You're about to cum already-?
So you couldn't resist my boobs after all? Ahaha♥Well then, I'll give you one more pump, let it all out♪",
"\n<\n[3]>あっあっ♥おっぱいの間でぴくぴくしてるー♥
おちんちん喜んでくれたみたい♥
うれしー♥","\n<\n[3]>Ahh ahh♥ It's shooting between my boobies-♥
Your penis seems delighted too♥ I'm so happy-♥",
"\C[1]SAN値が1下がった・・・（現在SAN値\v[270]）","\C[1]Sanity decreased by 1... (Current Sanity: \v[270]）",
"\n<ライム>もうー。ひょっとして全然抵抗する気ないのー？
ゲームはまだ始まったばかりなのに。
次は本気で搾っちゃうからねー？","\n<Lime>Whoa- Were you seriously not trying to resist at all-?
And the game has only just started, next time I'llmilk you for real okay?",
"\n<ライム>あっ！逃げられちゃった・・・
まぁいいっかー。","\n<Lime>Ah! You escaped...
Oh well-.",
"\n<ライム>えーっと、リリーの行ってたこと、
聞こえてたかな？
脱出ゲームがどーのこーの・・・","\n<Lime>Oh and...you heard what Lily said right?
About this escape game thingy...",
"\n<ライム>この館は広いからねー。
なかなか出られないと思うけど・・・
頑張って色んなところ、探してみてね。","\n<Lime>This mansion is very, very big-.
I don't think you'll get out...but feel free to try your hardest,and search everywhere you can okay?",
"\n<ライム>リリーもシィナも楽しそうだから。
簡単に諦めたりしちゃーダメだよー？
いっぱい遊ばれてね。","\n<Lime>Lily and Shina seem to be happy after all.
So you shouldn't give up so easily OK? Enjoy yourselfas much as possible now-",
"\n<ライム>次は一回射精したぐらいじゃ
許してあげないからねー？くすくす♥
ばいばーい♥","\n<Lime>Next time you cum, I won't go easy on you now alright?
Teehee♥ Bye bye♥",
"\n<ライム>じゃー頑張ってねー。
次は私も本気でぴゅっぴゅさせにいっちゃうからねー。","\n<Lime>Now then, do your best okay?
Next time I'll make you go pew pew for realsies-",
"ドア","ドア",
"玄関扉は固く閉ざされている・・・","The entrance door has been shut tight...",
"\n<？？？>開かないよ。","\n<？？？>開かないよ。",
"\n<？？？>あたしも閉じ込められて困ってんの。
あんた誰？","\n<？？？>あたしも閉じ込められて困ってんの。
あんた誰？",
"MP_SET_MOVIE e8_Ta","MP_SET_MOVIE e8_Ta",
"MP_SET_LOOP 6 on","MP_SET_LOOP 6 on",
"\n<アーコ>あーあー警戒しないで。
あたし中立だから。ちゅーりつ。
知ってる？ちゅーりつって言葉。チューリップじゃないよ。","\n<アーコ>あーあー警戒しないで。
あたし中立だから。ちゅーりつ。
知ってる？ちゅーりつって言葉。チューリップじゃないよ。",
"\n<？？？>こんなところに人間が居るなんて珍しーね。
リリーたちに捕まったのかな？","\n<？？？>こんなところに人間が居るなんて珍しーね。
リリーたちに捕まったのかな？",
"\n<？？？>あたしアーコ。
黒猫のアーコだよ。よろしく。
あんたは？","\n<？？？>あたしアーコ。
黒猫のアーコだよ。よろしく。
あんたは？",
"\n[1]・・・","\n[1]・・・",
"擬態型かァ～？","擬態型かァ～？",
"\n<アーコ>友好型だよ。アーコだよ。
名前。教えてよ。","\n<アーコ>友好型だよ。アーコだよ。
名前。教えてよ。",
"\n<アーコ>\n[1]。
うん。覚えた。フツーだね。
フツーにいい名前。フツー。","\n<アーコ>\n[1]。
うん。覚えた。フツーだね。
フツーにいい名前。フツー。",
"\n<シィナ>アーコ来てんのかー！？","\n<シィナ>アーコ来てんのかー！？",
"\n<アーコ>隠れて！","\n<アーコ>隠れて！",
"\n<シィナ>タバコにゃ。
持ってきたにゃ？","\n<シィナ>タバコにゃ。
持ってきたにゃ？",
"\n<アーコ>ほいほい。
税金上がったから1箱540Gだよ。
何個欲しいの？しぃにゃん。","\n<アーコ>ほいほい。
税金上がったから1箱540Gだよ。
何個欲しいの？しぃにゃん。",
"\n<シィナ>淫魔が税金納めてんじゃねー！
カートンにゃ！
あと次しぃにゃんって呼んだら殺す！","\n<シィナ>淫魔が税金納めてんじゃねー！
カートンにゃ！
あと次しぃにゃんって呼んだら殺す！",
"\n<アーコ>5400G！まいどー♪
あたし、しぃにゃんの怒った顔好き。","\n<アーコ>5400G！まいどー♪
あたし、しぃにゃんの怒った顔好き。",
"\n<シィナ>アーココロス！","\n<シィナ>アーココロス！",
"\n<アーコ>（やっぱりシィナは怒った時の顔が一番可愛い・・・）","\n<アーコ>（やっぱりシィナは怒った時の顔が一番可愛い・・・）",
"\n<シィナ>あーお前と話してるとほんと調子狂うにゃ。
はよ帰れし。
じゃーなバーカ。","\n<シィナ>あーお前と話してるとほんと調子狂うにゃ。
はよ帰れし。
じゃーなバーカ。",
"\n<アーコ>帰りたくても帰れないよ。
玄関開かないもん。","\n<アーコ>帰りたくても帰れないよ。
玄関開かないもん。",
"\n<シィナ>あ。そうにゃ。
今人間と脱出ゲームやってるから全部閉め切ってるにゃん。","\n<シィナ>あ。そうにゃ。
今人間と脱出ゲームやってるから全部閉め切ってるにゃん。",
"\n<アーコ>脱出ゲーム？","\n<アーコ>脱出ゲーム？",
"\n<シィナ>人間がここから脱出するのが先か
アタシらにチンポ犯されまくって干物になるのが先かの・・・","\n<Shina>A game of what will come first...
The human escaping, or getting their dick totally
milked until they become our semen slave...",
"\n<シィナ>まさにセイシをかけたゲームにゃ！","\n<シィナ>まさにセイシをかけたゲームにゃ！",
"\n<アーコ>そう・・・
（また妙なことやってる・・・）","\n<アーコ>そう・・・
（また妙なことやってる・・・）",
"\n<シィナ>邪魔すんなよ。","\n<シィナ>邪魔すんなよ。",
"\n<アーコ>えっ？ちょっと待って。
それってあたしも出られないってコト？","\n<アーコ>えっ？ちょっと待って。
それってあたしも出られないってコト？",
"\n<シィナ>お前のことは知らんし。
大人しく床の溝でもなぞっとけにゃ。
カートンありがとにゃー。","\n<シィナ>お前のことは知らんし。
大人しく床の溝でもなぞっとけにゃ。
カートンありがとにゃー。",
"\n<アーコ>なるほどねー。
事情は分かったよ。","\n<アーコ>なるほどねー。
事情は分かったよ。",
"\n<アーコ>どうやら\n[1]が出口を見つけるか干物になるまで
あたしも出られなくなっちゃったみたい。
うーん。","\n<アーコ>どうやら\n[1]が出口を見つけるか干物になるまで
あたしも出られなくなっちゃったみたい。
うーん。",
"\n<アーコ>今ここで干物にしちゃうか・\.・\.・\.","\n<Ako>I could even start milking you right now.\..\..\.",
"\n<アーコ>冗談だよ。
うける。","\n<アーコ>冗談だよ。
うける。",
"\n<アーコ>ところであたしは淫魔だけどお店をやってるんだよ。
黒猫屋！
精力剤とか必要でしょ？売ってあげるよ！","\n<アーコ>ところであたしは淫魔だけどお店をやってるんだよ。
黒猫屋！
精力剤とか必要でしょ？売ってあげるよ！",
"\n<アーコ>お金無いの？
じゃあ、もしこの館でお金になりそうなものあったら
あたしに持ってきて。買い取ってあげる。","\n<アーコ>お金無いの？
じゃあ、もしこの館でお金になりそうなものあったら
あたしに持ってきて。買い取ってあげる。",
"\n<アーコ>あたしここに居るから。
何かあったら話しかけてね。
じゃ。","\n<アーコ>あたしここに居るから。
何かあったら話しかけてね。
じゃ。",
"シィナイベ用","シィナイベ用",
"アーコ","アーコ",
"\n<アーコ>やぁやぁ。アーコだよ。
何か欲しい物とかあるの？
見てく？","\n<アーコ>やぁやぁ。アーコだよ。
何か欲しい物とかあるの？
見てく？",
"\n<アーコ>武器になりそうなものとか見つけた？
まずはそういうの探すといいかもね。","\n<アーコ>武器になりそうなものとか見つけた？
まずはそういうの探すといいかもね。",
"\n<アーコ>何食べたらそんなにおっぱい大きくなるの？
横縞模様だからおっぱい大きく見えるの？
錯覚？","\n<アーコ>何食べたらそんなにおっぱい大きくなるの？
横縞模様だからおっぱい大きく見えるの？
錯覚？",
"\n<アーコ>囚人服に合ってるよ。
まさに囚人って感じ。
褒めてないよ。","\n<アーコ>囚人服に合ってるよ。
まさに囚人って感じ。
褒めてないよ。",
"\n<アーコ>あたしは淫魔だし、気持ちが分かるから
どっちの味方もしないよ。
でも仲良くしたいって思ってる。","\n<アーコ>あたしは淫魔だし、気持ちが分かるから
どっちの味方もしないよ。
でも仲良くしたいって思ってる。",
"\n<アーコ>シィナは猫の時からの友達だよ。
リリーに淫魔にされたんだってさ。
あたしは違うやつに淫魔にされたけど。","\n<アーコ>シィナは猫の時からの友達だよ。
リリーに淫魔にされたんだってさ。
あたしは違うやつに淫魔にされたけど。",
"\n<アーコ>あたしも淫魔だから精液が一番美味しいと思うけど
カリカリもかつおぶしも同じくらい美味しいと思う。
一番がいっぱいあるといいね。","\n<アーコ>あたしも淫魔だから精液が一番美味しいと思うけど
カリカリもかつおぶしも同じくらい美味しいと思う。
一番がいっぱいあるといいね。",
"\n<アーコ>ここは元々大金持ちが住んでたんだって。
メイドも使用人もいっぱい居たってさ。
なんでこんな森の中に？って感じ。","\n<アーコ>ここは元々大金持ちが住んでたんだって。
メイドも使用人もいっぱい居たってさ。
なんでこんな森の中に？って感じ。",
"\n<アーコ>みんなお金に興味ないから
あたしがこの館から色々持って行っても何とも思わないんだよ。
だから、ここで仕入れて町で売ったりする。","\n<アーコ>みんなお金に興味ないから
あたしがこの館から色々持って行っても何とも思わないんだよ。
だから、ここで仕入れて町で売ったりする。",
"\n<アーコ>その見返りにタバコとか持ってきてあげるの。
まぁ、それもお金取るけどね。","\n<アーコ>その見返りにタバコとか持ってきてあげるの。
まぁ、それもお金取るけどね。",
"\n<アーコ>淫魔の巣に閉じ込められるのは
人間にとって辛いでしょ。
少しでもえっちな気分になるとすぐ硬くなっちゃう。","\n<アーコ>淫魔の巣に閉じ込められるのは
人間にとって辛いでしょ。
少しでもえっちな気分になるとすぐ硬くなっちゃう。",
"\n<アーコ>行き詰ったらとりあえず攻撃してみたらいいよ。
壊せるものとかあるかもしれないし。","\n<アーコ>行き詰ったらとりあえず攻撃してみたらいいよ。
壊せるものとかあるかもしれないし。",
"\n<アーコ>お兄ちゃんも下に居るの？
面白そうだから後で行ってみよー。","\n<アーコ>お兄ちゃんも下に居るの？
面白そうだから後で行ってみよー。",
"\n<アーコ>妹も捕まってるの？
後で行ってみよー。
仲良くなれるかな？","\n<アーコ>妹も捕まってるの？
後で行ってみよー。
仲良くなれるかな？",
"買い物","買い物",
"用事はない","用事はない",
"\n<アーコ>何を買ってくれるのかな？","\n<アーコ>何を買ってくれるのかな？",
"\n<アーコ>ははーん。さては冷やかしだな？
ふーん！","\n<アーコ>ははーん。さては冷やかしだな？
ふーん！",
"\n<アーコ>まいどあり～！","\n<アーコ>まいどあり～！",
"\n<アーコ>ふーん。","\n<アーコ>ふーん。",
"食糧庫ドア","食糧庫ドア",
"食糧庫の鍵を開けた！","食糧庫の鍵を開けた！",
"食糧庫のようだ。
鍵がかかっている・・・","Looks like the pantry.
It's locked…",
"植物","植物",
" <enemy:99>"," <enemy:99>",
"クマのぬいぐるみだ。
少しお腹がぽっこりしている。","クマのぬいぐるみだ。
少しお腹がぽっこりしている。",
"変数203（ARGP攻撃種類）
1斬　2打撃　3水　4火　5雷
6誘惑　7食べ物
特殊206（個別攻撃種類）
1リンゴ　2皿　3卵",,
"クマの中から小さな箱が出て来た・・・","クマの中から小さな箱が出て来た・・・",
"いわ","いわ",
" <enemy:145>"," <enemy:145>",
"瓦礫を壊せば通れそうだ・・・","瓦礫を壊せば通れそうだ・・・",
"EV023","EV023",
"浴場の鍵を開けた！","浴場の鍵を開けた！",
"この先は浴場のようだ。
鍵がかかっている・・・","Looks like the bathroom.
It's locked…",
"応接室の鍵を開けた！","応接室の鍵を開けた！",
"応接室の扉だ。
鍵がかかっている・・・","応接室の扉だ。
鍵がかかっている・・・",
"倉庫の鍵を開けた！","倉庫の鍵を開けた！",
"倉庫の扉だ。
鍵がかかっている・・・","倉庫の扉だ。
鍵がかかっている・・・",
"梯子","梯子",
"引っかけ場所","引っかけ場所",
"<TE:立体起動>","<TE:立体起動>",
