"自動実行","自動実行",""
"\n<\n[1]>（どれだけの時間、ここにいるんだろう・・・）","\n<\n[1]>（どれだけの時間、ここにいるんだろう・・・）",""
"\n<\n[1]>（時間の感覚がおかしくなる・・・
早くここから抜け出さないと・・・）","\n<\n[1]>（時間の感覚がおかしくなる・・・
早くここから抜け出さないと・・・）",""
"リリーの日記
手配書を出そう","リリーの日記
手配書を出そう",""
"食料保管庫と書かれている・・・","食料保管庫と書かれている・・・",""
"\n<\n[1]>（何か甘い物、ないかな？）","\n<\n[1]>（何か甘い物、ないかな？）",""
"\n<\n[1]>（腐ってなければいいが・・・）","\n<\n[1]>（腐ってなければいいが・・・）",""
"来客に食事を提供する際の注意
1：身だしなみを整える
2：おもてなしの心をもつ","来客に食事を提供する際の注意
1：身だしなみを整える
2：おもてなしの心をもつ",""
"3：適温で提供する
4：なるべくお酒を勧める（アルコール度数が高い物）
5：無駄な話をしない","3：適温で提供する
4：なるべくお酒を勧める（アルコール度数が高い物）
5：無駄な話をしない",""
"6：態度が怪しい場合はガード、またはメイド長へ連絡
7：問題ない場合は笑顔で帰ってもらう","6：態度が怪しい場合はガード、またはメイド長へ連絡
7：問題ない場合は笑顔で帰ってもらう",""
"EV074","EV074",""
"EV075","EV075",""
"錆びた鉄格子を開けるには・・・","錆びた鉄格子を開けるには・・・",""
"答えを見る","答えを見る",""
"見ない","見ない",""
"武器で攻撃してください。","武器で攻撃してください。",""
"ビンにはピクルスが入っている。","ビンにはピクルスが入っている。",""
"\n<\n[1]>（ハンバーガーに挟むと美味しい。）","\n<\n[1]>（ハンバーガーに挟むと美味しい。）",""
"\n<\n[1]>（こんな酸っぱいものは
ハンバーガーに挟むべきではない。）","\n<\n[1]>（こんな酸っぱいものは
ハンバーガーに挟むべきではない。）",""
"様々な種類のビネガーが置かれている。","様々な種類のビネガーが置かれている。",""
"\n<\n[1]>（お酢を飲むと体が柔らかくなるってお母さんが言ってた。
多分気のせい。）","\n<\n[1]>（お酢を飲むと体が柔らかくなるってお母さんが言ってた。
多分気のせい。）",""
"\n<\n[1]>（これが扱える人は自炊のレベルが高いと思う。）","\n<\n[1]>（これが扱える人は自炊のレベルが高いと思う。）",""
"料理酒が並んでいる。","料理酒が並んでいる。",""
"\n<\n[1]>（お肉の臭みを取ったり柔らかくしたり出来る。
今要るかと言われると要らない。）","\n<\n[1]>（お肉の臭みを取ったり柔らかくしたり出来る。
今要るかと言われると要らない。）",""
"\n<\n[1]>（何のために料理に入れるのかさっぱり分からない。）","\n<\n[1]>（何のために料理に入れるのかさっぱり分からない。）",""
"まな板。","まな板。",""
"\n<\n[1]>（淫魔の出してくる食べ物なんてと思っていたけど
無駄に美味しいんだよなぁ・・・
逆になんかやだ。）","\n<\n[1]>（淫魔の出してくる食べ物なんてと思っていたけど
無駄に美味しいんだよなぁ・・・
逆になんかやだ。）",""
"\n<\n[1]>（ここの食事が妙に美味しいのも
何か逆に良くない気がする・・・）","\n<\n[1]>（ここの食事が妙に美味しいのも
何か逆に良くない気がする・・・）",""
"EV080","EV080",""
"バルコニーの鍵！
これで外に出られそうだ・・・！","バルコニーの鍵！
これで外に出られそうだ・・・！",""
"身体が小さくなってしまった・・・！","身体が小さくなってしまった・・・！",""
"\n<リリー>あはは！ひっかかった！
可愛らしいサイズになったわねぇ♥くすくす♥","\n<リリー>あはは！ひっかかった！
可愛らしいサイズになったわねぇ♥くすくす♥","\n<Lily>Ahaha! Caught you!
You're so tiny and cute♥ Hee hee♥"
"\n<リリー>あんた食糧庫で何してたの？
お腹空いた？","\n<リリー>あんた食糧庫で何してたの？
お腹空いた？","\n<Lily>What were you doing in the pantry?
Were you hungry?"
"\n<リリー>でもざーんねん。
食事するのは私よ。","\n<リリー>でもざーんねん。
食事するのは私よ。","\n<Lily>That's toooo bad.
It's my turn to eat."
"\n<リリー>そろそろ魔法が切れそうね。
じゃ、私のお口が恋しくなったらいつでも言うのよ？
また可愛がってあげる♥くすくす♥","\n<リリー>そろそろ魔法が切れそうね。
じゃ、私のお口が恋しくなったらいつでも言うのよ？
また可愛がってあげる♥くすくす♥","\n<Lily>That spell will wear off soon. Well, if you ever
miss my mouth, let me know, ok? I'll shrink you
down and play with you again♥ Hee hee♥"
"炎の魔導書・・・
装備すれば何かを燃やすことが出来そうだ。","炎の魔導書・・・
装備すれば何かを燃やすことが出来そうだ。",""
"\n<リリー>捕まえたっ♥
ほらこっち向きなさい♥","\n<リリー>捕まえたっ♥
ほらこっち向きなさい♥",""
"\n<\n[3]>ちゅー♥
あっは♥いきなりキスしちゃった♥
くすくす♥","\n<\n[3]>ちゅー♥
あっは♥いきなりキスしちゃった♥
くすくす♥",""
"\n<\n[3]>あんたってマゾだからさー、
こうやってキスされるとすぐスイッチ入っちゃうでしょ。
ちゅっ♥ちゅっ♥","\n<\n[3]>あんたってマゾだからさー、
こうやってキスされるとすぐスイッチ入っちゃうでしょ。
ちゅっ♥ちゅっ♥",""
"\n<\n[3]>ほらビンビンに勃起した。あーぁ。
ここに挟まれたらもう逃げられないわね。","\n<\n[3]>ほらビンビンに勃起した。あーぁ。
ここに挟まれたらもう逃げられないわね。",""
"\n<\n[3]>あら、振り払おうとしてるの？
全然力が入ってないけど♥
おちんちんは逃げたくないみたいよ？","\n<\n[3]>あら、振り払おうとしてるの？
全然力が入ってないけど♥
おちんちんは逃げたくないみたいよ？",""
"\n<\n[3]>イキなさい。
あんたの負けよ。
くすくす♥","\n<\n[3]>イキなさい。
あんたの負けよ。
くすくす♥",""
"\n<リリー>なにあんた。必死になっちゃって。
分かったわよ。
離れてあげる。","\n<リリー>なにあんた。必死になっちゃって。
分かったわよ。
離れてあげる。",""
"\n<リリー>あらあら大変。
我慢汁だらだらじゃないの。
床汚さないでよ。","\n<リリー>あらあら大変。
我慢汁だらだらじゃないの。
床汚さないでよ。",""
"EV081","EV081",""
"EV082","EV082",""
