"スイーパーA","スイーパーA"
"\n<レコシード>おぉ！今度はフリオの声だ！！
忠実に再現されている！！
息継ぎまで、完璧だ！！","\n<レコシード>おぉ！今度はフリオの声だ！！
忠実に再現されている！！
息継ぎまで、完璧だ！！"
"\n<レコシード>おぉ！今度はユイネの声だ！！
忠実に再現されている！！
息継ぎまで、完璧だ！！","\n<レコシード>おぉ！今度はユイネの声だ！！
忠実に再現されている！！
息継ぎまで、完璧だ！！"
"\n<クマリ>え・・・
俺こんな変な声をしているのか・・・？
なんかちょっと、ショック・・・","\n<クマリ>え・・・
俺こんな変な声をしているのか・・・？
なんかちょっと、ショック・・・"
"\n<露天商>みんな同じリアクションなのね。","\n<露天商>みんな同じリアクションなのね。"
"\n<露天商>これサービス。
よかったら使ってみて。","\n<露天商>これサービス。
よかったら使ってみて。"
"\n<アイリン>わぁ！
ありがとうございます！","\n<アイリン>わぁ！
ありがとうございます！"
"\n<露天商>暖め過ぎると芽が出ちゃうから、気を付けてね。
芽が出るともう使えなくなるけど、
出る前なら何回でも聞きなおせるから。","\n<露天商>暖め過ぎると芽が出ちゃうから、気を付けてね。
芽が出るともう使えなくなるけど、
出る前なら何回でも聞きなおせるから。"
"\n<露天商>私も若い頃は旦那とレコシードでやり取りしてたわ。
親の目を盗んで、コッソリ種を渡して・・・ふふ♥
プロポーズもコレだったのよ。","\n<露天商>私も若い頃は旦那とレコシードでやり取りしてたわ。
親の目を盗んで、コッソリ種を渡して・・・ふふ♥
プロポーズもコレだったのよ。"
"\n<露天商>ある日、家に帰ってわくわくしながら再生したら
『窓の外を見て』って。
窓の外を見たら、花束を持った彼が立ってたの。","\n<露天商>ある日、家に帰ってわくわくしながら再生したら
『窓の外を見て』って。
窓の外を見たら、花束を持った彼が立ってたの。"
"\n<アイリン>わぁ、素敵です・・・♥","\n<アイリン>わぁ、素敵です・・・♥"
"\n<アイリン>はわわ♥","\n<アイリン>はわわ♥"
"\n<ユイネ>え、ちょっとまって・・・
尊い・・・♥","\n<ユイネ>え、ちょっとまって・・・
尊い・・・♥"
"\n<露天商>種を握ったまま放心状態よ。
嬉しくて泣いてたらそのまま発芽しちゃって、
もう二度と聞けなくなっちゃった。","\n<露天商>種を握ったまま放心状態よ。
嬉しくて泣いてたらそのまま発芽しちゃって、
もう二度と聞けなくなっちゃった。"
"\n<露天商>でもいいの。
ずっと心に残ってるもの。
目を閉じれば、何度だって再生できるわ。","\n<露天商>でもいいの。
ずっと心に残ってるもの。
目を閉じれば、何度だって再生できるわ。"
"\n<露天商>あ、ちなみにレコの花は天ぷらにすると美味しいわよ。
間違えて咲かせちゃったら食べてみてね。","\n<露天商>あ、ちなみにレコの花は天ぷらにすると美味しいわよ。
間違えて咲かせちゃったら食べてみてね。"
"\n<クマリ>食ったんかい。","\n<クマリ>食ったんかい。"
"\n<ユイネ>素敵なエピソードですね♥
・・・♥","\n<ユイネ>素敵なエピソードですね♥
・・・♥"
"\n<ユイネ>覚えたか\n[1]。
女の子はこういうの好きなんだぞ。
剣ばっか振ってないで勉強しろ。","\n<ユイネ>覚えたか\n[1]。
女の子はこういうの好きなんだぞ。
剣ばっか振ってないで勉強しろ。"
"\n<アイリン>勉強してください。","\n<アイリン>勉強してください。"
"\n<露天商>危ないなぁ。
あなた達の田舎じゃ、それが挨拶なの？","\n<露天商>危ないなぁ。
あなた達の田舎じゃ、それが挨拶なの？"
