"リリーイベ","リリーイベ"
"\n<アーコ>あ、そうだ！
じゃあさ、レストランとか開いてみたらどうかな？
御代は精液で！","\n<アーコ>あ、そうだ！
じゃあさ、レストランとか開いてみたらどうかな？
御代は精液で！"
"\n<ライム>それいいかも！
流石アーコちゃんだね！合理的！","\n<ライム>それいいかも！
流石アーコちゃんだね！合理的！"
"\n<アーコ>ね！お互い美味しい物食べて、美味しい思いが出来る！
win-winじゃん！
仲良くできるんじゃないかな？","\n<アーコ>ね！お互い美味しい物食べて、美味しい思いが出来る！
win-winじゃん！
仲良くできるんじゃないかな？"
"\n<ライム>でもでもー、自分の人生と引き換えに
私の料理食べに来てくれる人なんて、いるのかなー？","\n<ライム>でもでもー、自分の人生と引き換えに
私の料理食べに来てくれる人なんて、いるのかなー？"
"\n<アーコ>あ、やっぱダメだこれ。","\n<アーコ>あ、やっぱダメだこれ。"
"\n<シィナ>オラァ！！
精奴隷が脱走しやがったにゃん！！
お前らちゃんと警備してたにゃぁ？","\n<シィナ>オラァ！！
精奴隷が脱走しやがったにゃん！！
お前らちゃんと警備してたにゃぁ？"
"\n<ライム>出ていくところ見てない？","\n<ライム>出ていくところ見てない？"
"\n<シィナ>聞いてんのか！！豚いちぃ！！豚にぃ！！","\n<シィナ>聞いてんのか！！豚いちぃ！！豚にぃ！！"
"\n<豚1>ゴブゴブ・・・","\n<豚1>ゴブゴブ・・・"
"\n<豚2>ゴブ・・・ゴブ・・・","\n<豚2>ゴブ・・・ゴブ・・・"
"\n<豚1>ゴーブゴブ。","\n<豚1>ゴーブゴブ。"
"\n<豚2>ゴブ。
ゴブゴブ。","\n<豚2>ゴブ。
ゴブゴブ。"
"\n<シィナ>なんにゃ！その態度は！
ぶーたれてっと干物にすっぞ！！","\n<シィナ>なんにゃ！その態度は！
ぶーたれてっと干物にすっぞ！！"
"\n<豚1>ゴブゴブ！","\n<豚1>ゴブゴブ！"
"\n<豚2>ゴブ♥ゴブリ♥","\n<豚2>ゴブ♥ゴブリ♥"
"\n<シィナ>喜んでんじゃねー！！
マゾ豚ぁ！！","\n<シィナ>喜んでんじゃねー！！
マゾ豚ぁ！！"
"\n<ライム>やめなよー。
元はと言えば
シィナが鍵掛け忘れるのがいけないんじゃん・・・","\n<ライム>やめなよー。
元はと言えば
シィナが鍵掛け忘れるのがいけないんじゃん・・・"
"\n<シィナ>は？絶対鍵掛けたし。
100パーにゃ。
アタシのせいじゃねー。","\n<シィナ>は？絶対鍵掛けたし。
100パーにゃ。
アタシのせいじゃねー。"
"\n<ライム>えー・・・？","\n<ライム>えー・・・？"
"\n<シィナ>探しに行ってこいにゃ！
見つけるまで夕飯は抜きにゃ！","\n<シィナ>探しに行ってこいにゃ！
見つけるまで夕飯は抜きにゃ！"
"\n<ライム>ご飯作るの私じゃんー。","\n<ライム>ご飯作るの私じゃんー。"
"\n<ライム>ごめんねー。
森は迷いやすいから。
あんまり遅くならないようにねー。","\n<ライム>ごめんねー。
森は迷いやすいから。
あんまり遅くならないようにねー。"
"\n<豚2>ゴーブ！","\n<豚2>ゴーブ！"
"\n<シィナ>ちっ。
役立たずの豚どもが。","\n<シィナ>ちっ。
役立たずの豚どもが。"
"\n<ライム>シィナぁー・・・","\n<ライム>シィナぁー・・・"
"オーク1","オーク1"
"オーク2 ","オーク2 "
