"\n<リリー>忠告しておいてあげる。
あんたがそれを取った瞬間、
あんたは精奴隷じゃなくてサキュバスハンターになるわ。","\n<リリー>忠告しておいてあげる。
あんたがそれを取った瞬間、
あんたは精奴隷じゃなくてサキュバスハンターになるわ。"
"\n<リリー>本来の目的を果たすつもりならどうぞ。
ただし、もう射精しても絶対に止めてあげないから。
死ぬまで搾り取られても文句は言えないってこと。いいわね。","\n<リリー>本来の目的を果たすつもりならどうぞ。
ただし、もう射精しても絶対に止めてあげないから。
死ぬまで搾り取られても文句は言えないってこと。いいわね。"
"\n<リリー>ラストチャンスよ。
精奴隷に戻りたいならそのまま閉めなさい。
選ばせてあげる。","\n<リリー>ラストチャンスよ。
精奴隷に戻りたいならそのまま閉めなさい。
選ばせてあげる。"
"装備を取る　↑SAN値6","装備を取る　↑SAN値6"
"フタを閉める","フタを閉める"
"だめだ・・・
戦えない・・・
\C[14]※SAN値が6以上必要です。（現在SAN値\v[270]）","だめだ・・・
戦えない・・・"
"\n<リリー>あーぁ。
あんたがそこまでバカだとは思わなかった。
やれやれだわ。",""
"\n<リリー>ま、仕方ないわね。
正々堂々、搾り尽くしてあげる。
じゃ、精々最後の悪あがきをすることね。",""
"\n<リリー>賢明な判断よ。
私も、あんたを吸い殺したくないもの。
次の精奴隷を探すのが面倒だから。",""
"\n<リリー>ふふ♥
素直な人間は嫌いじゃないわ。",""
"自分の装備一式がある・・・","自分の装備一式がある・・・"
"\n<リリー>忠告はしたはずよね。
あんた、それを取るってのがどういう意味か分かってるわよね。","\n<リリー>忠告はしたはずよね。
あんた、それを取るってのがどういう意味か分かってるわよね。"
"\n<リリー>全く。
そのまま閉めなさい。
精奴隷は余計なこと、考えなくていいの。","\n<リリー>全く。
そのまま閉めなさい。
精奴隷は余計なこと、考えなくていいの。"
"リリー","Lily"
"EV011","EV011"
"報告書","報告書"
"封書には黒いユリの紋章が書かれている。","封書には黒いユリの紋章が書かれている。"
"\C[3]※ハンターパートに移りました。
\C[0]今後はリリー、シィナ、ライムに接触すると戦闘になります。
負けると即ゲームオーバーです。","\C[3]※ハンターパートに移りました。
\C[0]今後はリリー、シィナ、ライムに接触すると戦闘になります。
負けると即ゲームオーバーです。"
"淫魔との戦闘について","淫魔との戦闘について"
"基本","基本"
"スリップダメージ","スリップダメージ"
"状態異常","状態異常"
"ステータス","ステータス"
"自分の精力が0になると射精して敗北、
相手の精力を0にすると絶頂させて勝利です。","自分の精力が0になると射精して敗北、
相手の精力を0にすると絶頂させて勝利です。"
"精力：0になると射精して敗北
体力：スキルを使用するのに必要 ターン経過で微回復
TP：スキルを使用するのに必要 ターン経過で増加","精力：0になると射精して敗北
体力：スキルを使用するのに必要 ターン経過で微回復
TP：スキルを使用するのに必要 ターン経過で増加"
"愛撫：体力を使わない攻撃
スキル：胸、尻、アソコなどを狙うことで弱点を突ける","愛撫：体力を使わない攻撃
スキル：胸、尻、アソコなどを狙うことで弱点を突ける"
"スリップダメージによって
コマンド入力待機中も徐々に精力が減っていきます。
なるべく早く行動を決めましょう。","スリップダメージによって
コマンド入力待機中も徐々に精力が減っていきます。
なるべく早く行動を決めましょう。"
"スリップダメージでは精力が0にはなりません。
スリップダメージは相手によって増減します。
戦闘中にCTRLキーを長押しすると高速でダメージを受けます。","スリップダメージでは精力が0にはなりません。
スリップダメージは相手によって増減します。
戦闘中にCTRLキーを長押しすると高速でダメージを受けます。"
"敏感：受けるダメージが増加
脱力：与えるダメージが減少
暗闇：命中率が半減 消費体力が1.5倍","敏感：受けるダメージが増加
脱力：与えるダメージが減少
暗闇：命中率が半減 消費体力が1.5倍"
"興奮：防御不可
発情：スリップダメージ2倍
催淫毒：毎ターン精力減少","興奮：防御不可
発情：スリップダメージ2倍
催淫毒：毎ターン精力減少"
"拘束：行動不能（1～3ターン）
魅了：行動不能（1～3ターン）
怯み：行動不能（1ターン）","拘束：行動不能（1～3ターン）
魅了：行動不能（1～3ターン）
怯み：行動不能（1ターン）"
"攻撃力：愛撫のダメージ
技巧：スキルのダメージ","攻撃力：愛撫のダメージ
技巧：スキルのダメージ"
"防御力：直接的な刺激に対する被ダメ軽減
精神力：精神的な攻撃に対する被ダメ軽減 スリップダメージ低下","防御力：直接的な刺激に対する被ダメ軽減
精神力：精神的な攻撃に対する被ダメ軽減 スリップダメージ低下"
"敏捷性：罠や必殺技の回避判定　逃走の成功率
戦闘力：Aキーで魔物に与えるダメージ（淫魔戦では使用しない）","敏捷性：罠や必殺技の回避判定　逃走の成功率
戦闘力：Aキーで魔物に与えるダメージ（淫魔戦では使用しない）"
"リリーの日記","リリーの日記"
"リリーの日記
シィナとの出会い","リリーの日記
シィナとの出会い"
"読んでみる","読んでみる"
"やめておく","やめておく"
"小難しい本が並んでいる・・・","小難しい本が並んでいる・・・"
"高級そうな服が掛けられている・・・","高級そうな服が掛けられている・・・"
"もう何もない・・・","もう何もない・・・"
"様々な装飾品が飾られている・・・","様々な装飾品が飾られている・・・"
"魔物についての本が並んでいる・・・","魔物についての本が並んでいる・・・"
"観葉植物が窓の外を恨めしそうに見ている・・・","観葉植物が窓の外を恨めしそうに見ている・・・"
"観葉植物だ・・・","観葉植物だ・・・"
"EV031","EV031"
"--------キャラ指定-----座標設定------------",""
"----------------------------------------",""
"どいて","どいて"
"・・・","..."
"\n<\n[3]>どかないにゃん。
どいて欲しいにゃん？","\n<\n[3]>どかないにゃん。
どいて欲しいにゃん？"
"\n<\n[3]>なんにゃ？文句あるにゃん？
ここを塞いだらお前は出られんにゃ。
頭脳プレイにゃ。賢いだろ？","\n<\n[3]>なんにゃ？文句あるにゃん？
ここを塞いだらお前は出られんにゃ。
頭脳プレイにゃ。賢いだろ？"
"\n<\n[3]>通りたかったら遊びに付き合うにゃ。","\n<\n[3]>通りたかったら遊びに付き合うにゃ。"
"ーーーーー待機or攻撃アニメSE選択ーーーーー",""
"--------ここから誘惑------------",""
"\n<\n[3]>ちゅっ♥
これどうにゃ？ちゅっ♥ちゅっ♥","\n<\n[3]>ちゅっ♥
これどうにゃ？ちゅっ♥ちゅっ♥"
"\n<\n[3]>これぐらいの刺激で出すわけないにゃ？
にゃぁ？
ちゅぅっ♥","\n<\n[3]>これぐらいの刺激で出すわけないにゃ？
にゃぁ？
ちゅぅっ♥"
"\n<\n[3]>チンポにちゅーされるのってどんな感じにゃ？
ちゅっ♥ちゅっ♥
興奮して逃げたくなくなるにゃん？","\n<\n[3]>チンポにちゅーされるのってどんな感じにゃ？
ちゅっ♥ちゅっ♥
興奮して逃げたくなくなるにゃん？"
"\n<\n[3]>にゃは♥お前その顔やばいにゃ♥
顔真っ赤にゃん♥
ちゅっ♥チンポキスされて我慢できなくなってきたにゃ？","\n<\n[3]>にゃは♥お前その顔やばいにゃ♥
顔真っ赤にゃん♥
ちゅっ♥チンポキスされて我慢できなくなってきたにゃ？"
"\n<\n[3]>ダメにゃん。
アタシのキスからは逃げられんにゃ♥
ちゅっ♥ちゅっ♥",""
"\n<\n[3]>あー面白かった。
もう行っていいにゃん。
満足したし。",""
"\n<\n[1]>（はぁ・・・はぁ・・・♥
うぅ・・・♥もう・・・出ちゃうよぉ・・・
逃げ・・・ないと・・・♥）",""
"\n<\n[1]>（はぁ・・・はぁ・・・
うぅ・・・♥く、くそ・・・♥
逃げ・・・ないと・・・）",""
"\n<\n[3]>なんにゃ？
もう行っていいにゃん。","\n<\n[3]>なんにゃ？
もう行っていいにゃん。"
"\C[10]射精させて・・・","\C[10]射精させて・・・"
"何でもない","何でもない"
"\n<\n[3]>嫌にゃ。","\n<\n[3]>嫌にゃ。"
"\C[10]射精させてください","\C[10]射精させてください"
"もういい","もういい"
"\n<\n[3]>アタシはお前の敵にゃん。
なんで敵にお願いするにゃ？","\n<\n[3]>アタシはお前の敵にゃん。
なんで敵にお願いするにゃ？"
"\C[10]シィナ様射精させてください","\C[10]シィナ様射精させてください"
"\n<\n[3]>しょうがないにゃぁ。
じゃあ、トドメのちゅーしてやるか。","\n<\n[3]>しょうがないにゃぁ。
じゃあ、トドメのちゅーしてやるか。"
"\n<\n[3]>射精させて欲しいって頼んできたこと、
あとでリリーとライムに言ってやろ♥
にゃははは♥","\n<\n[3]>射精させて欲しいって頼んできたこと、
あとでリリーとライムに言ってやろ♥
にゃははは♥"
"\n<\n[3]>じゃ、脱出ゲームがんばれにゃ。","\n<\n[3]>じゃ、脱出ゲームがんばれにゃ。"
"EV032","EV032"
"機械式の扉を開けるには・・・","機械式の扉を開けるには・・・"
"答えを見る","答えを見る"
"電撃系の攻撃を当てると開きます。","電撃系の攻撃を当てると開きます。"
"EV033","EV033"
"ハンターモードを進めるには・・・","ハンターモードを進めるには・・・"
"徘徊しているリリー、シィナ、ライムを倒して、
その後はそれぞれ自室にいるので更に倒すと・・・","徘徊しているリリー、シィナ、ライムを倒して、
その後はそれぞれ自室にいるので更に倒すと・・・"
